Date,Open,High,Low,Close,Adj Close,Volume
2000-01-05,0.52,0.52,0.52,0.52,0.1,986.0
2000-01-06,0.49,0.49,0.49,0.49,0.09,228.0
2000-01-07,0.49,0.49,0.49,0.49,0.09,152.0
2000-01-10,0.49,0.49,0.49,0.49,0.09,1517.0
2000-01-11,0.49,0.49,0.49,0.49,0.09,3792.0
2000-01-12,0.48,0.48,0.48,0.48,0.09,1138.0
2000-01-13,0.48,0.48,0.48,0.48,0.09,607.0
2000-01-14,0.49,0.49,0.49,0.49,0.09,6446.0
2000-01-17,0.53,0.53,0.53,0.53,0.1,25556.0
2000-01-18,0.49,0.49,0.49,0.49,0.09,
2000-01-19,0.49,0.49,0.49,0.49,0.09,
2000-01-20,0.46,0.46,0.46,0.46,0.09,
2000-01-21,0.47,0.47,0.47,0.47,0.09,
2000-01-24,0.52,0.52,0.52,0.52,0.1,
2000-01-25,0.52,0.52,0.52,0.52,0.1,
2000-01-26,0.52,0.52,0.52,0.52,0.1,1744.0
2000-01-27,0.5,0.5,0.5,0.5,0.09,5384.0
2000-01-28,0.49,0.49,0.49,0.49,0.09,
2000-01-31,0.49,0.49,0.49,0.49,0.09,
2000-02-01,0.49,0.49,0.49,0.49,0.09,
2000-02-02,0.48,0.48,0.48,0.48,0.09,
2000-02-03,0.42,0.42,0.42,0.42,0.08,
2000-02-04,0.47,0.47,0.47,0.47,0.09,228.0
2000-02-07,0.47,0.47,0.47,0.47,0.09,4550.0
2000-02-08,0.47,0.47,0.47,0.47,0.09,1896.0
2000-02-09,0.52,0.52,0.52,0.52,0.1,12058.0
2000-02-10,0.49,0.49,0.49,0.49,0.09,
2000-02-11,0.5,0.5,0.5,0.5,0.09,6143.0
2000-02-14,0.47,0.47,0.47,0.47,0.09,
2000-02-15,0.49,0.49,0.49,0.49,0.09,
2000-02-16,0.47,0.47,0.47,0.47,0.09,
2000-02-17,0.47,0.47,0.47,0.47,0.09,
2000-02-18,0.51,0.51,0.51,0.51,0.1,683.0
2000-02-21,0.47,0.47,0.47,0.47,0.09,
2000-02-22,0.49,0.49,0.49,0.49,0.09,76.0
2000-02-23,0.49,0.49,0.49,0.49,0.09,455.0
2000-02-24,0.49,0.49,0.49,0.49,0.09,5005.0
2000-02-25,0.47,0.47,0.47,0.47,0.09,3033.0
2000-02-28,0.47,0.47,0.47,0.47,0.09,
2000-02-29,0.47,0.47,0.47,0.47,0.09,11603.0
2000-03-01,0.47,0.47,0.47,0.47,0.09,
2000-03-02,0.47,0.47,0.47,0.47,0.09,
2000-03-03,0.51,0.51,0.51,0.51,0.09,758.0
2000-03-06,0.51,0.51,0.51,0.51,0.09,
2000-03-07,0.51,0.51,0.51,0.51,0.09,
2000-03-08,0.49,0.49,0.49,0.49,0.09,
2000-03-09,0.53,0.53,0.53,0.53,0.1,1972.0
2000-03-10,0.49,0.49,0.49,0.49,0.09,
2000-03-13,0.49,0.49,0.49,0.49,0.09,
2000-03-14,0.49,0.49,0.49,0.49,0.09,228.0
2000-03-15,0.49,0.49,0.49,0.49,0.09,
2000-03-16,0.5,0.5,0.5,0.5,0.09,99344.0
2000-03-17,0.5,0.5,0.5,0.5,0.09,1517.0
2000-03-20,0.48,0.48,0.48,0.48,0.09,
2000-03-21,0.5,0.5,0.5,0.5,0.09,15167.0
2000-03-22,0.52,0.52,0.52,0.52,0.1,7584.0
2000-03-23,0.54,0.54,0.54,0.54,0.1,8494.0
2000-03-24,0.56,0.56,0.56,0.56,0.1,67190.0
2000-03-27,0.57,0.57,0.57,0.57,0.1,228.0
2000-03-28,0.57,0.57,0.57,0.57,0.1,1593.0
2000-03-29,0.51,0.51,0.51,0.51,0.09,
2000-03-30,0.59,0.59,0.59,0.59,0.11,20172.0
2000-03-31,0.61,0.61,0.61,0.61,0.11,11299.0
2000-04-03,0.6,0.6,0.6,0.6,0.11,1365.0
2000-04-04,0.6,0.6,0.6,0.6,0.11,1517.0
2000-04-05,0.62,0.62,0.62,0.62,0.11,8949.0
2000-04-06,0.63,0.63,0.63,0.63,0.12,4474.0
2000-04-07,0.64,0.64,0.64,0.64,0.12,52099.0
2000-04-10,0.66,0.66,0.66,0.66,0.12,1820.0
2000-04-11,0.65,0.65,0.65,0.65,0.12,14788.0
2000-04-12,0.65,0.65,0.65,0.65,0.12,228.0
2000-04-13,0.59,0.59,0.59,0.59,0.11,
2000-04-14,0.59,0.59,0.59,0.59,0.11,1896.0
2000-04-17,0.59,0.59,0.59,0.59,0.11,303.0
2000-04-18,0.59,0.59,0.59,0.59,0.11,4019.0
2000-04-19,0.59,0.59,0.59,0.59,0.11,152.0
2000-04-20,0.59,0.59,0.59,0.59,0.11,228.0
2000-04-21,0.59,0.59,0.59,0.59,0.11,
2000-04-24,0.59,0.59,0.59,0.59,0.11,
2000-04-25,0.59,0.59,0.59,0.59,0.11,
2000-04-26,0.59,0.59,0.59,0.59,0.11,379.0
2000-04-27,0.61,0.61,0.61,0.61,0.11,4095.0
2000-04-28,0.63,0.63,0.63,0.63,0.12,76.0
2000-05-01,0.63,0.63,0.63,0.63,0.12,
2000-05-02,0.59,0.59,0.59,0.59,0.11,
2000-05-03,0.63,0.63,0.63,0.63,0.12,7735.0
2000-05-04,0.62,0.62,0.62,0.62,0.11,15167.0
2000-05-05,0.62,0.62,0.62,0.62,0.11,1289.0
2000-05-08,0.59,0.59,0.59,0.59,0.11,
2000-05-09,0.62,0.62,0.62,0.62,0.11,76.0
2000-05-10,0.62,0.62,0.62,0.62,0.11,76.0
2000-05-11,0.59,0.59,0.59,0.59,0.11,
2000-05-12,0.59,0.59,0.59,0.59,0.11,
2000-05-15,0.63,0.63,0.63,0.63,0.12,76.0
