Date,Open,High,Low,Close,Adj Close,Volume
2011-05-09,11.9,12.1,11.8,12.07,8.85,5065.0
2011-05-10,,,,,,
2011-05-11,12.07,12.1,11.75,11.8,8.65,14752500.0
2011-05-12,11.7,11.86,11.61,11.7,8.58,7371700.0
2011-05-13,11.63,11.65,11.33,11.54,8.46,12827000.0
2011-05-16,,,,,,
2011-05-17,11.51,11.61,11.34,11.37,8.34,12759000.0
2011-05-18,11.36,11.39,11.09,11.1,8.14,12433000.0
2011-05-19,11.17,11.33,11.01,11.01,8.07,8425400.0
2011-05-20,11.05,11.24,11.01,11.02,8.08,12932900.0
2011-05-23,11.0,11.11,10.97,11.0,8.07,7299800.0
2011-05-24,11.05,11.19,11.01,11.03,8.09,10408000.0
2011-05-25,11.04,11.17,11.01,11.12,8.15,9056100.0
2011-05-26,11.18,11.18,11.0,11.06,8.11,13271500.0
2011-05-27,11.1,11.19,11.07,11.19,8.21,5460600.0
2011-05-30,11.24,11.29,11.14,11.14,8.17,2805500.0
2011-05-31,11.23,11.33,11.04,11.32,8.3,6719800.0
2011-06-01,11.27,11.64,11.03,11.05,8.1,17895300.0
2011-06-02,11.09,11.24,11.07,11.2,8.21,8260900.0
2011-06-03,11.14,11.38,11.11,11.32,8.3,9449400.0
2011-06-06,11.32,11.37,11.12,11.12,8.15,7291400.0
2011-06-07,11.2,11.22,11.0,11.05,8.1,9501900.0
2011-06-08,10.91,11.14,10.9,11.14,8.17,11208100.0
2011-06-09,11.09,11.46,11.06,11.4,8.36,13909800.0
2011-06-10,11.39,11.4,11.2,11.3,8.29,7928800.0
2011-06-13,11.34,11.45,11.12,11.18,8.2,6666900.0
2011-06-14,11.26,11.31,11.0,11.13,8.16,12925800.0
2011-06-15,11.01,11.11,10.68,10.68,7.83,23731900.0
2011-06-16,10.72,10.85,10.36,10.48,7.69,13851400.0
2011-06-17,10.6,10.9,10.52,10.9,7.99,9849800.0
2011-06-20,10.82,11.02,10.56,10.56,7.74,18711000.0
2011-06-21,10.64,10.72,10.53,10.59,7.77,7730600.0
2011-06-22,10.5,10.61,10.33,10.43,7.67,12540200.0
2011-06-24,10.48,10.55,10.31,10.33,7.6,7028800.0
2011-06-27,10.39,10.45,10.22,10.22,7.52,9185400.0
2011-06-28,10.25,10.63,10.23,10.62,7.81,13271900.0
2011-06-29,10.64,10.68,10.38,10.47,7.7,10563200.0
2011-06-30,10.5,10.52,10.26,10.33,7.6,17770800.0
2011-07-01,10.32,10.87,10.24,10.87,8.0,19269000.0
2011-07-04,10.8,10.95,10.74,10.8,7.95,3622700.0
2011-07-05,10.75,10.79,10.52,10.55,7.76,9205200.0
2011-07-06,10.52,10.52,10.36,10.47,7.7,10055200.0
2011-07-07,10.66,10.71,10.51,10.62,7.81,11119100.0
2011-07-08,10.53,10.61,10.4,10.46,7.7,6126400.0
2011-07-11,10.3,10.38,10.06,10.12,7.45,10520500.0
2011-07-12,10.07,10.17,9.79,9.79,7.2,10372200.0
2011-07-13,9.93,10.1,9.89,10.0,7.36,16797800.0
2011-07-14,10.0,10.05,9.63,9.65,7.1,9845200.0
2011-07-15,9.72,9.81,9.5,9.77,7.19,12087900.0
2011-07-18,9.7,9.85,9.45,9.54,7.02,9849800.0
2011-07-19,9.64,9.69,9.47,9.51,7.0,8983400.0
2011-07-20,9.55,9.79,9.53,9.63,7.08,8578900.0
2011-07-21,9.7,10.03,9.64,9.97,7.34,8924500.0
2011-07-22,10.02,10.04,9.82,9.85,7.25,7828200.0
2011-07-25,9.85,9.92,9.46,9.87,7.26,3456.0
2011-07-26,9.82,9.86,9.48,9.55,7.03,11643700.0
2011-07-27,9.28,9.3,8.98,9.03,6.64,26583800.0
2011-07-28,9.03,9.13,8.8,8.89,6.54,19637400.0
2011-07-29,8.83,9.15,8.71,9.04,6.65,4531.0
2011-08-01,9.26,9.32,8.92,8.96,6.59,13695900.0
2011-08-02,8.96,9.03,8.55,8.71,6.41,13362300.0
2011-08-03,8.65,8.91,8.37,8.37,6.16,13755800.0
2011-08-04,8.25,8.28,7.56,7.8,5.74,25946500.0
2011-08-05,7.85,8.33,7.5,8.26,6.08,31141500.0
2011-08-08,7.93,8.06,7.55,7.95,5.85,31130600.0
2011-08-09,8.25,8.67,8.0,8.4,6.18,46896000.0
2011-08-10,8.29,8.99,8.29,8.75,6.44,40694700.0
2011-08-11,8.93,9.07,8.7,9.01,6.63,36826700.0
2011-08-12,9.07,9.3,8.97,9.05,6.66,15747600.0
2011-08-15,9.1,9.25,8.93,8.97,6.6,18021400.0
2011-08-16,8.81,9.0,8.75,9.0,6.62,16617500.0
2011-08-17,9.02,9.25,8.95,9.25,6.81,18744400.0
2011-08-18,8.94,9.0,8.72,8.89,6.54,19790400.0
2011-08-19,8.7,8.95,8.69,8.71,6.41,12717100.0
2011-08-22,8.9,8.93,8.69,8.86,6.52,17632600.0
2011-08-23,8.82,9.03,8.63,8.95,6.58,13267000.0
2011-08-24,8.95,9.12,8.88,9.11,6.7,13074200.0
2011-08-25,9.04,9.09,8.72,8.75,6.44,16643300.0
2011-08-26,8.68,8.84,8.49,8.75,6.44,16865900.0
2011-08-29,8.72,9.02,8.66,9.02,6.73,15035900.0
2011-08-30,8.9,9.23,8.88,9.07,6.77,14662600.0
2011-08-31,9.2,9.52,9.16,9.33,6.96,21162400.0
2011-09-01,9.9,10.21,9.72,10.1,7.54,55717600.0
2011-09-02,9.95,10.04,9.65,9.7,7.24,24069000.0
2011-09-05,9.55,9.61,9.33,9.38,7.0,10500300.0
2011-09-06,9.27,9.39,9.22,9.32,6.95,16557400.0
2011-09-08,9.55,9.78,9.47,9.67,7.21,17566400.0
2011-09-09,9.6,9.6,9.06,9.21,6.87,16660600.0
2011-09-12,9.0,9.14,8.91,9.0,6.71,15652900.0
2011-09-13,9.11,9.14,8.81,8.93,6.66,10563200.0
2011-09-14,8.99,9.24,8.81,9.13,6.81,10859100.0
2011-09-15,9.25,9.33,9.03,9.16,6.83,8080300.0
2011-09-16,9.07,9.35,9.0,9.35,6.98,12295500.0
2011-09-19,9.12,9.38,9.04,9.27,6.92,12532900.0
2011-09-20,9.33,9.54,9.28,9.36,6.98,14748800.0
2011-09-21,9.45,9.71,9.32,9.37,6.99,11102100.0
2011-09-22,9.05,9.16,8.71,8.79,6.56,12330100.0
2011-09-23,8.8,9.38,8.77,9.21,6.87,20141800.0
2011-09-26,9.37,9.38,8.94,9.25,6.9,16596100.0
2011-09-27,9.37,9.57,9.1,9.1,6.79,17073100.0
2011-09-28,9.15,9.24,8.8,8.87,6.62,14387200.0
2011-09-29,8.98,9.03,8.76,8.85,6.6,15367500.0
2011-09-30,8.71,8.86,8.61,8.79,6.56,15425700.0
2011-10-03,8.7,8.95,8.6,8.6,6.42,16627900.0
2011-10-04,8.5,8.65,8.33,8.65,6.45,14506500.0
2011-10-05,8.65,8.85,8.61,8.8,6.57,12960400.0
2011-10-06,9.06,9.41,8.97,9.27,6.92,28346300.0
2011-10-07,9.44,9.48,9.0,9.23,6.89,11052100.0
2011-10-10,9.27,9.53,9.27,9.53,7.11,8828800.0
2011-10-11,9.49,9.89,9.45,9.87,7.36,12468800.0
2011-10-13,9.96,10.0,9.71,9.9,7.39,23623800.0
2011-10-14,9.94,9.97,9.72,9.86,7.36,13091100.0
2011-10-17,9.71,9.79,9.57,9.73,7.26,12267100.0
2011-10-18,9.71,9.79,9.57,9.73,7.26,12267100.0
2011-10-19,9.93,9.97,9.71,9.87,7.36,6886100.0
2011-10-20,9.84,9.84,9.57,9.59,7.16,9321200.0
2011-10-21,9.68,9.98,9.67,9.87,7.36,10270500.0
2011-10-24,,,,,,
2011-10-25,,,,,,
2011-10-26,,,,,,
2011-10-27,,,,,,
2011-10-28,10.35,10.46,10.25,10.39,7.75,15381900.0
2011-10-31,10.34,10.49,10.22,10.47,7.81,5593700.0
2011-11-01,9.82,10.1,9.82,10.08,7.52,10443000.0
2011-11-03,10.21,10.26,9.93,10.08,7.52,12541900.0
2011-11-04,10.04,10.14,9.96,10.08,7.52,5338600.0
2011-11-07,10.13,10.33,10.09,10.19,7.6,5967000.0
2011-11-08,10.17,10.34,10.11,10.25,7.65,8019300.0
2011-11-09,10.15,10.51,10.13,10.33,7.71,14149900.0
2011-11-10,,,,,,
2011-11-11,10.19,10.43,10.17,10.35,7.72,7831900.0
2011-11-14,10.26,10.36,10.13,10.24,7.64,6140100.0
2011-11-16,10.17,10.48,10.17,10.48,7.82,9999400.0
2011-11-17,10.55,10.8,10.5,10.71,7.99,21167700.0
2011-11-18,10.65,10.7,10.5,10.58,7.98,8638500.0
2011-11-21,10.2,10.27,10.01,10.11,7.63,19596700.0
2011-11-22,10.13,10.23,9.87,9.9,7.47,11022800.0
2011-11-23,9.8,9.82,9.53,9.61,7.25,12819100.0
2011-11-24,9.66,9.74,9.52,9.59,7.24,4942500.0
2011-11-25,9.53,9.64,9.46,9.47,7.15,11409300.0
2011-11-28,9.56,9.62,9.36,9.45,7.13,13357800.0
2011-11-29,9.48,9.7,9.26,9.5,7.17,30053600.0
2011-11-30,9.79,9.95,9.7,9.88,7.46,19922300.0
2011-12-01,10.6,10.75,10.25,10.54,7.95,42493100.0
2011-12-02,10.72,10.79,10.5,10.55,7.96,18918800.0
2011-12-05,10.73,10.82,10.6,10.61,8.01,10239900.0
2011-12-06,10.53,10.6,10.33,10.47,7.9,12138400.0
2011-12-07,10.43,10.43,10.15,10.2,7.7,12403100.0
2011-12-08,10.26,10.32,9.91,9.91,7.48,14390300.0
2011-12-09,10.0,10.28,9.98,10.1,7.62,13299100.0
2011-12-12,,,,,,
2011-12-13,10.0,10.18,9.93,9.97,7.52,11158300.0
2011-12-14,9.97,10.02,9.78,9.9,7.47,18505200.0
2011-12-15,10.0,10.24,9.95,10.0,7.55,22129100.0
2011-12-16,10.14,10.16,9.9,9.9,7.47,10467100.0
2011-12-19,9.93,10.05,9.76,9.76,7.37,11059600.0
2011-12-20,9.87,10.06,9.81,10.04,7.58,8380400.0
2011-12-21,10.0,10.04,9.87,10.01,7.55,5061200.0
2011-12-22,10.06,10.15,10.04,10.12,7.64,5994500.0
2011-12-23,10.14,10.21,10.05,10.11,7.63,5394100.0
2011-12-26,10.11,10.15,10.08,10.09,7.61,1168000.0
2011-12-27,10.07,10.18,10.07,10.12,7.64,3651000.0
2011-12-28,10.11,10.14,9.85,9.85,7.43,5415800.0
2011-12-29,9.95,9.97,9.61,9.8,7.4,8992200.0
2012-01-02,9.75,9.86,9.65,9.75,7.36,7102200.0
2012-01-03,9.85,9.94,9.76,9.92,7.49,10571100.0
2012-01-04,9.85,10.14,9.81,10.1,7.62,12176500.0
2012-01-05,10.01,10.17,9.88,9.99,7.54,10474800.0
2012-01-06,10.01,10.14,9.93,10.14,7.65,8992700.0
2012-01-09,10.15,10.31,10.1,10.3,7.77,9344700.0
2012-01-10,10.4,10.61,10.4,10.51,7.93,16119200.0
2012-01-11,10.49,10.61,10.36,10.41,7.86,19507200.0
2012-01-12,10.49,10.5,10.14,10.21,7.7,14347700.0
2012-01-13,10.19,10.19,10.05,10.11,7.63,14281000.0
2012-01-16,10.12,10.23,10.06,10.11,7.63,9610500.0
2012-01-17,,,,,,
2012-01-18,10.17,10.4,10.14,10.4,7.85,14304400.0
2012-01-19,10.38,10.48,10.31,10.35,7.81,10097100.0
2012-01-20,10.32,10.4,10.25,10.4,7.85,7736300.0
2012-01-23,10.38,10.55,10.25,10.42,7.86,9539700.0
2012-01-24,10.33,10.49,10.31,10.41,7.86,7007300.0
2012-01-26,10.5,10.87,10.48,10.69,8.07,16409900.0
2012-01-27,10.7,10.94,10.7,10.89,8.22,7760100.0
2012-01-30,10.78,10.98,10.75,10.98,8.29,11833300.0
2012-01-31,10.99,11.14,10.91,10.99,8.29,18004700.0
2012-02-01,11.08,11.54,10.97,11.54,8.71,17834100.0
2012-02-02,11.5,11.74,11.41,11.68,8.81,12948900.0
2012-02-03,11.56,12.0,11.56,11.84,8.93,14404200.0
2012-02-06,11.79,11.9,11.73,11.84,8.93,11480800.0
2012-02-07,11.79,11.97,11.75,11.91,8.99,12741700.0
2012-02-08,11.93,12.09,11.91,12.08,9.12,15769900.0
2012-02-09,12.0,12.14,11.71,11.89,8.97,15548800.0
2012-02-10,11.63,11.73,11.58,11.6,8.75,16923300.0
2012-02-13,11.79,12.18,11.76,12.17,9.18,14104800.0
2012-02-14,12.21,12.6,12.07,12.31,9.29,17918700.0
2012-02-15,12.45,12.6,11.98,12.04,9.09,19179300.0
2012-02-16,11.97,11.97,11.71,11.76,8.87,21596100.0
2012-02-17,11.8,11.84,11.59,11.76,8.87,9215500.0
2012-02-23,11.68,11.82,11.61,11.66,8.8,10276000.0
2012-02-24,11.67,11.75,11.63,11.72,8.84,10536200.0
2012-02-27,11.64,11.73,11.5,11.65,8.79,14608300.0
2012-02-28,11.62,11.95,11.62,11.9,8.98,10846700.0
2012-02-29,11.97,12.09,11.49,11.49,8.67,17415200.0
2012-03-01,11.66,11.83,11.62,11.7,8.83,10280700.0
2012-03-02,11.8,12.03,11.72,12.03,9.08,9169600.0
2012-03-05,11.98,12.08,11.9,12.0,9.06,9211300.0
2012-03-06,11.86,11.86,11.6,11.7,8.83,12842100.0
2012-03-07,11.81,12.05,11.79,12.05,9.09,15228600.0
