Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,2.8,2.85,2.73,2.73,1.65,514800.0
2000-01-04,2.73,2.74,2.6,2.6,1.57,314100.0
2000-01-05,2.6,2.63,2.51,2.63,1.59,478800.0
2000-01-06,2.63,2.67,2.6,2.67,1.61,205200.0
2000-01-07,2.67,2.67,2.61,2.61,1.57,394200.0
2000-01-10,2.73,2.75,2.67,2.75,1.66,549000.0
2000-01-11,2.77,2.85,2.68,2.71,1.64,642600.0
2000-01-12,2.73,2.77,2.68,2.75,1.66,584100.0
2000-01-13,2.8,2.83,2.7,2.7,1.63,551700.0
2000-01-14,2.73,2.77,2.7,2.7,1.63,248400.0
2000-01-17,2.67,2.73,2.64,2.72,1.64,149400.0
2000-01-18,2.67,2.81,2.67,2.79,1.69,306000.0
2000-01-19,2.8,2.83,2.73,2.76,1.67,105300.0
2000-01-20,2.72,2.81,2.72,2.75,1.66,344700.0
2000-01-21,2.73,2.8,2.71,2.77,1.67,158400.0
2000-01-24,2.7,2.83,2.7,2.7,1.63,897300.0
2000-01-25,2.7,2.7,2.7,2.7,1.63,
2000-01-26,2.7,2.78,2.7,2.77,1.67,146700.0
2000-01-27,2.83,2.83,2.7,2.71,1.64,202500.0
2000-01-28,2.8,2.8,2.62,2.64,1.59,535500.0
2000-01-31,2.65,2.65,2.6,2.63,1.59,286200.0
2000-02-01,2.64,2.64,2.61,2.63,1.59,277200.0
2000-02-02,2.63,2.63,2.6,2.61,1.57,76500.0
2000-02-03,2.67,2.67,2.61,2.63,1.59,138600.0
2000-02-04,2.67,2.72,2.62,2.67,1.61,254700.0
2000-02-07,2.67,2.67,2.62,2.62,1.58,321300.0
2000-02-08,2.67,2.7,2.64,2.68,1.62,1360800.0
2000-02-09,2.67,2.74,2.67,2.68,1.62,178200.0
2000-02-10,2.67,2.67,2.62,2.65,1.6,907200.0
2000-02-11,2.65,2.67,2.63,2.63,1.59,545400.0
2000-02-14,2.63,2.63,2.53,2.61,1.57,298800.0
2000-02-15,2.56,2.56,2.44,2.49,1.5,390600.0
2000-02-16,2.49,2.63,2.43,2.55,1.54,1227600.0
2000-02-17,2.5,2.53,2.49,2.5,1.51,754200.0
2000-02-18,2.5,2.62,2.48,2.5,1.51,252000.0
2000-02-21,2.52,2.77,2.48,2.61,1.57,937800.0
2000-02-22,2.7,2.7,2.57,2.57,1.55,197100.0
2000-02-23,2.57,2.66,2.54,2.63,1.59,451800.0
2000-02-24,2.63,2.73,2.5,2.5,1.51,598500.0
2000-02-25,2.5,2.63,2.49,2.52,1.52,759600.0
2000-02-28,2.55,2.6,2.49,2.55,1.54,90900.0
2000-02-29,2.5,2.5,2.46,2.48,1.5,1028700.0
2000-03-01,2.5,2.5,2.45,2.45,1.48,879300.0
2000-03-02,2.53,2.6,2.44,2.45,1.48,567900.0
2000-03-03,2.45,2.5,2.45,2.47,1.49,732600.0
2000-03-06,2.47,2.47,2.47,2.47,1.49,
2000-03-07,2.47,2.47,2.47,2.47,1.49,
2000-03-08,2.53,2.57,2.4,2.57,1.55,564300.0
2000-03-09,2.47,2.47,2.42,2.47,1.49,791100.0
2000-03-10,2.5,2.56,2.48,2.55,1.54,81000.0
2000-03-13,2.55,2.55,2.55,2.55,1.54,
2000-03-14,2.45,2.45,2.35,2.35,1.42,711900.0
2000-03-15,2.43,2.43,2.24,2.32,1.4,1014300.0
2000-03-16,2.39,2.39,2.27,2.33,1.41,672300.0
2000-03-17,2.33,2.33,2.27,2.27,1.37,352800.0
2000-03-20,2.25,2.25,2.1,2.16,1.31,305100.0
2000-03-21,2.17,2.23,2.07,2.15,1.3,1593000.0
2000-03-22,2.16,2.23,2.16,2.17,1.31,3384000.0
2000-03-23,2.18,2.26,2.15,2.15,1.3,293400.0
2000-03-24,2.17,2.23,2.17,2.18,1.32,273600.0
2000-03-27,2.2,2.2,2.08,2.13,1.29,333900.0
2000-03-28,2.16,2.16,2.07,2.07,1.25,323100.0
2000-03-29,2.08,2.11,2.07,2.1,1.27,480600.0
2000-03-30,2.08,2.11,2.08,2.09,1.26,273600.0
2000-03-31,2.11,2.11,2.09,2.1,1.27,748800.0
2000-04-03,2.1,2.1,2.02,2.02,1.22,777600.0
2000-04-04,2.03,2.04,1.98,2.04,1.23,1247400.0
2000-04-05,2.05,2.1,1.97,2.0,1.21,502200.0
2000-04-06,2.02,2.02,1.94,1.97,1.19,369000.0
2000-04-07,1.97,2.0,1.92,1.96,1.19,890100.0
2000-04-10,1.96,1.99,1.89,1.9,1.15,495900.0
2000-04-11,1.98,1.98,1.87,1.89,1.14,755100.0
2000-04-12,1.97,2.0,1.87,1.93,1.16,846000.0
2000-04-13,1.93,1.98,1.87,1.9,1.15,302400.0
2000-04-14,1.87,1.9,1.8,1.83,1.11,595800.0
2000-04-17,1.88,1.88,1.77,1.88,1.14,405900.0
2000-04-18,1.9,2.0,1.84,1.93,1.17,767700.0
2000-04-19,1.98,2.0,1.84,1.84,1.11,309600.0
2000-04-20,1.9,1.9,1.85,1.87,1.13,258300.0
2000-04-21,1.87,1.87,1.87,1.87,1.13,
2000-04-24,1.88,1.93,1.87,1.87,1.13,328500.0
2000-04-25,1.93,1.97,1.87,1.87,1.13,279900.0
2000-04-26,1.92,1.92,1.85,1.9,1.15,439200.0
2000-04-27,1.83,1.92,1.83,1.9,1.15,1332900.0
2000-04-28,1.95,2.05,1.88,2.0,1.21,460800.0
2000-05-01,2.0,2.0,2.0,2.0,1.21,
2000-05-02,2.1,2.13,2.0,2.06,1.25,914400.0
2000-05-03,2.03,2.1,1.98,2.05,1.24,220500.0
2000-05-04,2.08,2.08,2.0,2.02,1.22,137700.0
2000-05-05,2.0,2.0,1.97,1.98,1.2,211500.0
2000-05-08,2.0,2.0,1.95,1.95,1.18,243900.0
2000-05-09,1.94,2.0,1.93,1.95,1.18,243000.0
2000-05-10,1.95,1.96,1.91,1.91,1.16,350100.0
2000-05-11,2.0,2.0,1.91,1.93,1.17,369000.0
2000-05-12,1.97,1.97,1.87,1.95,1.18,401400.0
2000-05-15,1.96,2.0,1.88,1.99,1.2,132300.0
2000-05-16,1.98,2.03,1.97,1.99,1.2,414000.0
2000-05-17,1.97,2.03,1.96,2.02,1.22,280800.0
2000-05-18,1.98,2.03,1.94,1.96,1.18,134100.0
2000-05-19,1.97,2.0,1.94,2.0,1.21,93600.0
2000-05-22,1.97,1.97,1.9,1.95,1.18,1172700.0
2000-05-23,2.0,2.0,1.87,1.87,1.13,234900.0
2000-05-24,1.87,1.93,1.84,1.93,1.17,202500.0
2000-05-25,2.0,2.0,1.87,1.87,1.13,283500.0
2000-05-26,1.91,1.96,1.91,1.94,1.17,69300.0
2000-05-29,1.97,1.97,1.87,1.93,1.16,399600.0
2000-05-30,1.98,1.98,1.88,1.96,1.18,335700.0
2000-05-31,1.93,1.98,1.8,1.87,1.13,382500.0
2000-06-01,1.88,1.91,1.87,1.91,1.15,304200.0
2000-06-02,1.97,1.97,1.93,1.97,1.19,452700.0
2000-06-05,1.95,1.99,1.92,1.92,1.16,418500.0
2000-06-06,1.92,1.92,1.92,1.92,1.16,
2000-06-07,1.9,1.98,1.9,1.98,1.2,254700.0
2000-06-08,1.99,2.0,1.93,1.95,1.18,332100.0
2000-06-09,1.95,1.96,1.93,1.96,1.18,43200.0
2000-06-12,1.93,1.97,1.9,1.93,1.17,459000.0
2000-06-13,1.96,1.98,1.92,1.96,1.19,302400.0
2000-06-14,1.96,1.96,1.88,1.91,1.15,866700.0
2000-06-15,1.96,2.02,1.9,2.0,1.21,1130400.0
2000-06-16,2.02,2.1,1.98,2.01,1.21,757800.0
2000-06-19,2.07,2.07,1.97,2.07,1.25,586800.0
2000-06-20,2.1,2.12,2.03,2.12,1.28,648900.0
2000-06-21,2.1,2.29,2.1,2.27,1.37,617400.0
2000-06-22,2.27,2.27,2.27,2.27,1.37,
2000-06-23,2.26,2.26,2.17,2.23,1.35,281700.0
2000-06-26,2.18,2.2,2.13,2.15,1.3,914400.0
2000-06-27,2.12,2.2,2.12,2.18,1.32,641700.0
2000-06-28,2.23,2.23,2.15,2.15,1.3,350100.0
2000-06-29,2.17,2.19,2.12,2.16,1.3,186300.0
2000-06-30,2.13,2.17,2.1,2.15,1.3,251100.0
2000-07-03,2.15,2.23,2.13,2.17,1.31,149400.0
2000-07-04,2.17,2.23,2.1,2.13,1.29,369900.0
2000-07-05,2.16,2.19,2.13,2.16,1.31,229500.0
2000-07-06,2.2,2.24,2.16,2.23,1.35,729000.0
2000-07-07,2.25,2.28,2.23,2.23,1.35,479700.0
2000-07-10,2.27,2.31,2.25,2.25,1.36,623700.0
2000-07-11,2.2,2.23,2.11,2.18,1.32,422100.0
2000-07-12,2.21,2.21,2.12,2.16,1.3,306900.0
2000-07-13,2.14,2.19,2.1,2.1,1.27,137700.0
2000-07-14,2.09,2.14,2.08,2.12,1.28,490500.0
2000-07-17,2.09,2.18,2.08,2.16,1.31,119700.0
2000-07-18,2.18,2.2,2.03,2.03,1.23,163800.0
2000-07-19,2.1,2.11,2.04,2.06,1.24,279000.0
2000-07-20,2.08,2.13,2.07,2.13,1.29,117000.0
2000-07-21,2.13,2.14,2.12,2.13,1.29,236700.0
2000-07-24,2.11,2.16,2.1,2.13,1.28,171000.0
2000-07-25,2.11,2.12,2.07,2.07,1.25,148500.0
2000-07-26,2.07,2.14,2.07,2.12,1.28,274500.0
2000-07-27,2.1,2.13,2.08,2.12,1.28,263700.0
2000-07-28,2.13,2.13,2.07,2.08,1.26,113400.0
2000-07-31,2.1,2.1,2.06,2.08,1.26,57600.0
2000-08-01,2.06,2.12,2.05,2.07,1.25,113400.0
2000-08-02,2.07,2.11,2.0,2.06,1.24,456300.0
2000-08-03,2.02,2.13,2.01,2.12,1.28,334800.0
2000-08-04,2.16,2.16,2.05,2.07,1.25,42300.0
2000-08-07,2.13,2.13,2.07,2.11,1.27,189900.0
2000-08-08,2.11,2.15,2.1,2.14,1.29,1077300.0
2000-08-09,2.15,2.15,2.06,2.13,1.29,666000.0
2000-08-10,2.1,2.14,2.07,2.09,1.26,234900.0
2000-08-11,2.07,2.13,2.07,2.13,1.29,358200.0
2000-08-14,2.1,2.18,2.07,2.15,1.3,608400.0
2000-08-15,2.13,2.17,2.12,2.12,1.28,416700.0
2000-08-16,2.05,2.13,2.02,2.04,1.23,1466100.0
2000-08-17,2.1,2.16,2.07,2.12,1.28,944100.0
2000-08-18,2.12,2.13,2.08,2.08,1.25,151200.0
2000-08-21,2.07,2.08,2.04,2.07,1.25,202500.0
2000-08-22,2.07,2.16,2.07,2.08,1.26,402300.0
2000-08-23,2.08,2.13,2.06,2.1,1.27,304200.0
2000-08-24,2.07,2.1,2.07,2.1,1.27,78300.0
2000-08-25,2.12,2.16,2.08,2.13,1.29,803700.0
2000-08-28,2.11,2.15,2.11,2.13,1.29,780300.0
2000-08-29,2.1,2.13,2.08,2.13,1.29,369900.0
2000-08-30,2.13,2.13,2.05,2.07,1.25,577800.0
2000-08-31,2.07,2.1,2.04,2.05,1.24,577800.0
2000-09-01,2.07,2.16,2.07,2.15,1.3,947700.0
2000-09-04,2.15,2.2,2.15,2.18,1.32,848700.0
2000-09-05,2.18,2.18,2.13,2.15,1.3,502200.0
2000-09-06,2.13,2.19,2.11,2.16,1.3,292500.0
2000-09-07,2.16,2.16,2.16,2.16,1.3,
2000-09-08,2.19,2.19,2.15,2.16,1.3,277200.0
2000-09-11,2.16,2.17,2.11,2.13,1.29,229500.0
2000-09-12,2.13,2.15,2.1,2.1,1.27,226800.0
2000-09-13,2.07,2.2,2.07,2.19,1.32,378000.0
2000-09-14,2.17,2.17,2.11,2.12,1.28,161100.0
2000-09-15,2.07,2.11,2.07,2.1,1.27,123300.0
2000-09-18,2.1,2.11,2.05,2.07,1.25,143100.0
2000-09-19,2.1,2.13,2.07,2.13,1.29,184500.0
2000-09-20,2.08,2.13,2.06,2.12,1.28,498600.0
2000-09-21,2.1,2.17,2.09,2.15,1.3,660600.0
2000-09-22,2.13,2.22,2.12,2.22,1.34,328500.0
2000-09-25,2.22,2.26,2.2,2.24,1.35,708300.0
2000-09-26,2.23,2.32,2.13,2.13,1.29,504000.0
2000-09-27,2.15,2.2,2.04,2.1,1.27,440100.0
2000-09-28,2.11,2.15,2.07,2.11,1.27,118800.0
2000-09-29,2.11,2.11,2.07,2.08,1.26,241200.0
2000-10-02,2.09,2.12,2.05,2.12,1.28,209700.0
2000-10-03,2.12,2.13,2.05,2.13,1.29,225900.0
2000-10-04,2.13,2.15,2.03,2.15,1.3,216000.0
2000-10-05,2.15,2.15,2.15,2.15,1.3,
2000-10-06,2.15,2.15,2.05,2.06,1.24,738000.0
2000-10-09,2.07,2.1,2.03,2.1,1.27,289800.0
2000-10-10,2.1,2.1,2.05,2.05,1.24,85500.0
2000-10-11,2.05,2.13,2.04,2.05,1.24,198900.0
2000-10-12,2.05,2.05,2.05,2.05,1.24,
2000-10-13,2.03,2.12,2.03,2.1,1.27,172800.0
2000-10-16,2.07,2.16,2.07,2.09,1.26,298800.0
2000-10-17,2.08,2.1,2.05,2.06,1.24,334800.0
2000-10-18,2.01,2.03,1.82,1.93,1.17,1526400.0
2000-10-19,1.98,2.0,1.94,2.0,1.21,345600.0
2000-10-20,1.93,1.98,1.91,1.93,1.17,272700.0
2000-10-23,1.91,1.97,1.8,1.83,1.11,396000.0
2000-10-24,1.83,1.83,1.83,1.83,1.11,
2000-10-25,1.83,2.0,1.8,1.83,1.11,392400.0
2000-10-26,1.83,1.9,1.83,1.9,1.15,277200.0
2000-10-27,2.0,2.0,1.92,1.98,1.19,276300.0
2000-10-30,1.92,2.0,1.84,2.0,1.21,96300.0
2000-10-31,2.02,2.08,1.95,1.95,1.18,138600.0
2000-11-01,1.95,2.0,1.92,2.0,1.21,52200.0
2000-11-02,2.0,2.0,2.0,2.0,1.21,
2000-11-03,2.0,2.05,1.9,2.0,1.21,282600.0
2000-11-06,1.99,2.08,1.95,2.01,1.21,365400.0
2000-11-07,1.95,2.02,1.94,1.95,1.18,113400.0
2000-11-08,2.02,2.02,1.94,1.98,1.2,117900.0
2000-11-09,1.93,2.08,1.93,2.04,1.23,131400.0
2000-11-10,2.04,2.05,2.0,2.03,1.23,95400.0
2000-11-13,1.95,2.13,1.95,2.08,1.25,522900.0
2000-11-14,2.08,2.08,2.08,2.08,1.25,
2000-11-15,2.08,2.08,2.08,2.08,1.25,
2000-11-16,2.03,2.16,2.03,2.06,1.24,120600.0
2000-11-17,2.05,2.05,1.9,2.01,1.22,268200.0
2000-11-20,1.97,2.08,1.95,2.06,1.25,136800.0
2000-11-21,2.06,2.07,2.0,2.03,1.23,234900.0
2000-11-22,2.02,2.05,1.98,2.0,1.21,185400.0
2000-11-23,1.98,2.0,1.91,2.0,1.21,310500.0
2000-11-24,1.97,2.03,1.93,1.95,1.18,299700.0
2000-11-27,1.97,1.98,1.92,1.92,1.16,351000.0
2000-11-28,1.95,1.98,1.83,1.93,1.17,249300.0
2000-11-29,1.97,2.03,1.93,1.93,1.17,145800.0
2000-11-30,1.93,1.95,1.9,1.9,1.15,215100.0
2000-12-01,1.99,1.99,1.88,1.89,1.14,198000.0
2000-12-04,1.93,1.95,1.87,1.89,1.14,148500.0
2000-12-05,1.93,2.03,1.93,2.03,1.23,135900.0
2000-12-06,2.0,2.02,1.98,2.0,1.21,102600.0
2000-12-07,2.0,2.0,1.95,1.97,1.19,220500.0
2000-12-08,2.0,2.05,1.97,2.0,1.21,149400.0
2000-12-11,2.0,2.01,1.99,1.99,1.2,104400.0
2000-12-12,1.99,1.99,1.99,1.99,1.2,
