Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,3.35,3.35,3.22,3.22,2.41,225800.0
2000-01-04,3.13,3.13,2.96,2.98,2.24,1416385.0
2000-01-05,2.95,3.13,2.86,3.08,2.31,1231639.0
2000-01-06,3.08,3.27,3.07,3.13,2.34,1806404.0
2000-01-07,3.22,3.22,3.11,3.18,2.39,1477967.0
2000-01-10,3.27,3.27,3.19,3.2,2.4,1765349.0
2000-01-11,3.27,3.27,3.01,3.01,2.26,2545387.0
2000-01-12,3.15,3.19,3.07,3.16,2.37,1560076.0
2000-01-13,3.27,3.36,3.19,3.33,2.5,5172884.0
2000-01-14,3.33,3.68,3.33,3.68,2.76,8436727.0
2000-01-17,3.8,3.89,3.54,3.62,2.71,1888513.0
2000-01-18,3.62,3.65,3.48,3.65,2.74,5419212.0
2000-01-19,3.57,3.62,3.48,3.54,2.65,1970622.0
2000-01-20,3.57,3.57,3.37,3.43,2.57,964784.0
2000-01-21,3.45,3.45,3.27,3.32,2.49,1847458.0
2000-01-24,3.38,3.38,3.24,3.27,2.45,697929.0
2000-01-25,3.27,3.27,3.27,3.27,2.45,
2000-01-26,3.27,3.27,3.19,3.19,2.39,1929568.0
2000-01-27,3.3,3.3,3.22,3.24,2.43,2627497.0
2000-01-28,3.26,3.33,3.26,3.3,2.48,1888513.0
2000-01-31,3.51,3.51,3.26,3.27,2.45,328437.0
2000-02-01,3.28,3.28,3.15,3.22,2.41,1375330.0
2000-02-02,3.27,3.33,3.24,3.24,2.43,225800.0
2000-02-03,3.39,3.51,3.39,3.41,2.55,1026366.0
2000-02-04,3.39,3.41,3.35,3.36,2.52,1190584.0
2000-02-07,3.27,3.3,3.27,3.27,2.45,5891340.0
2000-02-08,3.3,3.36,3.3,3.3,2.48,2216950.0
2000-02-09,3.31,3.35,3.27,3.3,2.48,1909040.0
2000-02-10,3.27,3.39,3.27,3.39,2.54,6425050.0
2000-02-11,3.39,3.39,3.22,3.27,2.45,472128.0
2000-02-14,3.43,3.43,3.19,3.24,2.43,1416385.0
2000-02-15,3.22,3.22,3.07,3.1,2.32,759511.0
2000-02-16,3.22,3.22,3.1,3.16,2.37,1765349.0
2000-02-17,3.13,3.16,3.08,3.09,2.31,1662713.0
2000-02-18,3.1,3.1,2.93,3.01,2.26,1211112.0
2000-02-21,2.98,3.07,2.92,3.01,2.26,390019.0
2000-02-22,3.01,3.01,2.97,2.98,2.24,574765.0
2000-02-23,2.98,3.01,2.94,3.0,2.25,431074.0
2000-02-24,3.04,3.08,2.95,2.95,2.21,2750660.0
2000-02-25,3.07,3.07,2.96,2.96,2.22,923729.0
2000-02-28,2.98,2.98,2.92,2.98,2.24,225800.0
2000-02-29,3.04,3.07,2.91,2.91,2.18,1970622.0
2000-03-01,2.98,3.07,2.98,2.98,2.24,3345953.0
2000-03-02,3.07,3.07,2.98,3.01,2.26,2832770.0
2000-03-03,3.07,3.07,3.0,3.01,2.26,2196423.0
2000-03-06,3.01,3.01,3.01,3.01,2.26,
2000-03-07,3.01,3.01,3.01,3.01,2.26,
2000-03-08,3.01,3.04,2.95,2.95,2.21,246328.0
2000-03-09,2.96,2.97,2.93,2.97,2.22,1354803.0
2000-03-10,2.97,2.98,2.94,2.97,2.22,1272694.0
2000-03-13,2.97,2.97,2.97,2.97,2.22,
2000-03-14,3.1,3.1,2.95,3.1,2.32,4167045.0
2000-03-15,3.07,3.13,3.04,3.1,2.32,821093.0
2000-03-16,3.08,3.1,3.04,3.07,2.3,985311.0
2000-03-17,3.07,3.13,2.95,2.95,2.21,1477967.0
2000-03-20,3.05,3.05,2.92,2.92,2.19,677401.0
2000-03-21,2.94,2.95,2.87,2.95,2.21,3120152.0
2000-03-22,3.01,3.07,2.95,3.07,2.3,3325425.0
2000-03-23,3.05,3.11,2.98,3.0,2.25,1129002.0
2000-03-24,3.01,3.17,3.01,3.17,2.38,2730133.0
2000-03-27,3.16,3.17,3.13,3.16,2.37,1539549.0
2000-03-28,3.16,3.23,3.1,3.22,2.41,2011677.0
2000-03-29,3.24,3.24,3.13,3.18,2.39,1991150.0
2000-03-30,3.18,3.19,3.07,3.11,2.33,862147.0
2000-03-31,3.1,3.21,3.1,3.21,2.4,225800.0
2000-04-03,3.07,3.15,3.04,3.13,2.34,513183.0
2000-04-04,3.15,3.16,2.99,3.02,2.27,1519021.0
2000-04-05,3.04,3.07,2.95,2.98,2.24,2976461.0
2000-04-06,2.98,3.05,2.98,3.01,2.26,554238.0
2000-04-07,3.01,3.09,3.01,3.08,2.31,246328.0
2000-04-10,3.04,3.04,2.94,2.94,2.2,287382.0
2000-04-11,2.92,2.98,2.89,2.98,2.24,821093.0
2000-04-12,2.98,2.98,2.89,2.92,2.19,307910.0
2000-04-13,2.92,2.95,2.81,2.86,2.15,1642185.0
2000-04-14,2.81,2.81,2.58,2.6,1.95,1744822.0
2000-04-17,2.57,2.66,2.44,2.66,1.99,1724295.0
2000-04-18,2.69,2.81,2.69,2.81,2.1,1293221.0
2000-04-19,2.78,2.78,2.74,2.75,2.06,615819.0
2000-04-20,2.75,2.81,2.69,2.81,2.1,821093.0
2000-04-21,2.81,2.81,2.81,2.81,2.1,
2000-04-24,2.71,2.78,2.71,2.78,2.08,1765349.0
2000-04-25,2.81,2.82,2.75,2.75,2.06,554238.0
2000-04-26,2.79,2.79,2.75,2.78,2.08,1334276.0
2000-04-27,2.78,2.92,2.75,2.85,2.14,759511.0
2000-04-28,2.92,2.98,2.86,2.98,2.24,2606969.0
2000-05-01,2.98,2.98,2.98,2.98,2.24,
2000-05-02,2.98,3.01,2.91,2.91,2.18,1046893.0
2000-05-03,2.89,2.92,2.84,2.85,2.14,328437.0
2000-05-04,2.81,2.84,2.79,2.81,2.1,1005839.0
2000-05-05,2.81,2.92,2.81,2.89,2.17,205273.0
2000-05-08,2.89,2.89,2.86,2.88,2.16,964784.0
2000-05-09,2.88,2.88,2.81,2.81,2.1,369492.0
2000-05-10,2.84,2.86,2.72,2.74,2.06,1416385.0
2000-05-11,2.75,2.75,2.73,2.73,2.05,513183.0
2000-05-12,2.73,2.73,2.63,2.64,1.98,307910.0
2000-05-15,2.69,2.72,2.62,2.72,2.04,2504333.0
2000-05-16,2.72,2.76,2.72,2.76,2.07,1334276.0
2000-05-17,2.78,2.78,2.66,2.69,2.01,472128.0
2000-05-18,2.69,2.7,2.63,2.63,1.97,656874.0
2000-05-19,2.63,2.66,2.6,2.66,1.99,1991150.0
2000-05-22,2.63,2.63,2.49,2.62,1.97,1046893.0
2000-05-23,2.6,2.63,2.54,2.54,1.91,431074.0
2000-05-24,2.54,2.57,2.5,2.57,1.93,2771188.0
2000-05-25,2.6,2.66,2.57,2.65,1.98,390019.0
2000-05-26,2.69,2.8,2.66,2.8,2.1,287382.0
2000-05-29,2.78,2.81,2.72,2.74,2.06,882675.0
2000-05-30,2.75,2.79,2.75,2.76,2.07,697929.0
2000-05-31,2.79,2.89,2.78,2.82,2.11,2483805.0
2000-06-01,2.89,2.95,2.89,2.95,2.21,266855.0
2000-06-02,3.04,3.1,2.98,3.05,2.29,2935406.0
