Date,Open,High,Low,Close,Adj Close,Volume
2013-04-29,16.95,16.95,16.1,16.6,12.21,85582800.0
2013-04-30,16.6,17.08,16.6,17.05,12.54,26950200.0
2013-05-02,17.0,17.5,16.98,17.5,12.87,16057200.0
2013-05-03,17.42,17.85,17.37,17.75,13.06,13031000.0
2013-05-06,17.75,17.99,17.64,17.93,13.19,19911900.0
2013-05-07,17.89,17.95,17.3,17.89,13.16,7255800.0
2013-05-08,17.8,17.88,17.33,17.5,12.87,10770000.0
2013-05-09,17.47,17.75,17.36,17.75,13.06,8355600.0
2013-05-10,17.7,17.95,17.55,17.91,13.17,7967400.0
2013-05-13,17.8,17.89,17.41,17.83,13.12,56364900.0
2013-05-14,17.7,18.05,17.7,18.0,13.24,21295600.0
2013-05-15,17.99,18.55,17.95,18.4,13.54,15626700.0
2013-05-16,18.26,18.8,18.2,18.8,13.83,6325600.0
2013-05-17,18.67,18.9,18.6,18.84,13.86,6700800.0
2013-05-20,18.67,18.9,18.3,18.56,13.65,2878000.0
2013-05-21,18.5,18.5,18.15,18.5,13.61,3956700.0
2013-05-22,18.36,18.56,17.93,18.25,13.42,4746800.0
2013-05-23,18.0,18.09,17.71,17.84,13.12,9282800.0
2013-05-24,17.76,18.04,17.6,18.04,13.27,3553500.0
2013-05-27,17.91,18.2,17.88,18.04,13.27,2299100.0
2013-05-28,18.04,18.35,17.98,18.35,13.5,4404600.0
2013-05-29,18.1,18.18,17.72,18.09,13.31,4862800.0
2013-05-31,18.0,18.47,17.8,18.47,13.59,9987300.0
2013-06-03,18.36,18.44,17.93,18.2,13.39,7616500.0
2013-06-04,18.2,18.2,17.75,17.8,13.09,6102100.0
2013-06-05,17.8,18.11,17.6,17.75,13.06,8793800.0
2013-06-06,17.77,17.94,17.6,17.8,13.09,3943400.0
2013-06-07,17.65,17.99,17.52,17.9,13.17,5410100.0
2013-06-10,17.71,18.0,17.7,17.95,13.2,3395600.0
2013-06-11,17.85,17.94,16.5,17.46,12.84,4884700.0
2013-06-12,17.52,17.69,17.15,17.25,12.69,3863700.0
2013-06-13,17.18,17.9,17.0,17.9,13.17,3606200.0
2013-06-14,17.88,18.3,17.82,18.14,13.34,11471900.0
2013-06-17,18.1,18.2,17.96,18.1,13.31,4869100.0
2013-06-18,18.0,18.15,17.78,17.98,13.23,4817900.0
2013-06-19,17.95,18.0,17.31,17.42,12.81,7752200.0
2013-06-20,17.2,17.39,16.7,17.21,12.66,8908300.0
2013-06-21,17.06,17.44,16.82,17.44,12.83,4906500.0
2013-06-24,17.06,17.1,15.98,16.95,12.47,12899600.0
2013-06-25,16.85,17.15,16.46,16.7,12.28,6366000.0
2013-06-26,16.9,16.97,16.62,16.83,12.38,3390800.0
2013-06-27,16.72,17.5,16.72,17.29,12.72,6301100.0
2013-06-28,17.27,17.84,17.12,17.6,12.95,5578700.0
2013-07-01,17.27,17.92,17.12,17.5,12.87,4269600.0
2013-07-02,17.52,17.78,16.8,17.19,12.65,3728300.0
2013-07-03,17.15,17.55,16.9,17.25,12.69,4602900.0
2013-07-04,17.25,17.74,17.15,17.73,13.04,5186400.0
2013-07-05,17.59,17.84,17.36,17.6,12.95,7332500.0
2013-07-08,17.59,18.08,17.49,17.9,13.17,4159400.0
2013-07-10,18.0,18.0,17.6,17.75,13.06,4124000.0
2013-07-11,17.8,17.95,17.63,17.9,13.17,4249400.0
2013-07-12,17.72,17.85,17.62,17.72,13.04,3439200.0
2013-07-15,17.72,17.72,17.26,17.61,12.95,5793100.0
2013-07-16,17.5,17.6,17.15,17.41,12.81,3055600.0
2013-07-17,17.4,17.98,17.35,17.96,13.21,6742200.0
2013-07-18,17.8,18.38,17.77,18.05,13.28,3402100.0
2013-07-19,17.96,18.04,17.82,17.95,13.2,1694200.0
2013-07-22,17.94,18.1,17.9,18.0,13.24,2413200.0
2013-07-23,17.97,18.05,17.91,18.0,13.24,2540100.0
2013-07-24,17.95,18.05,17.77,18.05,13.28,1977700.0
2013-07-25,17.83,18.18,17.82,18.11,13.32,3145900.0
2013-07-26,,,,,,
2013-07-29,18.05,18.43,17.95,18.15,13.35,2801100.0
2013-07-30,18.1,18.39,18.03,18.39,13.53,2984800.0
2013-07-31,18.21,18.45,18.16,18.44,13.56,3346600.0
2013-08-01,18.44,18.77,18.27,18.67,13.73,3614400.0
2013-08-02,18.5,19.07,18.46,18.99,13.97,5523200.0
2013-08-05,18.91,19.5,18.82,19.4,14.27,6374100.0
2013-08-06,19.36,19.48,19.03,19.4,14.27,3746700.0
2013-08-07,19.21,19.85,18.94,19.6,14.42,6741200.0
2013-08-08,19.5,20.0,19.25,19.9,14.64,5228100.0
2013-08-09,19.8,19.99,19.41,19.94,14.67,3321900.0
2013-08-12,20.0,20.1,19.43,19.51,14.35,5182100.0
2013-08-13,19.61,19.79,19.46,19.66,14.46,3361100.0
2013-08-14,19.59,19.77,19.35,19.4,14.27,3669100.0
2013-08-15,19.35,19.64,19.02,19.4,14.27,8960800.0
2013-08-16,19.37,19.74,18.95,19.31,14.2,4835900.0
2013-08-19,19.22,19.31,18.62,18.26,13.43,4897900.0
2013-08-20,18.22,18.58,18.01,18.2,13.7,3678700.0
2013-08-21,18.07,18.6,17.86,18.47,13.9,4048100.0
2013-08-22,18.41,18.72,18.31,18.72,14.09,2313000.0
2013-08-23,18.54,19.45,18.54,19.31,14.53,4077600.0
2013-08-26,18.95,19.05,18.87,18.99,14.29,4006000.0
2013-08-27,18.7,18.96,18.61,18.96,14.27,3484000.0
2013-08-28,18.8,18.95,18.62,18.87,14.2,3386300.0
2013-08-29,18.77,19.02,18.67,19.0,14.3,4654200.0
2013-08-30,18.77,19.24,18.67,19.24,14.48,3807500.0
2013-09-02,19.04,19.25,19.04,19.2,14.45,2949600.0
2013-09-03,19.05,19.3,19.0,19.19,14.44,5987400.0
2013-09-04,19.1,19.3,19.05,19.18,14.44,1877100.0
2013-09-05,19.11,19.64,19.11,19.55,14.72,4234200.0
2013-09-06,19.5,19.98,19.47,19.9,14.98,7978400.0
2013-09-09,19.81,20.57,19.71,20.46,15.4,6199300.0
2013-09-10,20.35,20.71,20.26,20.71,15.59,5235600.0
2013-09-11,20.5,21.12,20.42,20.86,15.7,7203600.0
2013-09-12,20.74,21.01,20.64,21.01,15.81,4667800.0
2013-09-13,20.91,21.09,20.86,20.94,15.76,2308400.0
2013-09-16,20.95,21.05,20.58,20.88,15.72,9339900.0
2013-09-17,20.76,21.27,20.72,21.18,15.94,6467500.0
2013-09-18,21.12,22.01,21.03,21.9,16.48,7528000.0
2013-09-19,21.84,21.99,21.15,21.75,16.37,5765500.0
2013-09-20,21.6,21.75,21.44,21.5,16.18,2971200.0
2013-09-23,21.6,21.75,21.18,21.39,16.1,3225900.0
2013-09-24,21.6,21.75,21.04,21.47,16.16,5959400.0
2013-09-25,21.4,21.88,21.25,21.85,16.45,2501600.0
2013-09-26,21.7,22.12,21.55,21.9,16.48,3635100.0
2013-09-27,21.8,22.16,21.66,22.16,16.68,2592200.0
2013-09-30,21.8,22.16,21.66,21.81,16.42,3580300.0
2013-10-01,21.75,22.46,21.63,22.46,16.91,2853100.0
2013-10-02,22.3,22.44,22.02,22.1,16.63,4816600.0
2013-10-03,22.05,22.2,21.35,21.6,16.26,3460000.0
2013-10-04,21.6,21.8,21.45,21.6,16.26,3831100.0
2013-10-07,21.5,22.01,21.42,21.99,16.55,5017800.0
2013-10-08,21.9,22.4,21.77,22.38,16.85,2529500.0
2013-10-09,22.29,22.85,22.2,22.84,17.19,4020200.0
2013-10-10,22.73,23.4,22.72,23.4,17.61,6824800.0
2013-10-11,23.26,23.44,23.13,23.33,17.56,5691900.0
2013-10-14,23.26,23.8,23.01,23.59,17.76,4245700.0
2013-10-15,23.5,23.79,23.13,23.75,17.88,3549600.0
2013-10-16,23.75,23.88,23.52,23.55,17.73,4807000.0
2013-10-17,23.49,23.9,23.43,23.9,17.99,5664100.0
2013-10-18,23.93,24.34,23.93,24.23,18.24,7660700.0
2013-10-21,24.2,24.6,24.13,24.2,18.22,3558200.0
2013-10-22,24.15,24.35,23.91,24.22,18.23,6122100.0
2013-10-23,24.09,24.18,23.55,23.6,17.76,4296000.0
2013-10-24,23.66,23.99,23.41,23.99,18.06,2918500.0
2013-10-25,23.83,24.0,23.72,23.79,17.91,2330400.0
2013-10-28,23.85,23.87,23.61,23.85,17.95,1836800.0
2013-10-29,23.8,23.93,23.56,23.73,17.86,2831200.0
2013-10-30,23.75,24.14,23.57,24.14,18.17,3444800.0
2013-10-31,24.04,24.47,23.96,24.47,18.42,4142800.0
2013-11-01,24.47,24.73,24.34,24.7,18.59,3171700.0
2013-11-04,24.61,24.78,24.03,24.26,18.26,5427900.0
2013-11-05,24.16,24.4,23.85,23.85,17.95,3102400.0
2013-11-06,23.89,23.92,23.08,23.26,17.51,3651600.0
2013-11-07,23.22,23.6,23.1,23.1,17.39,3671300.0
2013-11-08,23.09,23.45,22.69,23.2,17.46,3305100.0
2013-11-11,23.4,23.91,23.3,23.66,17.81,2847400.0
2013-11-12,23.6,23.93,22.72,22.96,17.28,6258700.0
2013-11-13,22.88,23.83,22.66,23.68,17.82,3908200.0
2013-11-14,23.68,24.31,23.48,24.13,18.16,3324300.0
2013-11-18,24.13,24.44,23.82,24.1,18.14,3459600.0
2013-11-19,23.9,24.28,23.32,23.77,17.89,2557000.0
2013-11-21,23.49,24.28,23.47,24.1,18.14,3732800.0
2013-11-22,24.01,24.38,23.77,24.12,18.16,3020500.0
2013-11-25,24.18,24.39,24.09,24.22,18.23,4697900.0
2013-11-26,24.11,24.4,24.0,24.4,18.37,4353900.0
2013-11-27,24.3,24.43,24.06,24.43,18.39,3790300.0
2013-11-28,24.37,25.39,24.37,25.15,18.93,6908800.0
2013-11-29,25.25,25.59,25.11,25.4,19.12,5423000.0
2013-12-02,25.21,25.5,25.15,25.38,19.1,2171900.0
2013-12-03,25.4,25.45,24.79,25.1,18.89,2965500.0
