Date,Open,High,Low,Close,Adj Close,Volume
2000-08-14,9.06,9.12,8.5,8.5,5.58,1381520000.0
2000-08-15,8.62,8.75,8.12,8.12,5.33,2073664000.0
2000-08-16,8.25,8.25,7.5,7.5,4.92,3439232000.0
2000-08-17,7.62,7.81,7.31,7.44,4.88,2411472000.0
2000-08-18,7.5,7.56,7.25,7.31,4.8,1002800000.0
2000-08-21,7.38,7.5,7.12,7.19,4.72,1039584000.0
2000-08-22,7.31,7.5,7.31,7.38,4.84,1263680000.0
2000-08-23,7.38,7.75,7.38,7.75,5.09,5320704000.0
2000-08-24,7.75,8.0,7.62,7.88,5.17,3141792000.0
2000-08-25,7.94,8.12,7.94,8.06,5.29,2637968000.0
2000-08-28,8.06,8.06,7.75,7.81,5.13,3185888000.0
2000-08-29,7.75,7.94,7.75,7.88,5.17,1308256000.0
2000-08-30,7.94,7.94,7.62,7.81,5.13,1582720000.0
2000-08-31,7.81,7.94,7.69,7.81,5.13,937984000.0
2000-09-01,7.88,7.94,7.75,7.88,5.17,667904000.0
2000-09-04,7.88,8.25,7.81,8.12,5.33,2127344000.0
2000-09-05,8.19,8.5,7.94,8.31,5.45,3514560000.0
2000-09-06,8.5,8.62,8.12,8.31,5.45,5470576000.0
2000-09-07,33.25,33.25,33.25,33.25,21.82,
2000-09-08,8.31,8.38,8.25,8.38,5.5,485136000.0
2000-09-11,8.31,8.38,8.0,8.06,5.29,1275040000.0
2000-09-12,8.12,8.19,7.88,7.94,5.21,1544624000.0
2000-09-13,7.94,8.19,7.88,8.12,5.33,1170480000.0
2000-09-14,8.12,8.19,7.88,7.94,5.21,915568000.0
2000-09-15,7.94,8.06,7.88,7.88,5.17,445568000.0
2000-09-18,7.81,7.88,7.56,7.69,5.04,830736000.0
2000-09-19,7.75,7.81,7.5,7.69,5.04,1016432000.0
2000-09-20,7.69,7.69,7.5,7.69,5.04,879952000.0
2000-09-21,7.69,7.75,7.38,7.5,4.92,1485360000.0
2000-09-22,7.44,7.75,7.38,7.75,5.09,772944000.0
2000-09-25,7.81,7.94,7.62,7.69,5.04,509856000.0
2000-09-26,7.75,7.75,7.56,7.62,5.0,608256000.0
2000-09-27,7.75,7.75,7.38,7.5,4.92,1398352000.0
2000-09-28,7.5,7.69,7.44,7.62,5.0,514976000.0
2000-09-29,7.62,7.81,7.56,7.62,5.0,846320000.0
2000-10-02,7.62,7.62,7.5,7.56,4.96,778672000.0
2000-10-03,7.62,7.75,7.5,7.56,4.96,833312000.0
2000-10-04,7.56,7.69,7.5,7.62,5.0,634656000.0
2000-10-05,30.5,30.5,30.5,30.5,20.01,
2000-10-06,7.88,7.94,7.69,7.69,5.04,601152000.0
2000-10-09,7.75,7.75,7.62,7.69,5.04,499680000.0
2000-10-10,7.69,7.81,7.62,7.62,5.0,565280000.0
2000-10-11,7.56,7.69,7.56,7.56,4.96,440912000.0
2000-10-12,30.25,30.25,30.25,30.25,19.85,
2000-10-13,7.38,7.56,7.31,7.56,4.96,800112000.0
2000-10-16,7.56,7.69,7.38,7.38,4.84,981056000.0
2000-10-17,7.5,7.56,7.31,7.38,4.84,560368000.0
2000-10-18,7.31,7.38,7.19,7.19,4.72,1276368000.0
2000-10-19,7.38,7.5,7.31,7.31,4.8,1079408000.0
2000-10-20,7.38,7.44,7.25,7.25,4.76,224928000.0
2000-10-23,7.25,7.31,7.0,7.0,4.59,390688000.0
2000-10-24,28.0,28.0,28.0,28.0,18.37,
2000-10-25,6.75,6.88,6.56,6.62,4.35,548128000.0
2000-10-26,6.75,6.94,6.62,6.88,4.51,301328000.0
2000-10-27,7.0,7.19,6.94,7.12,4.67,320416000.0
2000-10-30,7.12,7.25,7.0,7.19,4.72,590848000.0
2000-10-31,7.25,7.31,6.94,7.0,4.59,363248000.0
2000-11-01,7.0,7.06,6.75,6.88,4.51,216560000.0
2000-11-02,27.5,27.5,27.5,27.5,18.04,
2000-11-03,6.94,6.94,6.69,6.81,4.47,374864000.0
2000-11-06,6.81,6.88,6.75,6.81,4.47,247600000.0
2000-11-07,6.81,6.81,6.69,6.69,4.39,374000000.0
2000-11-08,6.75,6.88,6.69,6.69,4.39,365984000.0
2000-11-09,6.69,6.81,6.62,6.81,4.47,173184000.0
2000-11-10,6.81,6.94,6.75,6.81,4.47,233280000.0
2000-11-13,6.75,6.81,6.69,6.69,4.39,485696000.0
2000-11-14,26.75,26.75,26.75,26.75,17.55,
2000-11-15,26.75,26.75,26.75,26.75,17.55,
2000-11-16,6.5,6.56,6.31,6.38,4.18,427488000.0
2000-11-17,6.44,6.44,6.19,6.38,4.18,527520000.0
2000-11-20,6.44,6.75,6.38,6.75,4.43,280960000.0
2000-11-21,6.75,7.06,6.69,7.06,4.63,415536000.0
2000-11-22,6.88,7.0,6.81,6.94,4.55,374880000.0
2000-11-23,6.88,6.94,6.62,6.75,4.43,315216000.0
2000-11-24,6.75,6.75,6.5,6.69,4.39,412496000.0
2000-11-27,6.75,6.75,6.38,6.44,4.22,290592000.0
2000-11-28,6.44,6.5,6.31,6.38,4.18,316544000.0
2000-11-29,6.38,6.5,6.25,6.31,4.14,325504000.0
2000-11-30,6.19,6.19,6.06,6.12,4.02,415456000.0
2000-12-01,6.25,6.25,6.06,6.12,4.02,479200000.0
2000-12-04,6.12,6.44,6.12,6.44,4.22,456752000.0
2000-12-05,6.5,6.75,6.44,6.75,4.43,445456000.0
2000-12-06,6.69,6.75,6.5,6.62,4.35,284560000.0
2000-12-07,6.62,6.88,6.56,6.88,4.51,245376000.0
2000-12-08,6.88,7.06,6.88,6.88,4.51,594416000.0
2000-12-11,7.0,7.19,6.88,7.0,4.59,328320000.0
2000-12-12,,,,,,
2000-12-13,7.0,7.44,7.0,7.31,4.8,1486464000.0
2000-12-14,7.31,7.38,7.12,7.25,4.76,215872000.0
2000-12-15,7.19,7.25,7.0,7.25,4.76,190992000.0
2000-12-18,7.31,7.75,7.31,7.56,4.96,3112048000.0
