Date,Open,High,Low,Close,Adj Close,Volume
2017-12-15,15.41,16.12,15.25,16.0,15.25,49278500.0
2017-12-18,16.15,16.28,15.71,16.05,15.3,7464200.0
2017-12-19,16.05,16.25,15.7,15.95,15.2,4742200.0
2017-12-20,15.96,16.49,15.96,16.35,15.58,4956300.0
2017-12-21,16.32,17.23,16.32,16.6,15.82,15236900.0
2017-12-22,16.55,17.0,16.45,16.7,15.92,2934200.0
2017-12-25,16.7,16.7,16.7,16.7,15.92,
2017-12-26,16.72,16.9,16.24,16.72,15.94,1084300.0
2017-12-27,16.7,16.75,16.63,16.75,15.97,553900.0
2017-12-28,16.75,17.1,16.67,17.1,16.3,1838200.0
2017-12-29,17.1,17.1,17.1,17.1,16.3,
2018-01-02,17.0,17.44,16.75,17.23,16.42,3689600.0
2018-01-03,17.13,17.45,17.05,17.3,16.49,7242200.0
2018-01-04,17.25,17.43,17.1,17.2,16.39,1458600.0
2018-01-05,17.18,17.5,17.08,17.5,16.68,3257800.0
2018-01-08,17.42,17.46,17.13,17.4,16.58,3398500.0
2018-01-09,17.4,17.4,17.16,17.4,16.58,3093400.0
2018-01-10,17.37,17.45,17.06,17.25,16.44,5538800.0
2018-01-11,17.3,17.38,17.09,17.15,16.35,1076200.0
2018-01-12,17.0,17.24,16.57,17.07,16.27,2609200.0
2018-01-15,17.28,17.57,17.11,17.57,16.75,608900.0
2018-01-16,17.63,17.85,17.44,17.58,16.76,4828100.0
2018-01-17,17.58,17.75,17.31,17.75,16.92,3530100.0
2018-01-18,17.75,17.9,17.58,17.9,17.06,1925400.0
2018-01-19,17.8,17.9,17.64,17.9,17.06,1528500.0
2018-01-22,17.8,17.9,17.6,17.63,16.8,981600.0
2018-01-23,18.0,18.19,17.88,18.0,17.16,4637700.0
2018-01-24,18.15,19.7,18.1,19.1,18.21,3397300.0
2018-01-25,19.1,19.1,19.1,19.1,18.21,
2018-01-26,19.3,19.8,19.13,19.65,18.73,6020100.0
2018-01-29,19.6,20.2,19.45,20.1,19.16,8861300.0
2018-01-30,20.16,20.4,19.96,20.1,19.16,3436400.0
2018-01-31,20.27,21.11,20.25,21.0,20.02,7566200.0
2018-02-01,21.3,22.0,21.3,21.65,20.64,2905600.0
2018-02-02,20.93,21.15,20.79,21.0,20.57,1789300.0
2018-02-05,20.95,20.95,20.2,20.2,19.79,2430100.0
2018-02-06,19.75,20.39,19.39,20.32,19.91,1824000.0
2018-02-07,20.34,20.78,19.87,20.26,19.85,2391300.0
2018-02-08,20.35,20.82,20.23,20.82,20.4,4325800.0
2018-02-09,20.8,20.8,20.15,20.24,19.83,4344300.0
2018-02-14,20.72,21.4,20.26,21.17,20.74,2739300.0
2018-02-15,21.22,21.87,21.22,21.65,21.21,4821400.0
2018-02-16,21.54,21.98,21.54,21.84,21.39,2047900.0
2018-02-19,21.95,22.0,21.63,21.9,21.45,622300.0
2018-02-20,21.8,21.98,21.41,21.97,21.52,3916300.0
2018-02-21,21.83,22.0,21.76,21.9,21.45,2284200.0
2018-02-22,21.9,22.11,21.8,22.01,21.56,3044700.0
2018-02-23,22.12,22.3,21.61,21.87,21.42,1368600.0
2018-02-26,22.0,22.49,21.82,22.07,21.62,1839300.0
2018-02-27,22.0,22.6,21.83,22.53,22.07,1883500.0
2018-02-28,22.6,22.84,22.09,22.09,21.64,1606400.0
2018-03-01,22.2,22.6,21.85,22.6,22.14,2299000.0
2018-03-02,22.2,22.35,21.85,22.25,21.8,968700.0
2018-03-05,22.25,22.55,22.2,22.5,22.04,854500.0
2018-03-06,22.52,22.67,22.19,22.48,22.02,1270000.0
2018-03-07,22.5,22.7,21.7,22.3,21.85,2576100.0
2018-03-08,22.3,22.54,21.74,21.74,21.3,4401900.0
2018-03-09,21.74,22.04,21.43,21.95,21.5,4633500.0
2018-03-12,22.3,22.45,22.07,22.2,21.75,3619600.0
2018-03-13,22.31,22.55,22.23,22.45,21.99,3913300.0
2018-03-14,23.3,23.71,22.5,22.63,22.17,12417800.0
2018-03-15,22.7,23.16,22.26,22.9,22.43,3858200.0
2018-03-16,22.99,22.99,22.13,22.59,22.13,4757100.0
2018-03-19,22.49,22.53,22.25,22.53,22.07,1818600.0
2018-03-20,22.48,22.5,22.29,22.42,21.96,694700.0
2018-03-21,22.35,23.15,22.2,23.15,22.68,4175000.0
2018-03-22,23.05,23.45,22.87,23.4,22.92,1364100.0
2018-03-23,23.17,23.48,22.73,23.2,22.73,963200.0
2018-03-26,23.44,24.55,23.31,24.21,23.72,2467100.0
2018-03-27,24.39,24.43,23.04,23.71,23.23,2459300.0
2018-03-28,23.76,23.9,22.83,22.89,22.42,2062100.0
2018-03-29,23.14,23.36,22.81,23.09,22.62,4495300.0
