Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,861.11,861.11,861.11,861.11,698.71,3600.0
2000-01-04,855.56,875.0,855.56,855.56,694.21,7560.0
2000-01-05,875.0,875.0,855.56,855.56,694.21,
2000-01-06,833.33,833.33,833.33,833.33,676.17,23400.0
2000-01-07,833.33,833.33,833.33,833.33,676.17,49320.0
2000-01-10,972.22,972.22,916.67,916.67,743.79,74520.0
2000-01-11,916.67,916.67,833.33,833.33,676.17,
2000-01-12,908.33,908.33,833.33,833.33,676.17,
2000-01-13,916.67,916.67,833.33,833.33,676.17,
2000-01-14,908.33,908.33,833.33,833.33,676.17,
2000-01-17,1083.33,1083.33,833.33,833.33,676.17,
2000-01-18,916.67,916.67,833.33,833.33,676.17,
2000-01-19,875.0,902.78,875.0,902.78,732.52,144000.0
2000-01-20,902.78,902.78,902.78,902.78,732.52,
2000-01-21,902.78,902.78,902.78,902.78,732.52,
2000-01-24,902.78,902.78,902.78,902.78,732.52,
2000-01-25,902.78,902.78,902.78,902.78,732.52,
2000-01-26,861.11,861.11,722.22,722.22,586.02,
2000-01-27,722.22,722.22,722.22,722.22,586.02,
2000-01-28,722.22,722.22,722.22,722.22,586.02,
2000-01-31,819.44,819.44,819.44,819.44,664.9,72000.0
2000-02-01,763.89,763.89,763.89,763.89,619.83,360.0
2000-02-02,763.89,763.89,763.89,763.89,619.83,
2000-02-03,805.56,805.56,805.56,805.56,653.64,72720.0
2000-02-04,819.44,819.44,777.78,777.78,631.1,
2000-02-07,805.56,805.56,777.78,777.78,631.1,
2000-02-08,805.56,805.56,805.56,805.56,653.64,60480.0
2000-02-09,972.22,972.22,777.78,777.78,631.1,
2000-02-10,777.78,777.78,777.78,777.78,631.1,
2000-02-11,972.22,972.22,763.89,763.89,619.83,
2000-02-14,763.89,763.89,763.89,763.89,619.83,
2000-02-15,777.78,777.78,736.11,736.11,597.29,
2000-02-16,736.11,736.11,736.11,736.11,597.29,
2000-02-17,736.11,736.11,736.11,736.11,597.29,
2000-02-18,736.11,736.11,736.11,736.11,597.29,
2000-02-21,736.11,736.11,736.11,736.11,597.29,
2000-02-22,736.11,736.11,736.11,736.11,597.29,
2000-02-23,736.11,736.11,736.11,736.11,597.29,
2000-02-24,800.0,800.0,750.0,750.0,608.56,
2000-02-25,750.0,750.0,750.0,750.0,608.56,
2000-02-28,750.0,750.0,750.0,750.0,608.56,
2000-02-29,750.0,750.0,750.0,750.0,608.56,
2000-03-01,750.0,750.0,750.0,750.0,608.56,
2000-03-02,750.0,750.0,750.0,750.0,608.56,
2000-03-03,750.0,750.0,750.0,750.0,608.56,
2000-03-06,750.0,750.0,750.0,750.0,608.56,
2000-03-07,750.0,750.0,750.0,750.0,608.56,
2000-03-08,750.0,750.0,750.0,750.0,608.56,
2000-03-09,972.22,972.22,802.78,802.78,651.38,
2000-03-10,802.78,802.78,802.78,802.78,651.38,
2000-03-13,802.78,802.78,802.78,802.78,651.38,
2000-03-14,802.78,802.78,802.78,802.78,651.38,
2000-03-15,802.78,802.78,802.78,802.78,651.38,
2000-03-16,883.33,883.33,611.11,611.11,495.86,
2000-03-17,611.11,611.11,611.11,611.11,495.86,
2000-03-20,611.11,611.11,611.11,611.11,495.86,
2000-03-21,611.11,611.11,611.11,611.11,495.86,
2000-03-22,611.11,611.11,611.11,611.11,495.86,
2000-03-23,611.11,611.11,611.11,611.11,495.86,
2000-03-24,611.11,611.11,611.11,611.11,495.86,
2000-03-27,611.11,611.11,611.11,611.11,495.86,
2000-03-28,611.11,611.11,611.11,611.11,495.86,
2000-03-29,611.11,611.11,611.11,611.11,495.86,
2000-03-30,611.11,611.11,611.11,611.11,495.86,
2000-03-31,611.11,611.11,611.11,611.11,495.86,
2000-04-03,611.11,611.11,611.11,611.11,495.86,
2000-04-04,611.11,611.11,611.11,611.11,495.86,
2000-04-05,611.11,611.11,611.11,611.11,495.86,
2000-04-06,611.11,611.11,611.11,611.11,495.86,
2000-04-07,611.11,611.11,611.11,611.11,495.86,
2000-04-10,611.11,611.11,611.11,611.11,495.86,
2000-04-11,611.11,611.11,611.11,611.11,495.86,
2000-04-12,611.11,611.11,611.11,611.11,495.86,
2000-04-13,611.11,611.11,611.11,611.11,495.86,
2000-04-14,611.11,611.11,611.11,611.11,495.86,
2000-04-17,611.11,611.11,611.11,611.11,495.86,
2000-04-18,611.11,611.11,611.11,611.11,495.86,
2000-04-19,611.11,611.11,611.11,611.11,495.86,
2000-04-20,611.11,611.11,611.11,611.11,495.86,
2000-04-21,611.11,611.11,611.11,611.11,495.86,
2000-04-24,611.11,611.11,611.11,611.11,495.86,
2000-04-25,611.11,611.11,611.11,611.11,495.86,
2000-04-26,611.11,611.11,611.11,611.11,495.86,
2000-04-27,611.11,611.11,611.11,611.11,495.86,
2000-04-28,611.11,611.11,611.11,611.11,495.86,
2000-05-01,611.11,611.11,611.11,611.11,495.86,
2000-05-02,611.11,611.11,611.11,611.11,495.86,
2000-05-03,611.11,611.11,611.11,611.11,495.86,
2000-05-04,611.11,611.11,611.11,611.11,495.86,
2000-05-05,611.11,611.11,611.11,611.11,495.86,
2000-05-08,611.11,611.11,611.11,611.11,495.86,
2000-05-09,611.11,611.11,611.11,611.11,495.86,
2000-05-10,611.11,611.11,611.11,611.11,495.86,
2000-05-11,611.11,611.11,611.11,611.11,495.86,
2000-05-12,611.11,611.11,611.11,611.11,495.86,
2000-05-15,611.11,611.11,611.11,611.11,495.86,
2000-05-16,830.56,830.56,830.56,830.56,673.92,360.0
2000-05-17,830.56,830.56,830.56,830.56,673.92,
2000-05-18,830.56,830.56,830.56,830.56,673.92,
2000-05-19,830.56,830.56,830.56,830.56,673.92,
2000-05-22,830.56,830.56,830.56,830.56,673.92,
2000-05-23,830.56,830.56,830.56,830.56,673.92,
2000-05-24,830.56,830.56,830.56,830.56,673.92,
2000-05-25,830.56,830.56,830.56,830.56,673.92,
2000-05-26,830.56,830.56,750.0,750.0,608.56,
2000-05-29,830.56,830.56,747.22,747.22,606.3,
2000-05-30,750.0,750.0,750.0,750.0,608.56,360.0
2000-05-31,830.56,830.56,830.56,830.56,673.92,360.0
2000-06-01,830.56,830.56,830.56,830.56,673.92,
2000-06-02,827.78,827.78,827.78,827.78,671.67,360.0
2000-06-05,827.78,827.78,827.78,827.78,671.67,
2000-06-06,827.78,827.78,827.78,827.78,671.67,
2000-06-07,827.78,827.78,827.78,827.78,671.67,
2000-06-08,827.78,827.78,827.78,827.78,671.67,
2000-06-09,827.78,827.78,827.78,827.78,671.67,
2000-06-12,827.78,827.78,827.78,827.78,671.67,
2000-06-13,827.78,827.78,827.78,827.78,671.67,
2000-06-14,827.78,827.78,827.78,827.78,671.67,
2000-06-15,908.33,908.33,750.0,750.0,608.56,
2000-06-16,908.33,908.33,694.44,694.44,563.48,
2000-06-19,908.33,908.33,694.44,694.44,563.48,
2000-06-20,694.44,694.44,694.44,694.44,563.48,
2000-06-21,0.14,0.14,0.14,0.14,0.11,
2000-06-22,0.14,0.14,0.14,0.14,0.11,
2000-06-23,0.14,0.14,0.14,0.14,0.11,
2000-06-26,0.14,0.14,0.14,0.14,0.11,
2000-06-27,0.14,0.14,0.14,0.14,0.11,
2000-06-28,0.14,0.14,0.14,0.14,0.11,
2000-06-29,0.14,0.14,0.14,0.14,0.11,
2000-06-30,0.14,0.14,0.14,0.14,0.11,
2000-07-03,0.14,0.14,0.14,0.14,0.11,
2000-07-04,0.14,0.14,0.14,0.14,0.11,
2000-07-05,2.0,2.0,2.0,2.0,1.62,466200.0
2000-07-06,2.0,2.0,2.0,2.0,1.62,
2000-07-07,2.17,2.17,2.17,2.17,1.76,1800.0
2000-07-10,2.17,2.17,2.17,2.17,1.76,
2000-07-11,2.17,2.17,2.17,2.17,1.76,
2000-07-12,2.17,2.17,2.17,2.17,1.76,
2000-07-13,2.17,2.17,2.17,2.17,1.76,
2000-07-14,2.17,2.17,2.17,2.17,1.76,
2000-07-17,2.17,2.17,2.17,2.17,1.76,
2000-07-18,2.17,2.17,2.17,2.17,1.76,
2000-07-19,2.17,2.17,2.17,2.17,1.76,
2000-07-20,2.17,2.17,2.17,2.17,1.76,
2000-07-21,2.17,2.17,2.17,2.17,1.76,
2000-07-24,2.17,2.17,2.17,2.17,1.76,18000.0
2000-07-25,2.17,2.17,2.17,2.17,1.76,
2000-07-26,2.17,2.17,2.17,2.17,1.76,
2000-07-27,2.17,2.17,2.17,2.17,1.76,
2000-07-28,2.17,2.17,2.17,2.17,1.76,
2000-07-31,2.17,2.17,2.17,2.17,1.76,
2000-08-01,2.17,2.17,2.17,2.17,1.76,
2000-08-02,2.17,2.17,2.17,2.17,1.76,1800.0
2000-08-03,2.17,2.17,2.17,2.17,1.76,
2000-08-04,2.17,2.17,2.17,2.17,1.76,
2000-08-07,2.17,2.17,2.17,2.17,1.76,
2000-08-08,2.17,2.17,2.17,2.17,1.76,
2000-08-09,2.17,2.17,2.17,2.17,1.76,1800.0
2000-08-10,2.17,2.17,2.17,2.17,1.76,1800.0
2000-08-11,2.17,2.17,2.17,2.17,1.76,
2000-08-14,2.17,2.17,2.17,2.17,1.76,
2000-08-15,2.17,2.17,2.17,2.17,1.76,
2000-08-16,2.17,2.17,2.17,2.17,1.76,1800.0
2000-08-17,2.17,2.17,2.17,2.17,1.76,
2000-08-18,2.17,2.17,2.17,2.17,1.76,
2000-08-21,2.17,2.17,2.17,2.17,1.76,
2000-08-22,2.22,2.22,2.22,2.22,1.8,14400.0
2000-08-23,2.22,2.22,2.22,2.22,1.8,3600.0
2000-08-24,2.22,2.22,2.22,2.22,1.8,
2000-08-25,2.22,2.22,2.22,2.22,1.8,
2000-08-28,2.25,2.25,2.25,2.25,1.83,1800.0
2000-08-29,2.25,2.25,2.25,2.25,1.83,
2000-08-30,2.25,2.25,2.25,2.25,1.83,
2000-08-31,2.25,2.25,2.25,2.25,1.83,
2000-09-01,2.25,2.25,2.25,2.25,1.83,
2000-09-04,2.25,2.25,2.25,2.25,1.83,
2000-09-05,2.25,2.25,2.25,2.25,1.83,
2000-09-06,2.25,2.25,2.25,2.25,1.83,
2000-09-07,2.25,2.25,2.25,2.25,1.83,
2000-09-08,2.25,2.25,2.25,2.25,1.83,
2000-09-11,2.25,2.25,2.25,2.25,1.83,3600.0
2000-09-12,2.25,2.25,2.25,2.25,1.83,
2000-09-13,2.25,2.25,2.25,2.25,1.83,
2000-09-14,2.25,2.25,2.25,2.25,1.83,
2000-09-15,2.25,2.25,2.25,2.25,1.83,
2000-09-18,2.25,2.25,2.25,2.25,1.83,
2000-09-19,2.25,2.25,2.25,2.25,1.83,
2000-09-20,2.25,2.25,2.25,2.25,1.83,
2000-09-21,2.25,2.25,2.25,2.25,1.83,
2000-09-22,2.25,2.25,2.25,2.25,1.83,
2000-09-25,2.33,2.33,2.33,2.33,1.89,3600.0
2000-09-26,2.33,2.33,2.33,2.33,1.89,
2000-09-27,2.25,2.25,2.25,2.25,1.83,5400.0
2000-09-28,2.25,2.25,2.25,2.25,1.83,
2000-09-29,2.25,2.25,2.25,2.25,1.83,
2000-10-02,2.25,2.25,2.25,2.25,1.83,
2000-10-03,2.25,2.25,2.25,2.25,1.83,
2000-10-04,2.25,2.25,2.25,2.25,1.83,
2000-10-05,2.25,2.25,2.25,2.25,1.83,
2000-10-06,2.25,2.25,2.25,2.25,1.83,
2000-10-09,2.25,2.25,2.25,2.25,1.83,
2000-10-10,2.25,2.25,2.25,2.25,1.83,
2000-10-11,2.25,2.25,2.25,2.25,1.83,
2000-10-12,2.25,2.25,2.25,2.25,1.83,
2000-10-13,2.25,2.25,2.25,2.25,1.83,
2000-10-16,2.25,2.25,2.25,2.25,1.83,
2000-10-17,2.25,2.25,2.25,2.25,1.83,
2000-10-18,2.25,2.25,2.25,2.25,1.83,
2000-10-19,2.25,2.25,2.25,2.25,1.83,
2000-10-20,2.25,2.25,2.25,2.25,1.83,
2000-10-23,2.25,2.25,2.25,2.25,1.83,
2000-10-24,2.25,2.25,2.25,2.25,1.83,
2000-10-25,2.17,2.17,2.17,2.17,1.76,3600.0
2000-10-26,2.17,2.17,2.17,2.17,1.76,
2000-10-27,2.17,2.17,2.17,2.17,1.76,
2000-10-30,2.17,2.17,2.17,2.17,1.76,
2000-10-31,2.17,2.17,2.17,2.17,1.76,
2000-11-01,2.17,2.17,2.17,2.17,1.76,
2000-11-02,2.17,2.17,2.17,2.17,1.76,
2000-11-03,2.17,2.17,2.17,2.17,1.76,
2000-11-06,2.17,2.17,2.17,2.17,1.76,
2000-11-07,2.17,2.17,2.17,2.17,1.76,
2000-11-08,2.17,2.17,2.17,2.17,1.76,
2000-11-09,2.17,2.17,2.17,2.17,1.76,
2000-11-10,2.17,2.17,2.17,2.17,1.76,
2000-11-13,2.17,2.17,2.17,2.17,1.76,
2000-11-14,2.17,2.17,2.17,2.17,1.76,
2000-11-15,2.17,2.17,2.17,2.17,1.76,
2000-11-16,2.17,2.17,2.17,2.17,1.76,
2000-11-17,2.17,2.17,2.17,2.17,1.76,
2000-11-20,2.17,2.17,2.17,2.17,1.76,
2000-11-21,2.17,2.17,2.17,2.17,1.76,
2000-11-22,2.17,2.17,2.17,2.17,1.76,
2000-11-23,2.17,2.17,2.17,2.17,1.76,
2000-11-24,2.17,2.17,2.17,2.17,1.76,
2000-11-27,2.33,2.33,2.33,2.33,1.89,1800.0
2000-11-28,2.33,2.33,2.33,2.33,1.89,
2000-11-29,2.33,2.33,2.33,2.33,1.89,
2000-11-30,2.33,2.33,2.33,2.33,1.89,
2000-12-01,2.33,2.33,2.33,2.33,1.89,
2000-12-04,2.33,2.33,2.33,2.33,1.89,
2000-12-05,2.33,2.33,2.33,2.33,1.89,
2000-12-06,2.33,2.33,2.33,2.33,1.89,
2000-12-07,2.33,2.33,2.33,2.33,1.89,
2000-12-08,2.42,2.42,2.42,2.42,1.96,3600.0
2000-12-11,2.42,2.42,2.42,2.42,1.96,
2000-12-12,2.42,2.42,2.42,2.42,1.96,
2000-12-13,2.42,2.42,2.42,2.42,1.96,
2000-12-14,2.42,2.42,2.42,2.42,1.96,
2000-12-15,2.42,2.42,2.42,2.42,1.96,
2000-12-18,2.42,2.42,2.42,2.42,1.96,
2000-12-19,2.42,2.42,2.42,2.42,1.96,
2000-12-20,2.42,2.42,2.42,2.42,1.96,
2000-12-21,2.42,2.42,2.42,2.42,1.96,
2000-12-22,2.42,2.42,2.42,2.42,1.96,
2000-12-25,2.42,2.42,2.42,2.42,1.96,
2000-12-26,2.5,2.5,2.5,2.5,2.03,1800.0
2000-12-27,2.5,2.5,2.5,2.5,2.03,
2000-12-28,2.5,2.5,2.5,2.5,2.03,
2000-12-29,2.5,2.5,2.5,2.5,2.03,
2001-01-01,2.5,2.5,2.5,2.5,2.03,
2001-01-02,2.5,2.5,2.5,2.5,2.03,
2001-01-03,2.5,2.5,2.5,2.5,2.03,
2001-01-04,2.5,2.5,2.5,2.5,2.03,
2001-01-05,2.5,2.5,2.5,2.5,2.03,
2001-01-08,2.5,2.5,2.5,2.5,2.03,
2001-01-09,2.5,2.5,2.5,2.5,2.03,
2001-01-10,2.5,2.5,2.5,2.5,2.03,
2001-01-11,2.5,2.5,2.5,2.5,2.03,
2001-01-12,2.5,2.5,2.5,2.5,2.03,
2001-01-15,2.5,2.5,2.5,2.5,2.03,
2001-01-16,2.5,2.5,2.5,2.5,2.03,3600.0
2001-01-17,2.5,2.5,2.5,2.5,2.03,
2001-01-18,2.5,2.5,2.5,2.5,2.03,
2001-01-19,2.5,2.5,2.5,2.5,2.03,
2001-01-22,2.5,2.5,2.5,2.5,2.03,
2001-01-23,2.5,2.5,2.5,2.5,2.03,
2001-01-24,2.5,2.5,2.5,2.5,2.03,334800.0
2001-01-25,2.5,2.5,2.5,2.5,2.03,
2001-01-26,2.5,2.5,2.5,2.5,2.03,
2001-01-29,2.5,2.5,2.5,2.5,2.03,
2001-01-30,2.5,2.5,2.5,2.5,2.03,
2001-01-31,2.5,2.5,2.5,2.5,2.03,
2001-02-01,2.5,2.5,2.5,2.5,2.03,
2001-02-02,2.5,2.5,2.5,2.5,2.03,
2001-02-05,2.5,2.5,2.5,2.5,2.03,
2001-02-06,2.5,2.5,2.5,2.5,2.03,
2001-02-07,2.5,2.5,2.5,2.5,2.03,
2001-02-08,2.5,2.5,2.5,2.5,2.03,
2001-02-09,2.5,2.5,2.5,2.5,2.03,
2001-02-12,2.5,2.5,2.5,2.5,2.03,
2001-02-13,2.5,2.5,2.5,2.5,2.03,
2001-02-14,2.5,2.5,2.5,2.5,2.03,
2001-02-15,2.5,2.5,2.5,2.5,2.03,
2001-02-16,2.5,2.5,2.5,2.5,2.03,
2001-02-19,2.5,2.5,2.5,2.5,2.03,
2001-02-20,2.5,2.5,2.5,2.5,2.03,
2001-02-21,2.5,2.5,2.5,2.5,2.03,
2001-02-22,2.5,2.5,2.5,2.5,2.03,
2001-02-23,2.5,2.5,2.5,2.5,2.03,
2001-02-26,2.5,2.5,2.5,2.5,2.03,
2001-02-27,2.5,2.5,2.5,2.5,2.03,
2001-02-28,2.5,2.5,2.5,2.5,2.03,
2001-03-01,2.5,2.5,2.5,2.5,2.03,
2001-03-02,2.5,2.5,2.5,2.5,2.03,
2001-03-05,2.5,2.5,2.5,2.5,2.03,
2001-03-06,2.5,2.5,2.5,2.5,2.03,
2001-03-07,2.5,2.5,2.5,2.5,2.03,
2001-03-08,2.5,2.5,2.5,2.5,2.03,
2001-03-09,2.5,2.5,2.5,2.5,2.03,
2001-03-12,2.5,2.5,2.5,2.5,2.03,
2001-03-13,2.5,2.5,2.5,2.5,2.03,
2001-03-14,2.5,2.5,2.5,2.5,2.03,
2001-03-15,2.5,2.5,2.5,2.5,2.03,
2001-03-16,2.5,2.5,2.5,2.5,2.03,
2001-03-19,2.5,2.5,2.5,2.5,2.03,
2001-03-20,2.5,2.5,2.5,2.5,2.03,
2001-03-21,2.5,2.5,2.5,2.5,2.03,
2001-03-22,2.5,2.5,2.5,2.5,2.03,
2001-03-23,2.5,2.5,2.5,2.5,2.03,14400.0
2001-03-26,2.5,2.5,2.5,2.5,2.03,
2001-03-27,2.5,2.5,2.5,2.5,2.03,
2001-03-28,2.5,2.5,2.5,2.5,2.03,
2001-03-29,2.5,2.5,2.5,2.5,2.03,
