Date,Open,High,Low,Close,Adj Close,Volume
2007-04-05,5.18,5.35,5.09,5.28,4.26,25979213.0
2007-04-09,5.18,5.27,5.08,5.17,4.16,5308147.0
2007-04-10,5.17,5.17,4.96,5.03,4.06,5825417.0
2007-04-11,4.94,5.02,4.76,4.78,3.85,6010498.0
2007-04-12,4.75,5.03,4.73,4.95,3.99,3420261.0
2007-04-13,5.08,5.17,5.02,5.05,4.07,2631798.0
2007-04-16,5.07,5.18,4.96,4.97,4.0,1687257.0
2007-04-17,5.02,5.04,4.94,5.02,4.04,879060.0
2007-04-18,4.98,5.13,4.97,5.03,4.05,1265368.0
2007-04-19,4.97,5.05,4.93,5.05,4.07,1468688.0
2007-04-20,5.02,5.1,5.0,5.02,4.04,2086123.0
2007-04-23,5.02,5.04,5.01,5.03,4.05,1181648.0
2007-04-24,5.02,5.08,5.0,5.02,4.04,1723436.0
2007-04-25,5.03,5.18,5.03,5.17,4.16,1479153.0
2007-04-26,5.18,5.27,4.93,5.03,4.05,2016456.0
2007-04-27,5.02,5.03,4.94,4.95,3.99,1945892.0
2007-04-30,5.02,5.03,4.93,4.98,4.02,538200.0
2007-05-02,5.02,5.02,4.96,5.01,4.04,417703.0
2007-05-03,5.02,5.02,4.95,4.95,3.99,418301.0
2007-05-04,5.0,5.09,4.97,5.05,4.07,2234128.0
2007-05-07,5.2,5.45,5.2,5.35,4.31,1494103.0
2007-05-08,5.28,5.45,5.12,5.42,4.37,856336.0
2007-05-09,5.28,5.45,5.12,5.41,4.36,859027.0
2007-05-10,5.32,5.32,5.17,5.22,4.2,626704.0
2007-05-11,5.22,5.35,5.21,5.21,4.2,2373761.0
2007-05-14,5.31,5.31,5.15,5.23,4.21,413517.0
2007-05-15,5.32,5.35,5.2,5.33,4.3,897897.0
2007-05-16,5.54,5.57,5.31,5.54,4.46,1872039.0
2007-05-17,5.45,5.79,5.39,5.67,4.57,1547325.0
2007-05-18,5.67,5.87,5.67,5.85,4.72,1347294.0
2007-05-21,5.85,6.35,5.85,6.24,5.03,1595165.0
2007-05-22,6.32,6.59,6.25,6.25,5.04,3457935.0
2007-05-23,6.29,6.56,6.29,6.5,5.24,1303640.0
2007-05-24,6.59,6.66,6.49,6.52,5.26,2308878.0
2007-05-25,6.52,6.86,6.52,6.77,5.46,1347892.0
2007-05-28,6.77,7.22,6.77,7.09,5.71,492154.0
2007-05-29,7.19,7.42,7.02,7.02,5.66,3361956.0
2007-05-30,6.72,7.19,6.57,6.7,5.4,2734953.0
2007-05-31,6.85,7.18,6.74,7.02,5.66,992381.0
2007-06-01,7.16,7.68,7.16,7.68,6.18,804011.0
2007-06-04,7.59,8.36,7.59,7.96,6.41,1327261.0
2007-06-05,8.06,8.29,7.74,7.93,6.39,1297660.0
2007-06-06,7.93,7.96,7.63,7.66,6.17,651521.0
2007-06-08,7.61,7.84,7.35,7.7,6.2,1012414.0
2007-06-11,7.77,7.89,7.39,7.46,6.01,1521312.0
2007-06-12,7.77,7.89,7.39,7.46,6.01,1521312.0
2007-06-13,7.36,7.39,7.28,7.28,5.87,858429.0
2007-06-14,7.36,7.78,7.27,7.78,6.27,3912714.0
