Date,Open,High,Low,Close,Adj Close,Volume
2005-03-30,20.64,20.64,19.12,19.32,18.95,6353555.0
2005-03-31,19.47,19.47,17.51,19.32,18.95,4671406.0
2005-04-01,19.32,19.66,18.67,18.76,18.4,795747.0
2005-04-04,18.32,18.41,17.03,17.66,17.32,334527.0
2005-04-05,17.87,17.87,17.2,17.4,17.06,414885.0
2005-04-06,17.07,17.62,14.74,15.17,14.88,1184332.0
2005-04-07,15.36,16.08,15.28,15.98,15.68,1069726.0
2005-04-08,16.26,17.07,16.24,16.8,16.47,457079.0
2005-04-11,16.98,17.37,16.63,17.37,17.03,87857.0
2005-04-12,17.41,17.77,16.52,16.89,16.56,165081.0
2005-04-13,17.33,17.42,17.0,17.07,16.74,544152.0
2005-04-14,17.07,18.76,17.07,17.38,17.04,306435.0
2005-04-15,17.72,17.72,17.07,17.29,16.96,14661.0
2005-04-18,17.33,17.38,17.07,17.07,16.74,16788.0
2005-04-19,17.07,18.25,17.07,17.74,17.39,131729.0
2005-04-20,17.51,18.23,17.38,17.38,17.04,231226.0
2005-04-22,17.68,17.69,17.17,17.67,17.33,43089.0
2005-04-25,17.42,17.6,17.16,17.41,17.08,65025.0
2005-04-26,17.5,17.5,16.97,17.42,17.09,213878.0
2005-04-27,16.98,16.98,16.66,16.67,16.35,89536.0
2005-04-28,16.89,16.89,15.55,15.81,15.5,116732.0
2005-04-29,16.07,16.07,15.37,15.46,15.16,174147.0
2005-05-02,15.99,15.99,14.83,15.1,14.81,204477.0
2005-05-03,15.1,15.19,14.16,15.11,14.82,600672.0
2005-05-04,14.74,15.01,14.7,14.92,14.63,67040.0
2005-05-05,14.39,15.1,14.39,15.01,14.72,475434.0
2005-05-06,14.92,15.09,14.56,15.01,14.72,35814.0
2005-05-09,15.01,15.01,14.56,14.97,14.68,89647.0
2005-05-10,15.01,15.19,14.39,14.56,14.28,146391.0
2005-05-11,14.56,14.56,13.85,14.39,14.11,356799.0
2005-05-12,14.47,14.47,13.98,13.98,13.71,193061.0
2005-05-13,13.85,14.07,13.13,13.4,13.14,352322.0
2005-05-16,13.49,13.67,12.96,13.22,12.97,183436.0
2005-05-17,13.22,13.31,13.09,13.22,12.97,403246.0
2005-05-18,13.36,13.4,13.22,13.4,13.14,477448.0
2005-05-19,13.31,13.41,13.27,13.31,13.06,34583.0
2005-05-20,13.63,15.37,13.4,14.74,14.46,41410.0
2005-05-23,14.74,15.9,14.3,15.28,14.98,152434.0
2005-05-24,15.53,15.55,15.01,15.32,15.03,169334.0
2005-05-25,15.64,15.64,15.19,15.19,14.9,22608.0
2005-05-27,15.49,15.55,15.19,15.29,14.99,152546.0
2005-05-30,15.28,16.08,15.19,15.81,15.51,66592.0
2005-05-31,16.07,16.08,15.37,15.99,15.69,81142.0
2005-06-01,16.05,16.15,15.34,15.73,15.42,152099.0
2005-06-02,15.98,17.24,15.98,16.75,16.43,280022.0
2005-06-03,16.89,17.42,16.17,16.17,15.86,104197.0
2005-06-06,15.86,15.99,15.19,15.19,14.9,58758.0
2005-06-07,15.2,15.32,15.18,15.19,14.9,162619.0
2005-06-08,14.74,16.26,14.74,15.9,15.6,165529.0
2005-06-09,16.08,16.08,15.28,15.5,15.2,69726.0
2005-06-10,16.08,16.44,15.64,16.44,16.12,122104.0
2005-06-13,16.53,16.98,16.26,16.26,15.95,100056.0
2005-06-14,16.43,16.78,16.08,16.6,16.28,83940.0
2005-06-15,16.4,16.4,15.65,15.98,15.68,59653.0
2005-06-16,16.53,16.98,16.14,16.35,16.04,78344.0
2005-06-17,16.33,16.98,16.31,16.71,16.39,177616.0
2005-06-20,16.67,16.67,15.64,16.11,15.8,77672.0
2005-06-21,16.24,16.24,15.9,16.08,15.77,71517.0
2005-06-22,16.17,16.17,16.04,16.04,15.73,11975.0
2005-06-23,16.04,16.08,15.73,15.95,15.64,45215.0
2005-06-24,15.32,16.84,15.32,16.08,15.77,176497.0
2005-06-27,16.13,16.26,16.08,16.08,15.77,92110.0
2005-06-28,16.53,16.53,16.08,16.08,15.77,3581.0
2005-06-29,16.08,16.25,15.64,15.75,15.45,108450.0
2005-06-30,16.17,16.53,15.73,15.73,15.42,92893.0
2005-07-01,15.99,16.22,15.86,16.08,15.77,89424.0
2005-07-04,15.73,16.17,15.73,16.08,15.77,17571.0
2005-07-05,16.08,16.51,16.08,16.13,15.82,76329.0
2005-07-06,15.73,16.53,15.73,16.53,16.21,87857.0
2005-07-07,16.08,16.53,16.08,16.44,16.12,29099.0
2005-07-08,16.36,16.98,16.35,16.98,16.65,55064.0
2005-07-11,16.98,17.65,16.97,17.42,17.09,219698.0
2005-07-12,17.69,17.78,17.42,17.65,17.31,176385.0
2005-07-13,17.86,18.3,17.61,17.74,17.39,156016.0
2005-07-14,18.05,18.05,17.66,17.69,17.35,64801.0
2005-07-15,17.69,18.75,17.6,18.75,18.39,275993.0
2005-07-18,18.58,19.21,17.87,19.21,18.84,298377.0
2005-07-19,19.21,19.74,18.76,19.63,19.25,237493.0
2005-07-20,19.56,20.28,19.23,19.75,19.37,388137.0
2005-07-21,19.75,20.55,19.66,19.66,19.28,386122.0
2005-07-22,19.66,19.66,18.75,18.85,18.49,151875.0
2005-07-25,18.09,18.76,18.09,18.58,18.23,29994.0
2005-07-26,18.58,19.11,18.58,18.99,18.62,121209.0
2005-07-27,19.03,20.09,19.03,19.43,19.06,474427.0
2005-07-28,19.66,20.1,19.66,19.74,19.36,61108.0
2005-07-29,19.75,20.01,19.43,19.66,19.28,144712.0
2005-08-01,19.66,19.84,19.39,19.66,19.28,102294.0
2005-08-02,19.67,20.33,19.67,20.15,19.76,143369.0
2005-08-03,20.28,20.72,20.19,20.51,20.11,133184.0
2005-08-04,20.34,21.58,20.34,21.35,20.94,704645.0
2005-08-05,21.44,21.44,20.64,20.91,20.5,131170.0
2005-08-08,20.46,21.27,20.46,20.95,20.55,208618.0
2005-08-09,21.44,21.44,20.55,20.8,20.4,619586.0
2005-08-10,20.99,21.0,20.56,20.74,20.34,325909.0
2005-08-11,20.73,21.27,20.1,20.55,20.15,301399.0
2005-08-12,19.67,21.27,19.66,20.55,20.15,226637.0
2005-08-15,20.6,21.0,20.55,21.0,20.59,457527.0
2005-08-16,21.3,21.3,21.01,21.01,20.6,7163.0
2005-08-17,21.08,21.52,21.08,21.44,21.03,107107.0
2005-08-18,21.44,22.28,21.44,21.89,21.47,161947.0
2005-08-19,21.88,21.98,21.44,21.44,21.03,216005.0
2005-08-22,21.47,23.23,21.45,22.78,22.34,92669.0
2005-08-23,22.78,23.1,22.34,22.52,22.08,55512.0
2005-08-24,22.29,23.14,22.29,22.65,22.21,38948.0
2005-08-25,22.61,23.05,22.61,22.99,22.55,37717.0
2005-08-26,22.96,22.96,22.47,22.52,22.08,99608.0
2005-08-29,22.78,23.1,22.78,23.1,22.65,7722.0
2005-08-30,22.69,22.95,22.69,22.78,22.35,54393.0
2005-08-31,22.87,22.96,22.34,22.96,22.52,23391.0
2005-09-01,22.87,23.05,22.69,22.88,22.44,15445.0
2005-09-02,23.05,23.05,22.34,22.87,22.43,168663.0
2005-09-05,23.14,23.41,22.52,22.61,22.17,17459.0
2005-09-06,22.78,24.03,22.78,23.78,23.32,32121.0
2005-09-08,23.5,24.3,23.5,24.12,23.66,516844.0
2005-09-09,24.12,25.38,24.12,24.57,24.1,242418.0
2005-09-12,25.02,25.02,24.04,24.04,23.57,46894.0
2005-09-13,24.12,24.12,23.23,23.23,22.78,19586.0
2005-09-14,23.24,23.77,23.01,23.01,22.56,136318.0
2005-09-15,23.23,23.68,22.96,23.01,22.56,101959.0
2005-09-16,23.2,24.74,23.19,24.67,24.19,38836.0
2005-09-19,24.66,24.66,23.9,23.94,23.48,66704.0
2005-09-20,24.39,24.43,23.77,24.12,23.66,220146.0
2005-09-21,24.38,25.91,24.3,25.37,24.88,126021.0
2005-09-22,25.02,25.02,24.3,25.01,24.53,159149.0
2005-09-23,25.0,25.02,24.57,25.02,24.54,52714.0
2005-09-26,25.02,25.91,24.12,25.91,25.41,63011.0
2005-09-27,25.91,25.91,25.64,25.69,25.19,154225.0
2005-09-28,25.73,25.91,25.06,25.06,24.58,364298.0
2005-09-29,24.84,25.46,24.57,25.02,24.54,251371.0
2005-09-30,25.46,25.91,25.21,25.91,25.41,690879.0
2005-10-03,26.0,28.15,26.0,26.81,26.29,276553.0
2005-10-04,27.3,29.04,27.08,28.32,27.78,539452.0
2005-10-05,28.23,28.59,26.81,27.16,26.64,615557.0
2005-10-06,26.63,28.5,26.63,27.16,26.64,729491.0
2005-10-07,27.7,29.49,27.52,29.03,28.47,253050.0
2005-10-10,29.47,29.47,27.25,27.7,27.16,214773.0
2005-10-11,27.79,28.15,26.54,27.43,26.9,190711.0
2005-10-13,26.72,27.34,26.72,27.07,26.55,24510.0
2005-10-14,26.72,27.68,26.72,26.81,26.29,63682.0
2005-10-17,26.89,27.31,25.15,27.15,26.63,68495.0
2005-10-18,27.25,27.97,26.01,26.63,26.11,96810.0
2005-10-19,26.45,26.63,26.18,26.63,26.11,144712.0
2005-10-20,26.81,27.34,26.63,27.34,26.81,322552.0
2005-10-21,27.32,27.75,27.25,27.7,27.16,123671.0
2005-10-24,27.7,27.7,27.3,27.48,26.95,360828.0
2005-10-25,27.34,28.19,27.25,27.45,26.92,115053.0
2005-10-26,27.26,27.56,26.73,26.81,26.29,225965.0
2005-10-27,26.81,26.81,26.76,26.81,26.29,106212.0
2005-10-28,27.52,27.52,26.81,27.47,26.94,7722.0
2005-10-31,27.7,27.88,27.25,27.52,26.99,41970.0
2005-11-01,27.52,29.41,27.52,29.4,28.83,192949.0
2005-11-03,29.31,30.11,29.31,29.84,29.27,161164.0
2005-11-04,29.93,31.09,29.93,30.2,29.62,52266.0
2005-11-07,30.29,30.83,30.2,30.38,29.79,145271.0
2005-11-08,30.38,30.64,29.84,29.93,29.36,1201008.0
2005-11-09,30.56,30.73,29.04,30.2,29.62,37941.0
2005-11-10,30.2,30.2,29.4,29.71,29.14,33800.0
2005-11-11,29.4,30.02,28.15,28.64,28.08,51371.0
2005-11-14,29.31,29.48,28.99,29.13,28.57,83828.0
2005-11-16,28.6,30.02,28.6,29.49,28.92,80134.0
2005-11-17,29.93,29.93,29.62,29.66,29.09,157471.0
2005-11-18,29.83,29.84,29.63,29.66,29.09,132177.0
2005-11-21,29.84,29.84,28.82,29.49,28.92,102518.0
2005-11-22,29.04,29.57,28.32,29.49,28.92,426749.0
2005-11-23,30.04,30.2,29.57,29.57,29.0,130162.0
2005-11-24,29.59,32.17,29.57,30.74,30.14,495691.0
2005-11-25,30.92,32.61,30.92,32.31,31.69,125686.0
2005-11-28,32.61,33.01,31.71,32.14,31.52,166088.0
2005-11-29,32.3,32.3,31.27,31.99,31.37,37829.0
2005-11-30,31.72,33.28,31.72,33.04,32.4,747174.0
2005-12-01,33.04,34.74,32.61,33.95,33.3,128484.0
2005-12-02,34.31,35.11,34.31,35.1,34.42,153777.0
2005-12-05,35.29,36.63,35.29,36.37,35.66,255288.0
2005-12-06,38.22,38.42,36.37,38.22,37.49,125686.0
