Date,Open,High,Low,Close,Adj Close,Volume
2002-02-01,1.19,1.19,1.11,1.11,0.43,5017600.0
2002-02-04,1.11,1.11,1.11,1.11,0.43,8204800.0
2002-02-05,1.11,1.11,1.11,1.11,0.43,4588800.0
2002-02-06,1.12,1.12,1.12,1.12,0.43,6790400.0
2002-02-07,1.12,1.12,1.12,1.12,0.43,5881600.0
2002-02-08,1.12,1.12,1.12,1.12,0.43,2464000.0
2002-02-11,,,,,,
2002-02-12,,,,,,
2002-02-13,1.12,1.12,1.12,1.12,0.43,153600.0
2002-02-14,1.12,1.12,1.1,1.1,0.42,940800.0
2002-02-15,1.1,1.1,1.08,1.08,0.41,812800.0
2002-02-18,1.08,1.19,1.08,1.08,0.42,
2002-02-19,1.08,1.08,1.08,1.08,0.41,1190400.0
2002-02-20,1.08,1.08,1.06,1.06,0.41,659200.0
2002-02-21,1.06,1.07,1.06,1.06,0.41,3148800.0
2002-02-22,1.06,1.06,1.0,1.0,0.38,22233600.0
2002-02-25,1.06,1.06,1.06,1.06,0.41,20281600.0
2002-02-26,1.03,1.08,1.03,1.03,0.4,
2002-02-27,1.08,1.08,1.07,1.07,0.41,44800.0
2002-02-28,,,,,,
2002-03-01,1.09,1.09,1.09,1.09,0.42,2969600.0
2002-03-04,1.06,1.12,1.06,1.06,0.41,
2002-03-05,1.08,1.08,1.08,1.08,0.42,5401600.0
2002-03-06,1.09,1.09,1.09,1.09,0.42,160000.0
2002-03-07,1.08,1.09,1.08,1.09,0.42,646400.0
2002-03-08,1.08,1.09,1.08,1.09,0.42,1273600.0
2002-03-11,1.06,1.09,1.06,1.06,0.41,
2002-03-12,1.08,1.09,1.08,1.08,0.41,
2002-03-13,1.09,1.09,1.09,1.09,0.42,6400.0
2002-03-14,1.08,1.09,1.08,1.08,0.42,
2002-03-15,1.06,1.09,1.06,1.06,0.41,
2002-03-18,1.06,1.09,1.06,1.06,0.41,
2002-03-19,1.06,1.09,1.06,1.06,0.41,
2002-03-20,1.06,1.06,1.0,1.03,0.4,50144000.0
2002-03-21,1.03,1.03,1.02,1.02,0.39,1798400.0
2002-03-22,1.02,1.02,1.02,1.02,0.39,12800.0
2002-03-25,1.02,1.02,1.02,1.02,0.39,371200.0
2002-03-26,1.0,1.06,1.0,1.0,0.38,
2002-03-27,1.01,1.01,1.0,1.0,0.38,12729600.0
2002-03-28,0.97,1.0,0.97,0.97,0.37,
2002-03-29,0.97,0.97,0.97,0.97,0.37,
2002-04-01,0.94,1.0,0.94,0.94,0.36,
2002-04-02,0.94,1.0,0.94,0.94,0.36,
2002-04-03,1.0,1.0,1.0,1.0,0.38,320000.0
2002-04-04,1.0,1.0,1.0,1.0,0.38,5875200.0
2002-04-05,1.0,1.0,1.0,1.0,0.38,6400.0
2002-04-08,1.0,1.0,1.0,1.0,0.38,
2002-04-09,0.97,1.12,0.97,0.97,0.37,
2002-04-10,1.0,1.0,1.0,1.0,0.38,518400.0
2002-04-11,1.0,1.0,1.0,1.0,0.38,121600.0
2002-04-12,1.0,1.06,1.0,1.0,0.38,
2002-04-15,0.97,1.1,0.97,0.97,0.37,
2002-04-16,1.06,1.06,1.06,1.06,0.41,307200.0
2002-04-17,1.06,1.06,1.06,1.06,0.41,320000.0
2002-04-18,1.06,1.08,1.06,1.08,0.41,1222400.0
2002-04-19,1.08,1.08,1.08,1.08,0.41,1369600.0
2002-04-22,1.08,1.08,1.08,1.08,0.41,64000.0
2002-04-23,0.97,1.08,0.97,0.97,0.37,
2002-04-24,1.08,1.08,1.08,1.08,0.41,6400.0
2002-04-25,1.06,1.06,1.06,1.06,0.41,1280000.0
2002-04-26,1.12,1.12,1.09,1.09,0.42,1510400.0
2002-04-29,1.0,1.09,1.0,1.0,0.38,
2002-04-30,1.03,1.09,1.03,1.03,0.4,
2002-05-01,1.03,1.03,1.03,1.03,0.4,
2002-05-02,1.09,1.09,1.08,1.08,0.41,20966400.0
2002-05-03,1.06,1.08,1.06,1.08,0.41,217600.0
2002-05-06,1.06,1.06,1.06,1.06,0.41,32000.0
2002-05-07,1.08,1.08,1.07,1.08,0.41,320000.0
2002-05-08,0.97,1.03,0.97,0.97,0.37,
2002-05-09,1.03,1.03,1.03,1.03,0.4,32000.0
2002-05-10,0.97,1.08,0.97,0.97,0.37,
2002-05-13,1.0,1.06,1.0,1.0,0.38,
2002-05-14,1.06,1.06,1.06,1.06,0.41,281600.0
2002-05-15,0.97,1.04,0.97,0.97,0.37,
2002-05-16,0.97,1.04,0.97,0.97,0.37,
2002-05-17,1.0,1.0,1.0,1.0,0.38,339200.0
2002-05-20,1.0,1.0,1.0,1.0,0.38,121600.0
2002-05-21,1.0,1.0,1.0,1.0,0.38,64000.0
2002-05-22,0.98,1.0,0.98,0.98,0.38,
2002-05-23,0.99,0.99,0.99,0.99,0.38,83200.0
2002-05-24,0.99,0.99,0.97,0.97,0.37,435200.0
2002-05-27,0.94,1.06,0.94,0.94,0.36,
2002-05-28,0.97,0.97,0.97,0.97,0.37,7411200.0
2002-05-29,1.03,1.03,1.03,1.03,0.4,32000.0
2002-05-30,1.03,1.03,1.03,1.03,0.4,
2002-05-31,1.03,1.03,1.0,1.0,0.38,4953600.0
2002-06-03,1.0,1.0,1.0,1.0,0.38,51200.0
2002-06-04,0.97,1.08,0.97,0.97,0.37,
2002-06-05,0.94,1.03,0.94,0.94,0.36,
2002-06-06,1.06,1.06,1.06,1.06,0.41,153600.0
2002-06-07,0.94,1.06,0.94,0.94,0.36,
2002-06-10,1.03,1.03,1.03,1.03,0.4,3993600.0
2002-06-11,0.94,1.12,0.94,0.94,0.36,
2002-06-12,0.94,1.06,0.94,0.94,0.36,
2002-06-13,0.94,1.06,0.94,0.94,0.36,
2002-06-14,0.94,0.94,0.94,0.94,0.36,13158400.0
2002-06-17,0.94,1.06,0.94,0.94,0.36,
2002-06-18,0.91,1.06,0.91,0.91,0.35,
2002-06-19,0.91,1.06,0.91,0.91,0.35,
2002-06-20,0.91,1.06,0.91,0.91,0.35,
