Date,Open,High,Low,Close,Adj Close,Volume
2009-06-29,8.54,8.72,8.29,8.42,3.13,340657378.0
2009-06-30,8.48,8.59,8.36,8.46,3.14,91353991.0
2009-07-01,8.6,9.07,8.58,8.96,3.33,81824720.0
2009-07-02,8.79,9.06,8.7,9.05,3.36,52866250.0
2009-07-03,9.06,9.18,8.95,8.96,3.33,5594341.0
2009-07-06,8.85,9.01,8.74,8.87,3.29,18494588.0
2009-07-07,8.81,8.83,8.4,8.51,3.16,27551873.0
2009-07-08,8.43,8.64,8.4,8.54,3.17,20835002.0
2009-07-09,,,,,,
2009-07-10,8.54,8.89,8.49,8.79,3.26,26881819.0
2009-07-13,8.84,9.04,8.64,9.04,3.36,82417936.0
2009-07-14,9.09,9.24,8.99,9.14,3.4,32791280.0
2009-07-15,9.24,9.41,9.22,9.34,3.47,15763209.0
2009-07-16,9.34,9.48,9.05,9.48,3.52,7422161.0
2009-07-17,9.49,9.53,9.19,9.29,3.45,16738232.0
2009-07-20,9.29,9.37,8.96,9.04,3.36,31881948.0
2009-07-21,9.04,9.08,8.74,8.79,3.27,17138155.0
2009-07-22,8.79,8.95,8.74,8.74,3.25,27070732.0
2009-07-23,8.82,8.91,8.77,8.84,3.28,13699496.0
2009-07-24,8.83,9.01,8.74,8.74,3.24,12029335.0
2009-07-27,8.77,8.82,8.5,8.54,3.17,16901068.0
2009-07-28,8.51,8.67,8.5,8.67,3.22,24519507.0
2009-07-29,8.62,8.62,8.54,8.58,3.19,4645992.0
2009-07-30,8.62,8.89,8.62,8.89,3.3,10620946.0
2009-07-31,8.85,8.99,8.84,8.99,3.34,5642315.0
2009-08-03,9.01,9.14,8.94,8.95,3.32,5968783.0
2009-08-04,8.89,9.12,8.85,9.0,3.34,6899216.0
2009-08-05,8.95,9.25,8.87,9.24,3.43,18395851.0
2009-08-06,9.24,9.34,8.88,8.89,3.3,12729449.0
2009-08-07,8.94,9.02,8.62,8.79,3.27,27335290.0
2009-08-10,8.72,8.79,8.62,8.67,3.22,17369469.0
2009-08-11,8.71,8.71,8.52,8.54,3.17,23126844.0
2009-08-12,8.59,8.67,8.54,8.57,3.18,14354620.0
2009-08-13,8.62,8.66,8.49,8.49,3.15,21772402.0
2009-08-14,8.52,8.56,8.34,8.44,3.14,8343237.0
2009-08-17,8.3,8.54,8.16,8.34,3.1,5287182.0
2009-08-18,8.41,8.63,8.41,8.48,3.15,6278927.0
2009-08-19,8.43,8.48,8.34,8.36,3.1,5422547.0
2009-08-20,8.38,8.42,8.3,8.31,3.09,4394174.0
2009-08-21,8.36,8.62,8.36,8.62,3.2,8701755.0
2009-08-24,8.64,8.75,8.59,8.74,3.25,8580524.0
2009-08-25,8.67,8.78,8.64,8.74,3.24,10406154.0
2009-08-26,8.68,8.69,8.4,8.44,3.14,12925528.0
2009-08-27,8.44,8.49,8.25,8.37,3.11,9221316.0
2009-08-28,8.41,8.48,8.08,8.16,3.03,11091338.0
2009-08-31,8.12,8.26,7.99,8.26,3.07,17575104.0
2009-09-01,8.24,8.24,8.05,8.09,3.0,7104651.0
2009-09-02,8.05,8.17,7.94,8.03,2.98,12551086.0
2009-09-03,8.09,8.14,8.02,8.04,2.99,8294267.0
2009-09-04,8.1,8.1,8.02,8.09,3.0,5427723.0
2009-09-08,8.12,8.26,8.09,8.24,3.06,9793629.0
2009-09-09,8.24,8.24,8.04,8.04,2.99,8028117.0
2009-09-10,8.02,8.12,8.02,8.12,3.02,5041137.0
2009-09-11,8.14,8.15,8.01,8.03,2.98,7119780.0
2009-09-14,8.02,8.09,7.94,8.03,2.98,5692878.0
2009-09-15,8.05,8.07,7.96,7.96,2.96,11183107.0
2009-09-16,8.01,8.5,7.99,8.49,3.15,27052020.0
2009-09-17,8.54,8.92,8.51,8.89,3.3,17192500.0
2009-09-18,8.89,9.14,8.84,9.14,3.4,13044769.0
2009-09-21,9.01,9.43,8.73,9.32,3.46,14045671.0
2009-09-22,9.32,9.38,9.06,9.07,3.37,9369620.0
2009-09-23,9.07,9.16,8.79,8.79,3.27,6981231.0
2009-09-24,8.8,9.08,8.8,8.98,3.33,6905586.0
2009-09-25,8.89,9.04,8.86,8.97,3.33,5455990.0
2009-09-28,9.02,9.14,8.9,9.05,3.36,3217298.0
2009-09-29,8.94,9.03,8.75,8.77,3.26,5058854.0
2009-09-30,8.85,8.89,8.72,8.83,3.28,7111419.0
2009-10-01,8.75,8.91,8.49,8.54,3.17,6904590.0
2009-10-02,8.59,8.68,8.51,8.59,3.19,11405464.0
2009-10-05,8.67,8.91,8.62,8.9,3.31,9714799.0
2009-10-06,8.94,9.09,8.9,9.04,3.36,11587210.0
2009-10-07,8.94,9.03,8.78,8.88,3.3,5884976.0
2009-10-08,8.94,9.02,8.55,8.69,3.23,12702575.0
2009-10-09,8.68,8.68,8.51,8.65,3.21,8132825.0
2009-10-13,8.64,8.76,8.54,8.67,3.22,9768348.0
2009-10-14,8.78,8.89,8.75,8.82,3.27,8356774.0
2009-10-15,8.79,8.97,8.77,8.92,3.31,17406097.0
2009-10-16,8.84,9.15,8.75,9.04,3.36,23599028.0
2009-10-19,9.14,9.27,9.05,9.16,3.4,9353097.0
2009-10-20,8.97,9.09,8.79,8.98,3.33,9928596.0
2009-10-21,8.94,9.04,8.77,8.77,3.26,5614844.0
2009-10-22,8.86,8.86,8.65,8.7,3.23,6861194.0
2009-10-23,8.84,8.9,8.54,8.57,3.18,7206971.0
2009-10-26,8.64,8.64,8.14,8.3,3.08,9759191.0
2009-10-27,8.36,8.37,7.94,7.94,2.95,14222839.0
2009-10-28,7.99,8.07,7.68,8.07,3.0,11895961.0
2009-10-29,8.34,8.64,8.19,8.54,3.17,10737798.0
