Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,10977.5,10977.5,10327.0,10500.4,6405.74,1172482.0
2000-01-04,10706.4,10706.4,9974.6,9974.6,6084.98,1311940.0
2000-01-05,10164.3,10164.3,9757.76,10028.8,6118.04,1664644.0
2000-01-06,9896.0,10297.1,9839.08,10161.6,6199.06,1970124.0
2000-01-07,10164.3,10462.5,10083.0,10191.4,6217.23,1373184.0
2000-01-10,10462.5,10462.5,9866.18,10001.7,6101.51,1589381.0
2000-01-11,10001.7,10028.8,9378.29,9459.61,5770.81,3105713.0
2000-01-12,9473.16,9730.66,9134.35,9296.98,5671.6,1435534.0
2000-01-13,9622.24,10028.8,9486.71,9527.37,5812.14,4633112.0
2000-01-14,9703.55,10028.8,9622.24,10028.8,6118.04,3222296.0
2000-01-17,10186.0,10218.5,9811.97,9947.5,6068.44,786205.0
2000-01-18,9893.29,9947.5,9703.55,9947.5,6068.44,1969386.0
2000-01-19,9852.63,10023.4,9676.45,9839.08,6002.3,1062907.0
2000-01-20,9839.08,9920.39,9568.03,9570.74,5838.6,1276522.0
2000-01-21,9757.76,9961.05,9351.19,9351.19,5704.67,1028228.0
2000-01-24,9486.71,9486.71,9242.77,9283.42,5663.32,965139.0
2000-01-25,9283.42,9283.42,9283.42,9283.42,5663.32,
2000-01-26,9269.87,9269.87,8971.72,9212.95,5620.33,1125996.0
2000-01-27,9215.66,9351.19,8866.01,8944.61,5456.63,843759.0
2000-01-28,8944.61,9025.93,8565.15,8660.01,5283.01,710204.0
2000-01-31,8646.46,8646.46,8294.1,8294.1,5059.79,1111238.0
2000-02-01,8673.57,8727.78,8266.99,8483.83,5175.54,1521127.0
2000-02-02,8538.04,8727.78,8402.52,8402.52,5125.93,559308.0
2000-02-03,8673.57,8809.09,8185.68,8345.6,5091.21,3453989.0
2000-02-04,8592.25,8673.57,8307.65,8321.2,5076.32,8303667.0
2000-02-07,8402.52,8592.25,8104.36,8578.7,5233.41,13891958.0
2000-02-08,8670.85,9161.45,8646.46,8971.72,5473.17,13153715.0
2000-02-09,9028.64,9107.24,8836.19,8944.61,5456.63,7221206.0
2000-02-10,9020.51,9324.08,8890.4,9188.56,5605.45,4192232.0
2000-02-11,9218.37,9459.61,8809.09,8860.59,5405.38,2428713.0
2000-02-14,9080.14,9269.87,8405.23,8565.15,5225.15,1489768.0
2000-02-15,8754.88,8754.88,8266.99,8540.75,5210.26,2166030.0
2000-02-16,8670.85,8781.98,8483.83,8538.04,5208.61,2982118.0
2000-02-17,8673.57,8809.09,8510.94,8510.94,5192.08,1242211.0
2000-02-18,8510.94,8510.94,8294.1,8402.52,5125.93,2816834.0
2000-02-21,8321.2,8592.25,8212.78,8538.04,5208.61,1887851.0
2000-02-22,8670.85,8673.57,8321.2,8369.99,5106.09,1973813.0
2000-02-23,8535.33,8538.04,8266.99,8497.38,5183.8,1287959.0
2000-02-24,8510.94,8619.36,8321.2,8323.91,5077.98,2092611.0
2000-02-25,8375.41,8483.83,8226.33,8266.99,5043.25,1503419.0
2000-02-28,8226.33,8226.33,7995.94,8158.57,4977.11,891721.0
2000-02-29,8226.33,8266.99,7901.08,7911.92,4826.64,1830297.0
2000-03-01,7860.42,8131.47,7643.58,7860.42,4795.23,4112542.0
2000-03-02,7995.94,8090.81,7494.5,7575.82,4621.61,5772390.0
2000-03-03,7857.71,7968.84,7752.0,7968.84,4861.37,5241489.0
2000-03-06,7968.84,7968.84,7968.84,7968.84,4861.37,
2000-03-07,7968.84,7968.84,7968.84,7968.84,4861.37,
2000-03-08,7860.42,7941.73,7752.0,7941.73,4844.83,1339980.0
2000-03-09,8077.26,8402.52,8050.15,8077.26,4927.51,3313424.0
2000-03-10,8266.99,8321.2,8131.47,8285.96,5054.83,2833806.0
2000-03-13,8285.96,8285.96,8285.96,8285.96,5054.83,
2000-03-14,8318.49,8402.52,8001.36,8023.05,4894.44,1663537.0
2000-03-15,7995.94,8321.2,7860.42,8215.49,5011.84,3756886.0
2000-03-16,8342.89,8456.73,8239.89,8432.33,5144.12,2667046.0
2000-03-17,8402.52,8806.38,8351.02,8538.04,5208.61,2898739.0
2000-03-20,8725.06,8781.98,8375.41,8375.41,5109.4,1926220.0
2000-03-21,8375.41,8665.43,8375.41,8600.38,5246.64,1964959.0
2000-03-22,8673.57,8809.09,8348.31,8402.52,5125.93,2321352.0
2000-03-23,8294.1,8483.83,8131.47,8196.52,5000.26,1858336.0
2000-03-24,8456.73,8456.73,8158.57,8334.75,5084.59,1393475.0
2000-03-27,8619.36,8619.36,8239.89,8272.41,5046.56,1718878.0
2000-03-28,8294.1,8454.02,8239.89,8375.41,5109.4,1978610.0
2000-03-29,8429.62,8510.94,8266.99,8348.31,5092.86,809817.0
2000-03-30,8266.99,8456.73,8239.89,8269.7,5044.91,1947988.0
2000-03-31,8402.52,8429.62,8055.57,8261.57,5039.95,1455826.0
2000-04-03,8104.36,8158.57,7860.42,7892.94,4815.07,2084126.0
2000-04-04,7995.94,8131.47,7101.48,7472.82,4558.77,2673687.0
2000-04-05,7494.5,7670.68,7291.22,7586.66,4628.22,2793961.0
2000-04-06,7624.61,7806.21,7535.16,7643.58,4662.95,2165661.0
2000-04-07,7800.79,7968.84,7697.79,7968.84,4861.37,706145.0
2000-04-10,7860.42,7860.42,7589.37,7695.08,4694.36,885449.0
2000-04-11,7592.08,7722.18,7399.64,7513.48,4583.58,1515594.0
2000-04-12,7589.37,7697.79,7453.84,7508.06,4580.27,2151641.0
2000-04-13,7692.37,7692.37,7182.8,7234.3,4413.26,792108.0
2000-04-14,7209.9,7237.01,6640.7,6776.22,4133.81,1684198.0
2000-04-17,6437.41,6724.72,6179.92,6722.01,4100.74,1390893.0
2000-04-18,6993.06,6911.75,6640.7,6830.43,4166.89,2442363.0
2000-04-19,6757.25,6911.75,6667.8,6803.33,4150.35,1035606.0
2000-04-20,6776.22,6938.85,6640.7,6938.85,4233.03,388859.0
2000-04-21,6938.85,6938.85,6938.85,6938.85,4233.03,
2000-04-24,6841.27,6911.75,6694.91,6776.22,4133.81,2176360.0
2000-04-25,6911.75,7039.14,6778.93,6938.85,4233.03,1431845.0
2000-04-26,6911.75,7047.27,6694.91,6965.96,4249.56,1820704.0
2000-04-27,7264.11,7264.11,6559.38,6803.33,4150.35,2239448.0
2000-04-28,6938.85,7535.16,6911.75,7453.84,4547.19,3372823.0
2000-05-01,7453.84,7453.84,7453.84,7453.84,4547.19,
2000-05-02,7453.84,7589.37,7293.93,7293.93,4449.64,1759092.0
2000-05-03,7318.32,7453.84,7060.82,7155.69,4365.31,1063646.0
2000-05-04,7209.9,7318.32,7128.59,7174.66,4376.88,1169162.0
2000-05-05,7142.14,7619.18,7128.59,7562.26,4613.33,1268774.0
2000-05-08,7399.64,7711.34,7399.64,7535.16,4596.8,1074713.0
2000-05-09,7589.37,7616.47,7155.69,7215.32,4401.69,1493088.0
2000-05-10,7182.8,7318.32,7101.48,7158.4,4366.96,1214541.0
2000-05-11,7291.22,7321.03,7128.59,7180.09,4380.19,651174.0
2000-05-12,7318.32,7318.32,6778.93,7047.27,4299.17,689912.0
2000-05-15,7020.17,7594.79,6965.96,7594.79,4633.18,690281.0
2000-05-16,7594.79,7806.21,7453.84,7670.68,4679.48,1397903.0
2000-05-17,7480.95,7556.84,7372.53,7399.64,4514.13,461540.0
2000-05-18,7345.43,7505.34,7182.8,7272.24,4436.41,456375.0
2000-05-19,7312.9,7312.9,6808.75,7047.27,4299.17,1018635.0
2000-05-22,7182.8,7182.8,6559.38,6776.22,4133.81,1690101.0
2000-05-23,6803.33,7101.48,6694.91,6776.22,4133.81,2986177.0
2000-05-24,6811.46,7182.8,6776.22,7047.27,4299.17,851507.0
2000-05-25,7223.45,7318.32,6995.77,7182.8,4381.85,1111238.0
2000-05-26,7182.8,7616.47,7155.69,7480.95,4563.73,1545477.0
2000-05-29,7589.37,7722.18,7589.37,7670.68,4679.48,639737.0
2000-05-30,7665.26,7993.23,7665.26,7914.63,4828.3,1741383.0
2000-05-31,7860.42,7995.94,7453.84,7616.47,4646.41,1043354.0
2000-06-01,7697.79,7806.21,7508.06,7616.47,4646.41,1475010.0
2000-06-02,7724.89,7857.71,7399.64,7589.37,4629.87,2341275.0
2000-06-05,7602.92,7722.18,7535.16,7643.58,4662.95,1441068.0
2000-06-06,7643.58,7643.58,7643.58,7643.58,4662.95,
2000-06-07,7643.58,7833.31,7459.27,7779.1,4745.62,1971600.0
2000-06-08,7968.84,8128.76,7833.31,7995.94,4877.9,3265093.0
2000-06-09,8126.05,8126.05,7914.63,7914.63,4828.3,1702645.0
2000-06-12,7914.63,8123.34,7860.42,7860.42,4795.23,1055160.0
2000-06-13,7941.73,8077.26,7914.63,8023.05,4894.44,2631259.0
