Date,Open,High,Low,Close,Adj Close,Volume
2005-11-18,15.68,16.54,15.68,16.45,12.23,65907011.0
2005-11-21,16.48,16.94,15.83,16.57,12.32,12659330.0
2005-11-22,16.47,16.74,16.03,16.74,12.45,7221589.0
2005-11-23,16.78,17.15,16.57,16.7,12.42,5996525.0
2005-11-24,16.72,17.15,16.71,17.06,12.69,6413331.0
2005-11-25,17.13,18.15,16.85,18.1,13.46,9937417.0
2005-11-28,18.14,18.43,17.17,17.31,12.87,2582978.0
2005-11-29,17.48,17.6,16.86,16.98,12.63,3203623.0
2005-11-30,16.92,17.41,16.71,17.26,12.84,3391236.0
2005-12-01,17.25,18.49,17.06,18.25,13.57,6801741.0
2005-12-02,18.28,19.67,18.27,19.52,14.51,6252085.0
2005-12-05,19.41,19.43,18.8,19.41,14.43,1429917.0
2005-12-06,20.26,20.56,19.05,20.26,15.07,5755163.0
2005-12-07,19.82,20.65,19.82,19.82,14.74,2664108.0
2005-12-08,19.15,20.03,18.96,19.15,14.25,2346687.0
2005-12-09,18.89,19.32,18.89,18.89,14.05,1283883.0
2005-12-12,19.3,19.32,18.89,19.3,14.35,1528287.0
2005-12-13,20.26,20.26,19.24,20.26,15.07,6364653.0
2005-12-14,20.26,20.71,19.52,20.26,15.07,2398407.0
2005-12-15,19.91,20.12,19.52,19.91,14.81,1831511.0
2005-12-16,19.08,19.66,18.67,19.08,14.19,4538212.0
2005-12-19,19.82,19.82,18.99,19.82,14.74,2865919.0
2005-12-20,20.0,20.15,19.67,20.0,14.87,3754293.0
2005-12-21,20.46,20.5,20.0,20.46,15.21,2511989.0
2005-12-22,19.73,20.38,19.7,19.73,14.67,844767.0
2005-12-23,20.11,20.11,19.45,20.11,14.96,566896.0
2005-12-26,20.04,20.05,19.85,20.04,14.91,127780.0
2005-12-27,20.35,20.38,20.03,20.35,15.14,330605.0
2005-12-28,20.0,20.29,19.67,20.0,14.87,1318363.0
2005-12-29,20.15,20.15,19.97,20.15,14.99,578052.0
2006-01-02,20.12,20.12,19.68,20.12,14.96,183557.0
2006-01-03,20.77,21.23,20.12,20.77,15.44,2078958.0
2006-01-04,22.33,22.63,20.86,22.33,16.61,3171171.0
2006-01-05,23.96,24.79,22.48,23.96,17.82,7912208.0
2006-01-06,22.54,24.67,22.48,22.54,16.76,3475409.0
2006-01-09,22.48,23.55,22.48,22.85,17.0,2577907.0
2006-01-10,22.04,22.68,21.79,22.04,16.39,7148572.0
2006-01-11,22.07,23.74,22.07,23.43,17.42,5077727.0
2006-01-12,23.28,25.07,22.97,25.07,18.65,3675191.0
2006-01-13,25.07,25.07,23.96,24.26,18.04,2240204.0
2006-01-16,24.29,25.32,24.29,25.09,18.66,2855778.0
2006-01-17,24.99,24.99,24.11,24.35,18.11,1850779.0
2006-01-18,24.11,24.7,23.52,24.26,18.04,2672221.0
2006-01-19,24.85,26.01,24.85,25.88,19.25,1714886.0
2006-01-20,25.75,26.56,25.59,26.45,19.67,2149946.0
2006-01-23,26.62,27.81,26.03,27.75,20.64,2175300.0
2006-01-24,28.1,28.99,27.07,28.81,21.43,2657009.0
2006-01-25,,,,,,
2006-01-26,28.99,29.35,28.28,28.87,21.47,3628542.0
2006-01-27,29.29,29.58,28.1,28.47,21.18,3075843.0
2006-01-30,28.13,28.99,26.65,27.98,20.81,3966245.0
2006-01-31,28.39,28.39,26.21,26.4,19.64,2866933.0
2006-02-01,26.3,27.77,25.8,27.51,20.46,7541038.0
2006-02-02,28.4,28.69,27.22,28.69,21.34,5359654.0
2006-02-03,28.99,29.87,27.96,29.4,21.87,3952048.0
2006-02-06,30.71,32.98,30.03,31.65,23.54,5051360.0
2006-02-07,31.66,32.39,29.94,30.06,22.35,3594061.0
2006-02-08,30.47,30.47,28.87,29.46,21.91,2244260.0
2006-02-09,31.21,31.95,30.33,30.77,22.88,2592105.0
2006-02-10,31.65,32.84,31.06,32.1,23.87,4492577.0
2006-02-13,32.39,34.29,32.1,34.02,25.3,2026223.0
2006-02-14,34.3,36.06,34.3,35.2,26.18,3798915.0
2006-02-15,35.58,36.68,32.54,32.54,24.2,3117422.0
2006-02-16,33.73,34.32,30.06,32.54,24.2,8129231.0
2006-02-17,31.95,33.43,31.12,31.36,23.32,2375082.0
2006-02-20,29.58,31.0,28.1,30.69,22.83,4684246.0
2006-02-21,30.77,31.33,29.29,30.47,22.66,3407462.0
2006-02-22,30.76,32.38,30.37,31.5,23.43,1399493.0
2006-02-23,32.39,32.54,31.53,32.04,23.83,3717785.0
2006-02-24,32.04,33.72,32.04,33.49,24.91,1261572.0
2006-02-27,,,,,,
2006-02-28,,,,,,
2006-03-01,33.43,34.76,32.98,34.32,25.52,1553640.0
2006-03-02,34.46,34.61,33.28,33.44,24.87,1337632.0
2006-03-03,33.43,33.72,32.78,33.19,24.69,768707.0
2006-03-06,33.4,34.48,32.48,32.87,24.44,628758.0
2006-03-07,32.84,32.84,31.56,32.1,23.87,2020138.0
2006-03-08,32.83,32.83,30.77,31.14,23.16,1002970.0
2006-03-09,31.77,32.69,31.0,31.0,23.06,1924810.0
2006-03-10,31.36,32.39,31.12,31.95,23.76,1373126.0
2006-03-13,31.95,33.13,31.59,32.54,24.2,1515104.0
2006-03-14,32.54,33.13,31.89,32.21,23.96,562840.0
2006-03-15,32.39,33.72,32.24,32.54,24.2,1135821.0
2006-03-16,33.42,34.31,32.84,33.86,25.18,2773634.0
2006-03-17,33.84,34.46,32.84,33.93,25.23,1713872.0
2006-03-20,33.72,36.53,33.72,36.4,27.07,4529085.0
2006-03-21,36.09,38.9,35.51,38.29,28.48,4021008.0
2006-03-22,38.01,38.44,37.13,37.42,27.83,3647810.0
2006-03-23,37.36,39.94,37.36,39.94,29.7,2957190.0
2006-03-24,41.71,43.49,39.79,42.33,31.48,2910541.0
2006-03-27,43.22,44.64,42.3,43.78,32.56,2910541.0
2006-03-28,43.93,43.96,39.64,40.82,30.36,1604347.0
2006-03-29,42.3,42.51,40.53,42.3,31.46,2138791.0
2006-03-30,42.98,45.85,42.98,43.16,32.1,1549584.0
2006-03-31,43.34,44.67,42.95,43.9,32.65,2216879.0
2006-04-03,44.67,45.73,44.52,45.59,33.9,836654.0
2006-04-04,45.61,47.48,44.96,46.89,34.87,586165.0
2006-04-05,48.45,50.58,47.92,48.37,35.97,3961175.0
2006-04-06,49.34,49.7,47.63,48.22,35.86,1261572.0
2006-04-07,49.23,49.23,44.43,44.43,33.05,2846651.0
2006-04-10,44.73,45.7,40.82,42.6,31.68,4257299.0
2006-04-11,43.34,43.78,38.52,39.79,29.59,6449839.0
2006-04-12,39.93,42.45,39.49,41.86,31.13,4615286.0
2006-04-13,42.15,43.78,41.12,41.71,31.02,2192540.0
2006-04-14,,,,,,
2006-04-17,42.3,42.3,40.38,41.27,30.69,2140819.0
2006-04-18,41.42,42.89,40.82,42.6,31.68,2428831.0
2006-04-19,42.86,45.82,42.86,44.99,33.46,3052518.0
2006-04-20,44.67,47.48,44.67,45.85,34.1,3731982.0
2006-04-21,,,,,,
2006-04-24,47.91,48.21,45.27,48.07,35.75,2277726.0
2006-04-25,48.66,49.22,47.04,48.37,35.97,1064832.0
2006-04-26,48.51,48.51,46.75,47.48,35.31,1259544.0
2006-04-27,47.04,47.92,46.15,47.33,35.2,1756466.0
2006-04-28,47.65,49.11,47.51,47.51,35.33,1419776.0
2006-05-01,,,,,,
2006-05-02,48.96,48.96,47.33,47.33,35.2,2198624.0
2006-05-03,47.92,47.92,46.9,47.18,35.09,1330533.0
2006-05-04,46.74,49.08,45.87,48.22,35.86,2930823.0
2006-05-05,48.63,52.81,48.51,52.81,39.27,3962189.0
2006-05-08,53.16,56.14,53.16,53.4,39.71,2124593.0
2006-05-09,53.75,54.58,51.71,52.36,38.94,78613519.0
2006-05-10,51.47,52.06,50.88,51.74,38.48,41201440.0
2006-05-11,51.77,53.51,51.77,52.66,39.16,103648738.0
2006-05-12,51.77,52.06,51.03,51.18,38.06,72223919.0
2006-05-15,51.18,51.18,46.22,46.74,34.76,201977238.0
2006-05-16,47.57,49.08,46.54,47.33,35.2,167004750.0
2006-05-17,44.7,48.07,43.19,45.41,33.77,179039596.0
2006-05-18,45.56,46.0,42.63,42.63,31.7,2643826.0
2006-05-19,43.19,44.23,42.15,43.46,32.32,2176314.0
2006-05-22,41.42,41.42,38.46,39.34,29.26,3587977.0
2006-05-23,40.23,42.01,36.42,37.57,27.94,138452692.0
2006-05-24,37.87,38.19,34.91,35.21,26.18,203993063.0
2006-05-25,36.53,39.64,36.24,39.64,29.48,140740519.0
2006-05-26,41.86,46.0,41.42,42.9,31.91,172171707.0
2006-05-29,43.49,45.7,42.9,43.84,32.61,1534372.0
2006-05-30,42.57,42.57,39.79,40.09,29.81,111507725.0
2006-05-31,40.82,43.19,40.82,42.45,31.57,236282053.0
2006-06-01,43.19,43.19,40.47,41.12,30.58,180004949.0
2006-06-02,42.87,43.04,41.41,41.42,30.8,43059109.0
2006-06-05,41.42,41.49,37.87,38.46,28.6,104927402.0
2006-06-06,37.87,39.05,36.98,39.05,29.04,99875812.0
2006-06-07,39.94,39.94,37.58,38.04,28.29,97959094.0
2006-06-08,35.79,37.57,34.63,35.79,26.62,218418121.0
2006-06-09,37.57,38.13,36.4,36.83,27.39,72438805.0
2006-06-12,36.7,37.11,34.76,35.17,26.16,50825205.0
2006-06-13,34.91,36.24,33.46,34.46,25.63,75845882.0
2006-06-14,35.05,35.65,33.43,35.5,26.4,74500834.0
2006-06-15,,,,,,
2006-06-16,36.98,37.84,36.39,37.54,27.92,73107101.0
2006-06-19,37.92,38.46,36.68,37.87,28.16,100243257.0
2006-06-20,37.87,38.53,37.27,37.87,28.16,883303.0
2006-06-21,38.0,39.94,37.36,39.64,29.48,54526781.0
2006-06-22,39.64,39.93,38.75,38.75,28.82,19033823.0
2006-06-23,38.45,39.64,37.84,38.9,28.93,33013806.0
2006-06-26,38.46,39.28,37.87,38.46,28.6,484752.0
2006-06-27,37.96,38.44,36.65,36.65,27.26,24012960.0
2006-06-28,36.66,37.83,35.53,37.83,28.14,52042092.0
2006-06-29,37.87,39.88,37.57,39.64,29.48,91466520.0
2006-06-30,39.94,41.39,39.79,41.27,30.69,103577776.0
2006-07-03,40.88,42.88,40.82,42.44,31.56,97695402.0
2006-07-04,42.15,42.71,40.38,40.98,30.48,79575248.0
2006-07-05,40.53,40.82,38.5,40.53,30.14,68626788.0
2006-07-06,40.82,41.43,40.27,41.39,30.78,56632204.0
2006-07-07,41.59,42.01,40.82,41.42,30.8,66332031.0
2006-07-10,41.43,41.46,40.25,40.68,30.25,45700788.0
2006-07-11,40.66,42.01,39.49,41.12,30.58,927425741.0
2006-07-12,41.12,41.69,40.62,40.82,30.36,42188330.0
