Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,3.89,4.05,3.83,4.05,2.26,1461600.0
2000-01-04,4.05,4.14,3.89,4.11,2.29,1504800.0
2000-01-05,4.05,4.45,4.05,4.33,2.41,1116000.0
2000-01-06,4.39,4.58,4.39,4.53,2.52,2210400.0
2000-01-07,4.58,4.61,4.5,4.5,2.51,17690400.0
2000-01-10,4.5,4.61,4.5,4.55,2.54,4406400.0
2000-01-11,4.5,4.53,4.36,4.36,2.43,4881600.0
2000-01-12,4.36,4.36,4.17,4.17,2.32,12024000.0
2000-01-13,4.17,4.2,3.78,3.78,2.11,1188000.0
2000-01-14,3.89,3.89,3.67,3.67,2.04,8827200.0
2000-01-17,3.83,3.9,3.83,3.9,2.17,1411200.0
2000-01-18,3.9,3.9,3.77,3.83,2.13,2016000.0
2000-01-19,3.78,3.78,3.67,3.72,2.07,2901600.0
2000-01-20,3.72,3.72,3.61,3.61,2.01,1627200.0
2000-01-21,3.45,3.5,3.33,3.36,1.87,21060000.0
2000-01-24,3.5,3.55,3.45,3.45,1.92,2023200.0
2000-01-25,3.45,3.45,3.45,3.45,1.92,
2000-01-26,3.45,3.45,3.4,3.42,1.9,2232000.0
2000-01-27,3.42,3.45,3.28,3.36,1.87,2793600.0
2000-01-28,3.39,3.42,3.33,3.33,1.86,1814400.0
2000-01-31,3.33,3.33,3.25,3.25,1.81,6976800.0
2000-02-01,3.28,3.28,3.14,3.14,1.75,8028000.0
2000-02-02,3.17,3.22,3.05,3.05,1.7,5925600.0
2000-02-03,3.11,3.27,3.11,3.22,1.79,22989600.0
2000-02-04,3.25,3.3,3.2,3.3,1.84,5947200.0
2000-02-07,3.28,3.29,3.22,3.29,1.83,7423200.0
2000-02-08,3.29,3.4,3.28,3.3,1.84,7459200.0
2000-02-09,3.33,3.33,3.21,3.22,1.79,7848000.0
2000-02-10,3.25,3.27,3.17,3.22,1.79,8164800.0
2000-02-11,3.22,3.24,3.13,3.13,1.75,1684800.0
2000-02-14,3.06,3.11,3.03,3.03,1.69,331200.0
2000-02-15,3.0,3.0,2.83,3.0,1.67,1058400.0
2000-02-16,3.05,3.1,3.05,3.06,1.7,6580800.0
2000-02-17,3.07,3.2,3.07,3.17,1.76,3578400.0
2000-02-18,3.22,3.22,3.08,3.11,1.73,1699200.0
2000-02-21,3.05,3.17,3.05,3.15,1.76,2289600.0
2000-02-22,3.2,3.32,3.11,3.16,1.76,9028800.0
2000-02-23,3.28,3.28,3.05,3.05,1.7,856800.0
2000-02-24,3.2,3.25,3.05,3.07,1.71,3499200.0
2000-02-25,3.08,3.11,3.0,3.0,1.67,3484800.0
2000-02-28,3.0,3.11,3.0,3.05,1.7,2793600.0
2000-02-29,3.05,3.1,3.05,3.05,1.7,1461600.0
2000-03-01,3.05,3.14,3.05,3.12,1.74,38116800.0
2000-03-02,3.17,3.22,3.13,3.13,1.74,6912000.0
2000-03-03,3.17,3.33,3.17,3.33,1.86,6408000.0
2000-03-06,3.33,3.33,3.33,3.33,1.86,
2000-03-07,3.33,3.33,3.33,3.33,1.86,
2000-03-08,3.17,3.17,3.12,3.14,1.75,18302400.0
2000-03-09,3.17,3.17,3.08,3.09,1.72,1454400.0
2000-03-10,3.14,3.14,3.05,3.05,1.7,792000.0
2000-03-13,3.05,3.05,2.92,3.05,1.7,1396800.0
2000-03-14,3.0,3.05,3.0,3.05,1.7,2584800.0
2000-03-15,3.08,3.08,3.0,3.01,1.68,6501600.0
2000-03-16,3.05,3.08,3.04,3.05,1.7,7056000.0
2000-03-17,3.07,3.08,3.03,3.05,1.7,5076000.0
2000-03-20,3.05,3.05,3.03,3.03,1.69,252000.0
2000-03-21,3.05,3.05,2.99,3.0,1.67,6955200.0
2000-03-22,3.05,3.11,3.0,3.08,1.72,8762400.0
2000-03-23,3.1,3.11,3.04,3.04,1.69,6501600.0
2000-03-24,3.05,3.17,3.05,3.17,1.76,5364000.0
2000-03-27,3.2,3.45,3.2,3.36,1.87,3938400.0
2000-03-28,3.33,3.5,3.33,3.48,1.94,8251200.0
2000-03-29,3.51,3.51,3.33,3.38,1.88,2851200.0
2000-03-30,3.3,3.42,3.22,3.36,1.87,23760000.0
