Date,Open,High,Low,Close,Adj Close,Volume
2013-12-09,15.52,15.6,15.01,15.55,13.98,3608000.0
2013-12-10,15.33,16.0,15.33,15.9,14.29,760200.0
2013-12-11,15.94,15.99,15.51,15.75,14.16,776800.0
2013-12-12,15.9,15.9,15.41,15.5,13.93,529600.0
2013-12-13,15.25,15.68,15.22,15.5,13.93,309200.0
2013-12-16,15.45,15.62,15.25,15.25,13.71,324500.0
2013-12-17,15.25,15.25,14.84,15.15,13.62,1331000.0
2013-12-18,14.9,15.14,14.71,14.9,13.39,507600.0
2013-12-19,14.99,15.08,14.7,15.04,13.52,81700.0
2013-12-20,15.04,15.14,14.67,14.8,13.3,355200.0
2013-12-23,14.84,14.84,14.2,14.7,13.21,688400.0
2013-12-26,14.7,14.9,14.5,14.9,13.39,750700.0
2013-12-27,14.88,15.15,14.71,15.0,13.48,599000.0
2013-12-30,15.19,15.3,14.91,15.3,13.75,604100.0
2014-01-02,15.35,15.65,15.05,15.65,14.07,251000.0
2014-01-03,15.64,15.9,15.64,15.9,14.29,278000.0
2014-01-06,15.95,16.09,15.7,16.0,14.38,981600.0
2014-01-07,16.02,16.09,15.86,16.0,14.38,826400.0
2014-01-08,15.91,15.97,15.67,15.8,14.2,108100.0
2014-01-09,15.93,16.05,15.66,15.85,14.24,86900.0
2014-01-10,15.85,15.99,15.67,15.93,14.32,60000.0
2014-01-13,15.99,15.99,15.67,15.8,14.2,64000.0
2014-01-14,15.8,15.8,15.5,15.6,14.02,153000.0
2014-01-15,15.85,16.0,15.61,15.7,14.11,407100.0
2014-01-16,15.65,15.84,15.18,15.35,13.8,89700.0
2014-01-17,15.31,15.31,14.83,14.9,13.39,132300.0
2014-01-20,15.0,15.0,14.53,15.0,13.48,26300.0
2014-01-21,15.14,15.14,14.72,14.78,13.28,276200.0
2014-01-22,14.77,14.98,14.77,14.9,13.39,46000.0
2014-01-23,14.8,14.96,14.7,14.87,13.36,24500.0
2014-01-24,14.86,14.87,14.65,14.75,13.26,238600.0
2014-01-27,14.39,14.6,14.32,14.6,13.12,47200.0
2014-01-28,14.78,14.78,14.27,14.3,12.85,1283700.0
2014-01-29,14.05,14.08,13.73,13.9,12.49,81800.0
2014-01-30,14.2,14.3,13.6,13.95,12.54,17700.0
2014-01-31,14.13,14.25,13.66,14.25,12.81,140600.0
2014-02-03,14.09,14.09,13.61,13.69,12.3,4800.0
2014-02-04,13.99,14.01,13.61,13.9,12.49,31000.0
2014-02-05,14.19,14.64,13.74,14.0,12.58,222500.0
2014-02-06,13.96,14.25,13.81,14.0,12.58,244500.0
2014-02-07,13.97,13.97,13.5,13.85,12.45,497700.0
2014-02-10,13.77,13.77,13.1,13.2,11.86,499500.0
2014-02-11,13.3,13.33,13.15,13.25,11.91,167500.0
2014-02-12,13.23,13.39,13.09,13.2,11.86,1534700.0
2014-02-13,13.01,13.7,12.98,13.7,12.31,494700.0
2014-02-14,13.6,13.67,13.4,13.61,12.23,429100.0
2014-02-17,13.54,13.77,13.41,13.58,12.2,94100.0
2014-02-18,13.6,13.62,12.88,12.88,11.58,189900.0
2014-02-19,12.88,12.88,12.31,12.41,11.15,300300.0
2014-02-20,12.51,12.51,11.98,12.13,10.9,285200.0
2014-02-21,12.18,12.49,12.0,12.3,11.05,175400.0
2014-02-24,12.2,12.44,12.11,12.3,11.05,135400.0
2014-02-25,12.34,12.5,12.15,12.48,11.22,98300.0
2014-02-26,12.4,13.1,12.31,13.05,11.73,161300.0
2014-02-27,13.15,14.25,12.97,14.25,12.81,3188400.0
2014-02-28,14.47,15.0,13.89,14.31,12.86,155300.0
2014-03-05,14.19,14.4,13.93,14.4,12.94,38700.0
2014-03-06,14.42,14.98,14.37,14.98,13.46,75600.0
2014-03-07,14.92,15.3,14.87,14.96,13.45,62200.0
2014-03-10,15.08,15.08,14.22,14.64,13.16,103000.0
2014-03-11,14.44,14.49,14.24,14.3,12.95,90200.0
2014-03-12,14.19,14.19,13.85,13.95,12.64,545600.0
2014-03-13,14.02,14.47,13.79,14.05,12.73,37700.0
2014-03-14,13.89,14.2,13.68,14.2,12.86,102800.0
2014-03-17,14.13,14.2,13.88,14.14,12.81,202800.0
2014-03-18,14.05,14.19,13.9,14.15,12.82,479900.0
2014-03-19,14.09,14.28,14.03,14.28,12.93,272100.0
2014-03-20,14.22,14.23,13.98,14.0,12.68,750200.0
2014-03-21,13.96,14.2,13.92,14.2,12.86,1009900.0
