Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,0.63,0.63,0.57,0.57,0.46,
2000-01-04,0.63,0.63,0.57,0.57,0.46,
2000-01-05,0.63,0.63,0.57,0.57,0.46,
2000-01-06,0.63,0.63,0.57,0.57,0.46,
2000-01-07,0.63,0.63,0.57,0.57,0.46,
2000-01-10,0.62,0.62,0.59,0.59,0.47,
2000-01-11,0.63,0.63,0.6,0.6,0.48,
2000-01-12,0.63,0.63,0.6,0.6,0.48,
2000-01-13,0.63,0.63,0.6,0.6,0.48,
2000-01-14,0.63,0.63,0.6,0.6,0.48,
2000-01-17,0.6,0.6,0.6,0.6,0.48,32000.0
2000-01-18,0.6,0.6,0.6,0.6,0.48,
2000-01-19,0.6,0.6,0.6,0.6,0.48,
2000-01-20,0.6,0.6,0.6,0.6,0.48,1160000.0
2000-01-21,0.6,0.6,0.6,0.6,0.48,
2000-01-24,0.63,0.69,0.63,0.69,0.55,16000.0
2000-01-25,0.69,0.69,0.69,0.69,0.55,
2000-01-26,0.69,0.69,0.69,0.69,0.55,
2000-01-27,0.69,0.69,0.69,0.69,0.55,
2000-01-28,0.69,0.69,0.69,0.69,0.55,
2000-01-31,0.68,0.68,0.68,0.68,0.54,8000.0
2000-02-01,0.68,0.68,0.68,0.68,0.54,
2000-02-02,0.68,0.68,0.65,0.65,0.52,24000.0
2000-02-03,0.65,0.65,0.65,0.65,0.52,
2000-02-04,0.65,0.65,0.65,0.65,0.52,
2000-02-07,0.65,0.65,0.65,0.65,0.52,
2000-02-08,0.65,0.65,0.65,0.65,0.52,
2000-02-09,0.65,0.65,0.65,0.65,0.52,
2000-02-10,0.65,0.65,0.65,0.65,0.52,
2000-02-11,0.69,0.69,0.69,0.69,0.54,8000.0
2000-02-14,0.69,0.69,0.69,0.69,0.55,8000.0
2000-02-15,0.69,0.7,0.69,0.7,0.56,288000.0
2000-02-16,0.69,0.69,0.69,0.69,0.55,120000.0
2000-02-17,0.69,0.69,0.69,0.69,0.55,
2000-02-18,0.69,0.69,0.69,0.69,0.55,
2000-02-21,0.69,0.69,0.69,0.69,0.55,
2000-02-22,0.7,0.7,0.7,0.7,0.56,32000.0
2000-02-23,0.7,0.7,0.7,0.7,0.56,
2000-02-24,0.7,0.7,0.7,0.7,0.56,
2000-02-25,0.69,0.69,0.69,0.69,0.55,8000.0
2000-02-28,0.69,0.69,0.69,0.69,0.55,
2000-02-29,0.73,0.73,0.73,0.73,0.58,96000.0
2000-03-01,0.73,0.73,0.73,0.73,0.58,
2000-03-02,0.73,0.73,0.73,0.73,0.58,
2000-03-03,0.71,0.71,0.71,0.71,0.57,8000.0
2000-03-06,0.71,0.71,0.71,0.71,0.57,
2000-03-07,0.71,0.71,0.71,0.71,0.57,
2000-03-08,0.66,0.7,0.66,0.7,0.56,16000.0
2000-03-09,0.7,0.7,0.7,0.7,0.56,
2000-03-10,0.7,0.7,0.7,0.7,0.56,8000.0
2000-03-13,0.7,0.7,0.7,0.7,0.56,
2000-03-14,0.7,0.7,0.7,0.7,0.56,
2000-03-15,0.7,0.7,0.7,0.7,0.56,
2000-03-16,0.7,0.7,0.7,0.7,0.56,
2000-03-17,0.7,0.7,0.7,0.7,0.56,
2000-03-20,0.7,0.7,0.7,0.7,0.56,
