Date,Open,High,Low,Close,Adj Close,Volume
2010-04-01,9.5,9.68,9.3,9.5,5.96,8189800.0
2010-04-05,9.5,9.57,9.5,9.51,5.97,3078200.0
2010-04-06,9.47,9.53,9.4,9.5,5.96,2588300.0
2010-04-07,9.5,9.68,9.45,9.52,5.97,2548300.0
2010-04-08,9.54,9.55,9.49,9.5,5.96,2793400.0
2010-04-09,9.57,9.57,9.48,9.5,5.96,1833800.0
2010-04-12,9.53,9.58,9.47,9.55,5.99,1803400.0
2010-04-13,9.55,9.75,9.52,9.75,6.12,1396700.0
2010-04-14,9.78,9.95,9.61,9.89,6.21,1847100.0
2010-04-15,9.66,9.96,9.66,9.84,6.18,729700.0
2010-04-16,9.89,9.89,9.7,9.7,6.09,615100.0
2010-04-19,9.63,9.85,9.6,9.85,6.18,332000.0
2010-04-20,9.73,9.9,9.67,9.87,6.19,736700.0
2010-04-22,9.85,9.85,9.7,9.8,6.15,1143500.0
2010-04-23,9.85,9.87,9.67,9.78,6.14,472500.0
2010-04-26,9.78,9.84,9.75,9.8,6.15,694800.0
2010-04-27,9.74,9.75,9.55,9.55,5.99,695200.0
2010-04-28,9.57,9.75,9.45,9.55,5.99,934700.0
2010-04-29,9.6,9.66,9.5,9.5,5.96,260200.0
2010-04-30,9.49,9.6,9.44,9.6,6.02,1133800.0
2010-05-03,9.6,9.91,9.52,9.79,6.14,1154.0
2010-05-04,9.71,10.19,9.61,9.81,6.16,1793900.0
2010-05-05,9.8,9.8,9.6,9.7,6.09,878600.0
2010-05-06,9.79,9.79,8.93,9.68,6.08,1895800.0
2010-05-07,9.65,9.65,9.1,9.44,5.92,750800.0
2010-05-10,9.72,9.77,9.35,9.5,5.96,570900.0
2010-05-11,9.49,9.53,9.01,9.15,5.74,2507000.0
2010-05-12,9.27,9.4,9.2,9.4,5.9,1643900.0
2010-05-13,9.48,9.54,9.36,9.5,5.96,488700.0
2010-05-14,9.48,9.5,9.06,9.3,5.84,813300.0
2010-05-17,9.43,9.54,9.08,9.17,5.76,391700.0
2010-05-18,9.34,9.34,9.01,9.09,5.7,523400.0
2010-05-19,9.0,9.24,8.7,8.95,5.62,833200.0
2010-05-20,8.91,8.91,8.27,8.49,5.33,1268600.0
