Date,Open,High,Low,Close,Adj Close,Volume
2002-03-01,3.2,3.22,3.18,3.2,1.53,482.0
2002-03-04,3.2,3.2,3.04,3.2,1.53,158.0
2002-03-05,3.16,3.24,3.07,3.07,1.47,144.0
2002-03-06,3.14,3.16,3.07,3.08,1.47,449.0
2002-03-07,3.08,3.22,3.05,3.09,1.47,148.0
2002-03-08,3.2,3.22,3.1,3.18,1.52,79.0
2002-03-11,3.18,3.2,3.04,3.04,1.45,223.0
2002-03-12,3.18,3.19,3.16,3.19,1.52,218.0
2002-03-13,3.2,3.24,3.16,3.19,1.52,120.0
2002-03-14,3.22,3.27,3.2,3.23,1.54,106.0
2002-03-15,3.22,3.28,3.18,3.27,1.56,254.0
2002-03-18,3.3,3.3,3.24,3.28,1.57,217.0
2002-03-19,3.28,3.35,3.18,3.35,1.6,185.0
2002-03-20,3.32,3.42,3.26,3.42,1.64,890.0
2002-03-21,3.3,3.36,3.28,3.33,1.59,82.0
2002-03-22,3.27,3.31,3.21,3.25,1.55,406.0
2002-03-25,3.2,3.26,3.2,3.23,1.54,72.0
2002-03-26,3.25,3.34,3.24,3.33,1.59,128.0
2002-03-27,3.26,3.29,3.26,3.28,1.57,213.0
2002-03-28,3.32,3.51,3.32,3.51,1.68,214.0
2002-03-29,4.39,4.39,4.39,4.39,2.1,
2002-04-01,3.51,3.72,3.38,3.57,1.7,152.0
2002-04-02,3.64,3.64,3.38,3.38,1.61,312.0
2002-04-03,3.47,3.47,3.28,3.28,1.57,298.0
2002-04-04,3.28,3.42,3.28,3.42,1.64,173.0
2002-04-05,3.4,3.51,3.38,3.48,1.66,330.0
2002-04-08,3.41,3.45,3.35,3.44,1.64,27.0
2002-04-09,3.46,3.46,3.38,3.38,1.61,38.0
2002-04-10,3.38,3.48,3.38,3.45,1.65,83.0
2002-04-11,3.45,3.59,3.42,3.59,1.72,139.0
2002-04-12,3.59,3.76,3.59,3.72,1.78,220.0
2002-04-15,3.56,3.8,3.44,3.72,1.78,253.0
2002-04-16,3.72,3.99,3.72,3.92,1.87,328.0
2002-04-17,3.88,3.96,3.85,3.92,1.87,339.0
2002-04-18,3.84,3.84,3.65,3.69,1.76,576.0
2002-04-19,3.72,3.73,3.54,3.57,1.7,204.0
2002-04-22,3.63,3.63,3.41,3.56,1.7,419.0
2002-04-23,3.6,3.6,3.44,3.51,1.68,212.0
2002-04-24,3.63,3.7,3.6,3.68,1.76,280.0
2002-04-25,3.64,3.71,3.52,3.71,1.77,159.0
2002-04-26,3.69,3.69,3.5,3.68,1.76,182.0
2002-04-29,3.68,3.68,3.57,3.65,1.74,92.0
