Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,19.79,20.99,19.24,19.64,14.05,2335.0
2000-01-04,19.39,19.39,18.49,18.69,13.37,1374.0
2000-01-05,18.24,19.49,18.24,19.44,13.9,1624.0
2000-01-06,18.74,19.49,18.64,18.99,13.58,1538.0
2000-01-07,19.49,19.69,19.04,19.29,13.8,1337.0
2000-01-10,19.49,19.99,19.49,19.84,14.19,2185.0
2000-01-11,19.74,19.74,18.75,19.04,13.62,1525.0
2000-01-12,18.89,18.89,18.24,18.82,13.46,940.0
2000-01-13,19.14,19.24,18.09,18.39,13.15,712.0
2000-01-14,18.59,18.84,17.84,17.99,12.87,1813.0
2000-01-17,18.49,18.49,17.74,18.29,13.08,737.0
2000-01-18,18.49,18.49,17.79,18.34,13.12,1209.0
2000-01-19,18.39,18.99,18.14,18.24,13.05,1696.0
2000-01-20,18.39,18.89,17.79,18.29,13.08,2844.0
2000-01-21,18.39,18.49,16.95,17.0,12.15,2399.0
2000-01-24,17.25,17.79,17.0,17.09,12.22,1412.0
2000-01-25,17.09,17.09,17.09,17.09,12.22,
2000-01-26,17.09,17.5,17.09,17.19,12.29,1118.0
2000-01-27,17.97,17.97,17.3,17.34,12.4,1103.0
2000-01-28,17.74,17.74,16.45,16.5,11.79,1830.0
2000-01-31,16.5,16.5,15.8,16.05,11.47,1660.0
2000-02-01,16.2,16.35,15.75,16.05,11.47,1116.0
2000-02-02,16.25,16.35,15.95,16.15,11.55,505.0
2000-02-03,16.25,16.9,16.25,16.9,12.08,2671.0
2000-02-04,17.15,17.44,17.09,17.4,12.44,3215.0
2000-02-07,17.59,17.69,16.8,17.09,12.22,922.0
2000-02-08,17.47,17.59,17.09,17.47,12.49,1826.0
2000-02-09,17.64,17.64,16.85,17.15,12.26,1204.0
2000-02-10,17.15,17.19,16.75,17.19,12.29,1144.0
2000-02-11,17.0,17.15,16.1,16.4,11.72,1356.0
2000-02-14,16.4,16.8,15.9,16.0,11.44,835.0
2000-02-15,15.9,16.0,15.35,16.0,11.44,1388.0
2000-02-16,16.27,16.27,15.75,16.05,11.47,1847.0
2000-02-17,16.0,16.35,15.75,16.09,11.5,924.0
2000-02-18,15.9,16.05,15.55,15.75,11.26,464.0
2000-02-21,15.74,16.25,15.5,16.23,11.61,539.0
2000-02-22,16.25,16.6,15.85,16.0,11.44,1310.0
2000-02-23,16.0,16.24,15.95,16.05,11.47,740.0
2000-02-24,16.05,16.5,15.6,15.74,11.25,1575.0
2000-02-25,16.04,16.04,15.35,15.49,11.08,1301.0
2000-02-28,15.15,15.5,15.05,15.25,10.9,452.0
2000-02-29,15.5,15.5,15.0,15.3,10.94,740.0
2000-03-01,15.15,15.65,15.15,15.55,11.12,1068.0
2000-03-02,15.55,15.55,14.9,15.05,10.76,1093.0
2000-03-03,15.25,15.7,15.05,15.7,11.22,1361.0
2000-03-06,15.7,15.7,15.7,15.7,11.22,
2000-03-07,15.7,15.7,15.7,15.7,11.22,
2000-03-08,15.4,15.4,15.0,15.2,10.87,1207.0
2000-03-09,15.5,16.25,15.3,16.25,11.62,1432.0
2000-03-10,16.75,17.24,16.5,16.6,11.87,1733.0
2000-03-13,16.5,16.5,15.75,16.35,11.69,1615.0
2000-03-14,16.95,16.95,15.5,15.55,11.12,707.0
2000-03-15,15.6,15.75,15.1,15.5,11.08,629.0
2000-03-16,15.9,16.25,15.55,16.25,11.62,1840.0
2000-03-17,16.5,16.5,15.9,16.0,11.44,1278.0
2000-03-20,16.0,16.05,15.5,15.7,11.22,422.0
2000-03-21,15.7,15.95,15.45,15.45,11.04,1362.0
2000-03-22,16.0,16.2,15.75,15.82,11.31,716.0
2000-03-23,15.78,16.35,15.75,15.91,11.37,1076.0
2000-03-24,15.87,16.3,15.79,16.0,11.44,581.0
2000-03-27,16.4,16.55,16.05,16.55,11.83,675.0
2000-03-28,16.15,16.4,15.9,15.93,11.39,1272.0
2000-03-29,16.05,16.09,15.4,15.7,11.22,654.0
2000-03-30,15.45,15.6,15.0,15.2,10.87,1436.0
2000-03-31,15.4,15.75,15.35,15.5,11.08,2093.0
2000-04-03,15.5,15.65,15.25,15.32,10.95,2400.0
2000-04-04,15.55,15.55,14.75,15.25,10.9,1701.0
2000-04-05,15.0,15.2,14.75,15.0,10.72,991.0
2000-04-06,15.0,15.4,14.7,15.15,10.83,1070.0
2000-04-07,15.15,15.25,14.8,14.95,10.69,462.0
2000-04-10,14.95,14.95,14.45,14.5,10.36,554.0
2000-04-11,14.35,14.85,14.0,14.25,10.19,774.0
2000-04-12,14.5,14.55,14.0,14.1,10.08,1225.0
2000-04-13,14.5,14.5,13.5,13.55,9.69,1147.0
2000-04-14,13.65,13.65,12.8,13.0,9.29,1748.0
2000-04-17,12.84,13.25,12.2,12.75,9.11,1232.0
2000-04-18,12.75,13.0,12.5,12.89,9.22,1437.0
2000-04-19,13.0,13.0,12.2,12.3,8.79,545.0
2000-04-20,12.4,12.94,12.35,12.94,9.25,476.0
2000-04-21,12.94,12.94,12.94,12.94,9.25,
2000-04-24,12.5,12.75,12.5,12.55,8.97,840.0
2000-04-25,12.99,13.2,12.9,13.15,9.4,657.0
2000-04-26,13.0,13.0,12.7,12.99,9.29,557.0
2000-04-27,12.75,13.25,12.25,13.1,9.36,759.0
2000-04-28,13.5,13.5,13.19,13.35,9.54,1895.0
2000-05-01,13.35,13.35,13.35,13.35,9.54,
2000-05-02,13.5,14.25,13.5,13.9,9.94,1030.0
2000-05-03,13.8,13.8,13.35,13.35,9.54,203.0
2000-05-04,13.5,13.75,13.4,13.5,9.65,390.0
2000-05-05,13.5,14.1,13.5,13.8,9.86,606.0
2000-05-08,14.0,14.0,13.4,13.5,9.65,715.0
2000-05-09,13.85,13.85,13.35,13.6,9.72,1378.0
2000-05-10,13.3,13.95,13.3,13.7,9.8,1210.0
2000-05-11,14.0,14.3,13.85,14.01,10.01,892.0
2000-05-12,14.25,14.4,13.85,14.15,10.12,935.0
2000-05-15,14.15,15.0,13.9,14.8,10.58,957.0
2000-05-16,14.95,15.15,14.8,15.05,10.76,1134.0
2000-05-17,15.0,15.0,14.4,14.7,10.51,548.0
