Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,7.76,7.76,7.01,7.16,6.32,1121444.0
2000-01-04,6.83,6.83,6.3,6.3,5.57,1432068.0
2000-01-05,6.45,6.59,6.22,6.54,5.78,1100888.0
2000-01-06,6.48,6.48,6.3,6.33,5.59,523036.0
2000-01-07,6.56,6.57,6.35,6.52,5.76,480782.0
2000-01-10,6.61,6.7,6.58,6.58,5.81,432818.0
2000-01-11,6.73,6.73,6.23,6.23,5.5,268370.0
2000-01-12,6.32,6.4,6.22,6.26,5.53,447664.0
2000-01-13,6.48,6.57,6.13,6.3,5.57,425966.0
2000-01-14,6.3,6.48,6.13,6.25,5.52,422540.0
2000-01-17,6.13,6.48,6.13,6.39,5.64,278648.0
2000-01-18,6.3,6.57,6.3,6.57,5.8,485350.0
2000-01-19,6.49,6.8,6.35,6.35,5.61,847364.0
2000-01-20,6.52,6.52,6.37,6.44,5.68,427108.0
2000-01-21,6.44,6.57,6.13,6.57,5.8,440812.0
2000-01-24,6.56,6.83,6.39,6.52,5.76,532172.0
2000-01-25,6.52,6.52,6.52,6.52,5.76,
2000-01-26,6.7,6.74,6.57,6.61,5.84,440812.0
2000-01-27,6.87,6.97,6.79,6.84,6.04,1030084.0
2000-01-28,6.96,7.09,6.82,6.87,6.07,669212.0
2000-01-31,7.01,7.42,6.83,7.26,6.41,1195674.0
2000-02-01,7.41,7.41,6.83,7.09,6.26,566432.0
2000-02-02,7.09,7.27,7.09,7.26,6.41,540166.0
2000-02-03,7.26,7.31,7.01,7.01,6.19,633810.0
2000-02-04,7.12,7.18,7.01,7.01,6.19,396274.0
2000-02-07,7.09,7.25,7.09,7.24,6.39,770850.0
2000-02-08,7.31,7.53,7.31,7.4,6.53,682916.0
2000-02-09,7.44,7.5,7.36,7.4,6.53,366582.0
2000-02-10,7.4,7.84,7.4,7.71,6.8,855358.0
2000-02-11,7.75,7.75,7.22,7.22,6.38,384854.0
2000-02-14,7.22,7.36,7.18,7.22,6.38,512758.0
2000-02-15,7.22,7.29,6.83,7.22,6.38,412262.0
2000-02-16,7.27,7.44,7.27,7.28,6.42,602976.0
2000-02-17,7.36,7.4,7.27,7.31,6.46,253524.0
2000-02-18,7.26,7.29,7.09,7.11,6.28,294636.0
2000-02-21,7.01,7.37,6.97,7.37,6.51,730880.0
2000-02-22,7.19,7.39,7.01,7.18,6.34,690910.0
2000-02-23,7.44,7.44,7.18,7.27,6.42,488776.0
2000-02-24,7.36,7.36,7.01,7.01,6.19,422540.0
2000-02-25,7.06,7.18,6.92,6.93,6.12,304914.0
2000-02-28,6.84,7.05,6.66,7.03,6.21,378002.0
2000-02-29,7.05,7.18,7.04,7.18,6.34,504764.0
2000-03-01,7.2,7.53,7.2,7.53,6.65,1087184.0
2000-03-02,7.62,7.88,7.49,7.53,6.65,584704.0
2000-03-03,7.62,7.75,7.44,7.7,6.8,372292.0
2000-03-06,7.7,7.7,7.7,7.7,6.8,
2000-03-07,7.7,7.7,7.7,7.7,6.8,
