Date,Open,High,Low,Close,Adj Close,Volume
2008-04-07,17.82,17.82,17.32,17.32,10.28,
2008-04-08,17.32,18.02,17.32,17.92,10.63,177388.0
2008-04-09,17.92,17.92,17.42,17.92,10.63,161115.0
2008-04-10,17.92,18.36,17.73,18.36,10.89,169252.0
2008-04-11,18.36,18.71,18.27,18.42,10.93,261662.0
2008-04-14,18.42,18.42,17.32,17.52,10.39,134899.0
2008-04-15,17.82,18.22,17.68,17.72,10.51,64989.0
2008-04-16,18.21,18.27,17.91,18.11,10.74,103761.0
2008-04-17,18.12,19.61,18.09,19.61,11.63,171662.0
2008-04-18,19.02,19.09,18.53,18.92,12.01,192856.0
2008-04-22,17.61,17.61,16.17,16.63,11.33,219374.0
2008-04-23,16.92,16.92,16.23,16.23,11.05,306662.0
2008-04-24,16.43,16.77,15.98,15.98,10.88,27321.0
2008-04-25,16.18,16.23,15.83,15.93,10.85,218771.0
2008-04-28,16.08,16.38,15.85,15.98,10.88,101551.0
2008-04-29,15.94,16.19,15.89,16.19,11.03,262767.0
2008-04-30,16.19,17.32,15.9,17.32,11.8,322130.0
2008-05-02,17.22,17.36,16.63,17.17,11.7,228816.0
2008-05-05,17.28,17.92,17.11,17.92,12.21,240970.0
2008-05-06,17.72,17.72,17.33,17.52,11.94,159106.0
2008-05-07,17.72,17.72,16.87,16.87,11.49,356182.0
2008-05-08,17.21,17.21,16.92,17.02,11.6,57154.0
2008-05-09,16.92,16.97,16.8,16.83,11.46,67801.0
2008-05-12,17.02,17.02,16.83,16.97,11.56,42388.0
2008-05-13,17.02,17.02,16.83,16.97,11.56,42388.0
2008-05-14,17.3,17.31,16.75,17.06,11.62,303950.0
2008-05-15,17.21,17.47,16.92,17.35,11.82,259653.0
2008-05-16,17.32,17.49,17.08,17.32,11.8,238660.0
2008-05-19,17.32,17.72,17.0,17.3,11.79,72823.0
2008-05-20,17.22,17.22,16.58,16.82,11.45,137310.0
2008-05-21,16.87,17.02,16.5,16.63,11.33,190345.0
2008-05-23,16.43,17.02,15.93,16.28,11.09,175881.0
2008-05-26,16.36,16.38,16.13,16.21,11.04,73225.0
2008-05-27,16.21,16.28,15.83,15.94,10.86,56149.0
2008-05-28,15.96,16.28,15.84,16.18,11.02,452710.0
2008-05-29,15.96,16.28,15.84,16.18,11.02,452710.0
2008-05-30,16.19,16.92,16.18,16.62,11.32,220479.0
2008-06-02,16.19,16.92,16.18,16.62,11.32,220479.0
2008-06-03,16.62,16.69,16.33,16.53,11.26,99241.0
2008-06-04,16.58,16.83,16.16,16.78,11.43,122544.0
2008-06-05,16.33,16.78,16.33,16.78,11.43,108281.0
2008-06-06,16.82,16.92,16.6,16.81,11.45,102053.0
2008-06-09,16.73,17.07,16.43,16.92,11.53,244586.0
2008-06-10,16.82,16.91,16.5,16.78,11.43,80959.0
2008-06-11,16.78,16.78,16.43,16.43,11.19,100647.0
2008-06-12,16.47,16.73,16.43,16.68,11.36,173169.0
2008-06-13,16.63,16.77,16.54,16.63,11.33,41886.0
2008-06-16,16.63,16.68,16.53,16.63,11.33,45502.0
2008-06-17,16.43,16.58,16.33,16.53,11.26,171763.0
2008-06-18,16.63,16.63,16.08,16.08,10.95,232532.0
2008-06-19,16.18,16.18,15.88,15.92,10.84,80759.0
2008-06-20,15.92,16.22,15.81,15.92,10.84,409518.0
2008-06-23,15.92,15.98,15.74,15.83,10.78,85178.0
2008-06-24,15.83,15.83,15.33,15.53,10.58,121138.0
2008-06-25,15.53,15.53,14.93,15.26,10.4,285166.0
2008-06-26,15.13,15.43,14.94,15.23,10.38,60268.0
2008-06-27,15.13,15.63,15.03,15.53,10.58,174173.0
2008-06-30,15.53,15.92,15.53,15.78,10.75,68705.0
2008-07-01,15.58,15.88,14.73,15.03,10.24,279642.0
2008-07-02,15.13,15.13,14.59,14.59,9.94,64587.0
2008-07-03,14.59,14.88,14.44,14.88,10.14,25413.0
2008-07-04,14.92,14.92,14.57,14.73,10.04,26819.0
2008-07-07,14.73,15.23,14.72,15.03,10.24,100145.0
2008-07-08,14.93,16.32,14.93,16.32,11.12,76239.0
2008-07-10,15.93,16.73,15.93,16.63,11.33,443268.0
2008-07-11,16.6,16.6,16.21,16.33,11.12,148057.0
2008-07-14,16.33,16.93,16.03,16.92,11.53,427197.0
2008-07-15,16.53,16.72,16.13,16.72,11.39,319519.0
2008-07-16,16.72,17.11,16.44,16.91,11.52,82366.0
2008-07-17,16.91,16.91,16.53,16.83,11.46,147254.0
2008-07-18,16.78,16.78,16.19,16.53,11.26,46105.0
2008-07-21,16.53,16.55,16.34,16.53,11.26,331371.0
2008-07-22,16.43,16.51,15.62,15.83,10.78,138716.0
2008-07-23,15.93,16.22,15.63,16.11,10.97,45803.0
2008-07-24,16.03,16.03,15.73,15.92,10.84,34152.0
2008-07-25,15.92,15.92,15.07,15.63,10.65,276126.0
2008-07-28,15.67,15.67,15.03,15.13,10.31,862028.0
2008-07-29,15.57,15.73,15.03,15.73,10.71,348849.0
2008-07-30,15.93,16.08,15.12,15.28,10.41,259050.0
2008-07-31,15.28,15.43,14.79,15.43,10.51,614227.0
2008-08-01,15.23,15.52,14.73,15.18,10.34,176283.0
2008-08-04,15.18,15.18,14.51,14.54,9.9,124051.0
2008-08-05,14.73,15.23,14.55,14.93,10.17,84475.0
2008-08-06,15.07,15.43,14.93,15.13,10.31,34855.0
2008-08-07,15.38,15.62,15.29,15.46,10.53,194162.0
2008-08-08,15.43,15.98,15.3,15.63,10.65,171060.0
2008-08-11,15.63,15.65,15.18,15.18,10.34,302845.0
2008-08-12,15.28,15.28,14.68,14.83,10.1,178493.0
2008-08-13,14.92,14.92,14.14,14.68,10.0,149464.0
2008-08-14,14.9,15.43,14.83,15.13,10.31,61975.0
2008-08-15,15.13,15.33,14.93,15.13,10.31,70212.0
2008-08-18,15.23,15.25,14.92,14.93,10.17,53839.0
2008-08-19,14.93,15.08,14.83,15.03,10.24,35357.0
2008-08-20,15.03,15.13,14.88,15.0,10.22,41384.0
2008-08-21,15.01,15.02,14.54,14.91,10.16,99743.0
2008-08-22,14.83,15.03,14.83,14.83,10.1,41484.0
2008-08-25,14.93,15.03,14.93,14.93,10.17,19085.0
2008-08-26,14.93,15.13,14.44,14.63,9.97,108482.0
2008-08-27,14.86,14.86,14.59,14.63,9.97,42087.0
2008-08-28,14.54,14.73,14.44,14.73,10.04,227309.0
2008-08-29,14.73,14.73,14.34,14.63,9.97,175780.0
2008-09-01,14.63,15.08,14.54,14.68,10.0,56953.0
2008-09-02,14.81,14.83,14.44,14.54,9.9,100346.0
2008-09-03,14.54,14.54,14.28,14.44,9.83,65893.0
2008-09-04,14.53,14.53,13.75,14.14,9.63,148560.0
2008-09-05,13.89,14.16,13.79,14.04,9.56,253827.0
2008-09-08,14.26,14.26,13.74,13.89,9.46,80457.0
2008-09-09,13.89,13.89,13.18,13.19,8.99,159910.0
2008-09-10,13.2,13.27,12.83,12.94,8.82,301539.0
2008-09-11,12.94,13.24,12.7,13.09,8.92,318012.0
2008-09-12,13.09,13.43,12.41,13.21,9.0,452811.0
2008-09-15,12.74,12.99,12.44,12.54,8.54,141930.0
2008-09-16,12.44,12.52,11.91,12.3,8.38,329061.0
2008-09-17,12.05,12.05,11.35,11.8,8.04,999639.0
2008-09-18,11.8,11.94,11.01,11.94,8.13,449496.0
2008-09-19,12.94,12.94,11.94,11.94,8.13,658022.0
2008-09-22,11.8,11.97,10.95,11.75,8.0,385010.0
2008-09-23,11.75,11.75,11.39,11.74,8.0,85379.0
2008-09-24,11.93,11.95,10.98,11.65,7.93,212242.0
2008-09-25,11.6,12.25,11.6,11.95,8.14,108783.0
2008-09-26,11.75,11.95,11.45,11.45,7.8,204910.0
2008-09-29,11.45,11.45,10.65,10.7,7.29,129977.0
2008-09-30,10.8,11.45,10.64,11.45,7.8,223693.0
2008-10-01,11.45,11.66,10.83,11.66,7.94,193660.0
2008-10-02,11.65,11.82,10.55,10.85,7.39,654607.0
2008-10-03,11.39,11.39,10.31,10.35,7.05,165635.0
2008-10-06,9.96,9.96,9.23,9.71,6.61,275122.0
2008-10-07,9.71,10.01,9.26,9.26,6.31,403592.0
2008-10-08,8.96,9.2,8.22,9.19,6.26,154285.0
2008-10-09,9.19,9.96,9.19,9.31,6.34,123749.0
2008-10-10,8.83,9.65,8.41,9.65,6.57,210635.0
2008-10-13,9.68,11.08,9.68,10.95,7.46,68705.0
2008-10-14,11.15,11.6,10.98,11.6,7.9,269898.0
2008-10-15,11.35,11.35,10.61,10.65,7.26,581984.0
2008-10-16,10.75,10.8,10.24,10.64,7.25,109888.0
2008-10-17,10.54,11.2,10.54,10.76,7.33,167745.0
2008-10-20,10.97,11.64,10.82,11.45,7.8,109787.0
2008-10-21,11.45,11.69,10.95,11.25,7.66,64185.0
2008-10-22,11.05,11.24,10.65,10.65,7.26,249307.0
2008-10-23,10.61,10.82,10.06,10.51,7.16,408514.0
2008-10-24,10.15,10.15,9.67,9.89,6.73,86886.0
2008-10-27,9.76,10.06,9.76,9.86,6.71,22199.0
2008-10-28,10.45,10.95,10.15,10.54,7.18,79553.0
2008-10-29,10.7,12.15,10.7,11.54,7.86,126662.0
2008-10-30,11.54,11.65,11.15,11.4,7.76,127064.0
2008-10-31,11.39,12.15,11.39,12.09,8.23,102053.0
2008-11-03,11.95,11.95,11.2,11.2,7.63,389228.0
2008-11-04,11.3,11.35,10.95,10.95,7.46,246896.0
2008-11-05,11.0,11.0,10.25,10.45,7.12,119832.0
2008-11-06,10.2,10.2,9.9,9.9,6.74,415344.0
2008-11-07,9.96,10.1,9.86,10.06,6.85,455422.0
