Date,Open,High,Low,Close,Adj Close,Volume
2009-12-17,8.5,9.12,8.4,9.12,5.71,18837000.0
2009-12-18,9.22,9.23,8.82,8.82,5.52,2533800.0
2009-12-21,8.85,8.85,8.47,8.6,5.38,2273200.0
2009-12-22,8.69,8.71,8.53,8.65,5.41,1136400.0
2009-12-23,8.6,8.75,8.55,8.65,5.41,207800.0
2009-12-24,,,,,,
2009-12-28,8.62,8.89,8.6,8.85,5.54,566400.0
2009-12-29,,,,,,
2009-12-30,9.0,9.19,8.98,9.19,5.75,590800.0
2010-01-04,9.01,9.25,9.01,9.05,5.66,464000.0
2010-01-05,9.1,9.24,8.93,9.0,5.63,273800.0
2010-01-06,9.0,9.48,9.0,9.32,5.83,764800.0
2010-01-07,9.26,9.37,9.06,9.35,5.85,752800.0
2010-01-08,9.16,9.94,9.16,9.55,5.97,2120800.0
2010-01-11,9.61,9.74,9.49,9.62,6.02,287800.0
2010-01-12,9.62,10.24,9.61,9.8,6.13,718200.0
2010-01-13,9.8,9.82,9.6,9.82,6.14,314600.0
2010-01-14,9.84,10.23,9.84,10.0,6.25,76200.0
2010-01-15,10.02,10.09,9.85,9.85,6.16,266400.0
2010-01-18,10.09,10.09,9.92,9.93,6.21,103400.0
2010-01-19,9.98,10.07,9.92,10.01,6.26,145200.0
2010-01-20,10.0,10.05,9.85,9.88,6.18,2142800.0
2010-01-21,9.77,9.99,9.7,9.81,6.14,180800.0
2010-01-22,9.8,9.81,9.7,9.75,6.1,710000.0
2010-01-26,9.75,9.85,9.69,9.69,6.06,860000.0
2010-01-27,9.75,9.75,9.5,9.69,6.06,59000.0
2010-01-28,9.57,9.78,9.57,9.75,6.1,35200.0
2010-01-29,9.78,10.07,9.74,9.74,6.09,321000.0
2010-02-01,9.74,9.74,9.57,9.6,6.0,139600.0
2010-02-02,9.57,9.57,9.45,9.45,5.91,304600.0
2010-02-03,9.56,9.6,9.43,9.44,5.91,62200.0
2010-02-04,9.45,9.55,8.89,8.97,5.61,432000.0
2010-02-05,8.97,9.14,8.6,8.85,5.53,394200.0
2010-02-08,8.87,9.51,8.7,8.94,5.59,437800.0
2010-02-09,9.04,9.32,9.0,9.25,5.79,321800.0
2010-02-10,9.24,9.6,9.24,9.47,5.92,484600.0
2010-02-11,9.48,9.68,9.39,9.39,5.87,314600.0
2010-02-12,9.53,9.59,9.24,9.25,5.79,33600.0
2010-02-17,9.57,9.59,9.45,9.5,5.94,246600.0
2010-02-18,9.38,10.0,9.23,9.95,6.22,211400.0
2010-02-19,9.8,9.98,9.8,9.96,6.23,383400.0
2010-02-22,9.75,10.07,9.74,9.87,6.17,1007600.0
2010-02-23,9.8,9.91,9.53,9.65,6.04,1038200.0
2010-02-24,9.6,9.95,9.6,9.82,6.14,56200.0
2010-02-25,9.8,9.8,9.51,9.62,6.02,610600.0
2010-02-26,9.59,10.0,9.56,9.99,6.25,32800.0
2010-03-01,10.05,10.05,9.61,9.61,6.01,1138400.0
2010-03-02,9.65,9.91,9.45,9.48,5.93,129800.0
2010-03-03,9.75,9.75,9.48,9.5,5.94,210800.0
2010-03-04,9.6,9.66,9.5,9.5,5.94,33400.0
2010-03-05,9.65,9.65,9.5,9.62,6.02,116600.0
2010-03-08,9.65,9.72,9.53,9.6,6.0,86600.0
2010-03-09,9.69,9.69,9.5,9.52,5.96,60600.0
2010-03-10,9.52,9.8,9.48,9.48,5.93,491000.0
2010-03-11,9.43,9.5,9.27,9.5,5.94,162200.0
2010-03-12,9.26,9.62,9.26,9.5,5.94,90200.0
2010-03-15,9.25,9.7,9.25,9.6,6.0,201800.0
2010-03-16,9.5,9.99,9.41,9.55,5.97,534200.0
2010-03-17,9.64,9.91,9.64,9.77,6.11,208600.0
2010-03-18,9.68,9.98,9.68,9.9,6.19,384400.0
2010-03-19,9.9,9.9,9.52,9.82,6.14,1068000.0
2010-03-22,9.83,9.85,9.55,9.85,6.16,59200.0
2010-03-23,9.73,9.98,9.73,9.88,6.18,613000.0
2010-03-24,9.86,9.9,9.65,9.66,6.04,254200.0
2010-03-25,9.76,9.85,9.66,9.77,6.11,48200.0
2010-03-26,9.62,9.8,9.62,9.73,6.09,48600.0
2010-03-29,9.65,9.81,9.61,9.65,6.04,319000.0
2010-03-30,9.79,9.94,9.66,9.7,6.07,130800.0
2010-03-31,9.89,9.89,9.5,9.5,5.94,1248600.0
2010-04-01,9.5,9.73,9.15,9.15,5.73,259000.0
2010-04-05,9.25,9.25,8.9,8.9,5.57,583600.0
2010-04-06,9.0,9.0,8.7,8.7,5.44,1197600.0
2010-04-07,8.81,8.9,8.43,8.55,5.35,913400.0
2010-04-08,8.57,8.9,8.55,8.55,5.35,640.0
2010-04-09,8.9,8.98,8.85,8.95,5.6,494600.0
2010-04-12,8.94,8.99,8.85,8.99,5.63,639200.0
2010-04-13,8.99,9.02,8.83,9.01,5.64,1057600.0
2010-04-14,9.02,9.11,8.77,9.0,5.63,631400.0
2010-04-15,9.06,9.06,8.8,8.9,5.57,71200.0
2010-04-16,8.97,9.03,8.77,8.9,5.57,702200.0
2010-04-19,8.9,9.02,8.85,8.85,5.54,102200.0
2010-04-20,8.77,9.09,8.77,9.0,5.63,652000.0
2010-04-22,8.95,9.0,8.85,8.95,5.6,946400.0
2010-04-23,9.01,9.12,8.72,9.0,5.63,504000.0
2010-04-26,9.0,9.07,8.88,9.01,5.63,259800.0
2010-04-27,8.76,9.03,8.74,8.75,5.47,257000.0
2010-04-28,8.85,8.97,8.75,8.75,5.47,87800.0
2010-04-29,8.91,8.98,8.82,8.85,5.54,76600.0
2010-04-30,8.71,9.12,8.55,8.86,5.54,254600.0
2010-05-03,9.0,9.15,9.0,9.0,5.63,172.0
2010-05-04,9.01,9.15,8.88,8.9,5.57,256400.0
2010-05-05,8.86,8.87,8.68,8.8,5.5,102400.0
2010-05-06,8.76,9.04,8.5,8.6,5.38,160000.0
2010-05-07,8.55,9.03,8.48,8.48,5.3,846800.0
2010-05-10,8.74,9.02,8.31,8.43,5.27,181800.0
2010-05-11,8.45,8.69,8.3,8.48,5.3,179000.0
2010-05-12,8.5,9.05,8.43,8.58,5.37,166000.0
2010-05-13,8.59,8.94,8.59,8.85,5.54,335200.0
2010-05-14,8.76,8.95,8.75,8.75,5.47,1546600.0
2010-05-17,8.74,8.9,8.39,8.62,5.39,170200.0
2010-05-18,8.62,8.89,8.52,8.55,5.35,114000.0
2010-05-19,8.55,8.75,8.42,8.5,5.32,383400.0
2010-05-20,8.3,8.51,8.3,8.35,5.22,861000.0
2010-05-21,8.24,8.5,8.24,8.3,5.19,268600.0
2010-05-24,8.47,8.48,8.26,8.26,5.17,40000.0
2010-05-25,8.26,8.43,8.01,8.25,5.16,108600.0
2010-05-26,8.48,8.5,8.35,8.5,5.32,306200.0
2010-05-27,8.49,8.57,8.41,8.57,5.36,995000.0
2010-05-28,8.6,8.99,8.53,8.91,5.58,124200.0
2010-05-31,8.99,8.99,8.85,8.9,5.57,36000.0
2010-06-01,8.99,8.99,8.76,8.76,5.48,14200.0
2010-06-02,8.75,8.99,8.75,8.8,5.5,149600.0
2010-06-04,8.65,8.98,8.62,8.98,5.61,285200.0
2010-06-07,8.99,9.28,8.94,9.2,5.75,291800.0
2010-06-08,9.2,9.91,9.2,9.5,5.94,358600.0
2010-06-09,9.48,9.51,9.12,9.12,5.71,29200.0
2010-06-10,9.12,9.4,9.12,9.32,5.83,60400.0
2010-06-11,9.16,9.35,9.16,9.25,5.79,497000.0
2010-06-14,9.38,9.38,9.1,9.1,5.69,54000.0
2010-06-15,9.3,9.37,9.12,9.14,5.71,37800.0
2010-06-16,9.15,9.35,8.94,9.05,5.66,114800.0
2010-06-17,8.91,9.32,8.91,9.15,5.72,100400.0
2010-06-18,8.9,9.25,8.9,9.25,5.79,74.0
2010-06-21,9.18,9.48,8.95,9.25,5.79,181600.0
2010-06-22,9.47,9.48,9.25,9.4,5.88,51400.0
2010-06-23,9.38,9.6,9.26,9.51,5.94,106800.0
2010-06-24,9.55,9.57,9.45,9.5,5.94,28200.0
2010-06-25,9.49,9.73,9.49,9.6,6.0,19200.0
2010-06-28,9.61,9.85,9.6,9.75,6.1,123000.0
2010-06-29,9.51,9.75,9.5,9.75,6.1,119800.0
2010-06-30,9.72,9.99,9.69,9.99,6.25,293000.0
2010-07-01,9.97,10.0,9.8,9.97,6.24,247200.0
2010-07-02,9.96,10.02,9.96,9.96,6.23,141200.0
2010-07-05,10.0,10.12,10.0,10.0,6.25,20200.0
2010-07-06,9.99,10.4,9.99,10.1,6.32,96200.0
2010-07-07,10.0,10.48,10.0,10.41,6.51,138600.0
2010-07-08,10.44,10.75,10.44,10.7,6.69,412000.0
2010-07-12,10.3,10.35,10.3,10.35,6.47,590200.0
2010-07-13,10.4,10.45,10.02,10.25,6.41,91000.0
2010-07-14,10.02,10.05,9.98,10.0,6.25,144200.0
2010-07-15,10.1,10.15,9.97,10.0,6.25,58200.0
2010-07-16,10.02,10.05,9.88,10.0,6.25,177400.0
2010-07-19,10.24,10.35,10.01,10.01,6.26,44200.0
2010-07-20,10.01,10.18,9.75,10.0,6.25,1322200.0
2010-07-21,10.0,10.13,9.91,9.91,6.2,158000.0
2010-07-22,10.02,10.35,10.0,10.1,6.31,720600.0
2010-07-23,10.12,10.31,10.0,10.01,6.26,36000.0
2010-07-26,10.24,10.24,10.01,10.02,6.27,9400.0
2010-07-27,10.2,10.2,10.0,10.07,6.3,180000.0
2010-07-28,10.07,10.23,9.76,9.93,6.21,88400.0
2010-07-29,10.14,10.22,10.0,10.02,6.27,135200.0
2010-07-30,9.95,10.25,9.93,10.2,6.38,138600.0
2010-08-02,10.1,10.2,10.07,10.07,6.3,168000.0
2010-08-03,10.1,10.15,10.05,10.1,6.32,48000.0
2010-08-04,10.08,10.19,9.95,9.95,6.22,8800.0
2010-08-05,10.12,10.3,10.12,10.12,6.33,81800.0
2010-08-06,10.1,10.48,10.01,10.01,6.26,26600.0
2010-08-09,10.13,10.48,9.98,10.2,6.38,119000.0
2010-08-10,10.35,10.5,10.09,10.11,6.32,45600.0
2010-08-11,10.25,10.26,10.05,10.06,6.3,16600.0
2010-08-12,10.14,10.52,10.14,10.19,6.42,33600.0
2010-08-13,10.25,10.74,10.2,10.23,6.43,251200.0
2010-08-16,10.02,10.36,10.0,10.06,6.33,82000.0
2010-08-17,10.07,10.28,10.07,10.18,6.4,174000.0
2010-08-18,10.35,10.65,10.31,10.54,6.63,45200.0
2010-08-19,10.81,11.59,10.54,11.59,7.29,147400.0
2010-08-20,11.62,11.62,10.85,11.15,7.02,114000.0
2010-08-23,11.15,11.25,10.86,10.9,6.86,419600.0
2010-08-24,11.19,11.19,10.38,10.38,6.53,28400.0
2010-08-25,10.38,10.93,10.23,10.8,6.8,1177800.0
2010-08-26,10.8,11.05,10.51,10.85,6.83,36800.0
2010-08-27,10.94,10.94,10.58,10.85,6.83,78600.0
2010-08-30,10.94,10.94,10.5,10.55,6.64,305400.0
2010-08-31,10.51,10.98,10.51,10.8,6.8,134000.0
