Date,Open,High,Low,Close,Adj Close,Volume
2000-05-02,2.47,2.56,2.42,2.56,1.29,348659987.0
2000-05-03,2.56,2.56,2.47,2.47,1.25,248039991.0
2000-05-04,2.49,2.51,2.49,2.49,1.26,478529982.0
2000-05-05,2.49,2.56,2.49,2.53,1.28,537029980.0
2000-05-08,2.53,2.53,2.49,2.49,1.26,198899993.0
2000-05-09,2.49,2.51,2.31,2.4,1.22,243359991.0
2000-05-10,2.38,2.38,2.29,2.31,1.17,405989985.0
2000-05-11,2.29,2.33,2.29,2.33,1.18,1092779960.0
2000-05-12,2.44,2.44,2.24,2.27,1.15,420029985.0
2000-05-15,2.29,2.29,2.27,2.27,1.15,3808349860.0
2000-05-16,2.29,2.33,2.27,2.29,1.16,2303729915.0
2000-05-17,2.29,2.29,2.22,2.24,1.14,170819994.0
2000-05-18,2.22,2.22,2.09,2.11,1.07,1510469945.0
2000-05-19,2.09,2.09,2.02,2.04,1.04,363869987.0
2000-05-22,2.07,2.07,1.96,2.0,1.01,1219139955.0
2000-05-23,2.0,2.02,1.89,1.91,0.97,1030769962.0
2000-05-24,1.96,1.96,1.84,1.89,0.96,1700009938.0
2000-05-25,1.89,1.98,1.89,1.93,0.98,3352049877.0
2000-05-26,1.96,2.04,1.96,2.04,1.04,630629977.0
2000-05-29,2.11,2.11,2.07,2.09,1.06,1043639962.0
2000-05-30,2.11,2.22,2.09,2.22,1.13,3038489889.0
2000-05-31,2.2,2.33,2.2,2.33,1.18,2719079900.0
2000-06-01,2.29,2.44,2.29,2.42,1.23,1861469932.0
2000-06-02,2.49,2.51,2.33,2.4,1.22,2189069920.0
2000-06-05,2.44,2.44,2.4,2.42,1.23,1319759952.0
2000-06-06,2.42,2.42,2.42,2.42,1.23,
2000-06-07,2.44,2.47,2.42,2.47,1.25,1031939962.0
2000-06-08,2.49,2.51,2.4,2.47,1.25,1537379944.0
2000-06-09,2.44,2.47,2.4,2.44,1.24,1205099956.0
2000-06-12,2.4,2.42,2.36,2.38,1.2,405989985.0
2000-06-13,2.38,2.38,2.33,2.36,1.19,537029980.0
2000-06-14,2.36,2.38,2.29,2.33,1.18,694979975.0
2000-06-15,2.31,2.33,2.2,2.2,1.11,1491749945.0
2000-06-16,2.22,2.22,2.09,2.18,1.1,1155959958.0
2000-06-19,2.18,2.18,2.09,2.13,1.08,2619629904.0
2000-06-20,2.18,2.22,2.16,2.18,1.1,1974959928.0
2000-06-21,2.22,2.36,2.2,2.36,1.19,4272839843.0
2000-06-22,2.36,2.36,2.36,2.36,1.19,
2000-06-23,2.38,2.4,2.31,2.33,1.18,1575989942.0
2000-06-26,2.36,2.36,2.29,2.29,1.16,1103309960.0
2000-06-27,2.29,2.38,2.29,2.36,1.19,1247219954.0
2000-06-28,2.4,2.51,2.4,2.49,1.26,1935179929.0
2000-06-29,2.4,2.49,2.4,2.47,1.25,2536559907.0
2000-06-30,2.47,2.49,2.44,2.44,1.24,1464839946.0
2000-07-03,2.44,2.47,2.42,2.44,1.24,1029599962.0
2000-07-04,2.44,2.56,2.44,2.56,1.29,2628989904.0
2000-07-05,2.56,2.71,2.56,2.6,1.32,4346549841.0
2000-07-06,2.62,2.69,2.62,2.67,1.35,2951909892.0
2000-07-07,2.69,2.71,2.69,2.71,1.37,1805309934.0
2000-07-10,2.73,2.76,2.71,2.73,1.38,3865679858.0
2000-07-11,2.71,2.71,2.56,2.62,1.33,1655549939.0
2000-07-12,2.62,2.67,2.58,2.58,1.31,2123549922.0
2000-07-13,2.58,2.62,2.56,2.58,1.31,1320929952.0
2000-07-14,2.56,2.6,2.56,2.58,1.31,1285829953.0
2000-07-17,2.62,2.64,2.6,2.6,1.32,2127059922.0
2000-07-18,2.64,2.67,2.62,2.64,1.34,2176199920.0
2000-07-19,2.64,2.64,2.58,2.62,1.33,303029989.0
2000-07-20,2.67,2.67,2.56,2.56,1.29,885689968.0
2000-07-21,2.56,2.6,2.44,2.6,1.32,2297879916.0
2000-07-24,2.62,2.64,2.56,2.6,1.32,885689968.0
2000-07-25,2.62,2.64,2.56,2.56,1.29,962909965.0
2000-07-26,2.56,2.58,2.51,2.58,1.31,855269969.0
2000-07-27,2.6,2.6,2.56,2.56,1.29,632969977.0
2000-07-28,2.56,2.58,2.53,2.53,1.28,1179359957.0
2000-07-31,2.56,2.62,2.53,2.6,1.32,1035449962.0
2000-08-01,2.62,2.62,2.56,2.56,1.29,1052999961.0
2000-08-02,2.6,2.6,2.53,2.58,1.31,1337309951.0
2000-08-03,2.51,2.6,2.51,2.6,1.32,1972619928.0
2000-08-04,2.6,2.62,2.6,2.62,1.33,2490929909.0
2000-08-07,2.62,2.67,2.62,2.64,1.34,1159469957.0
2000-08-08,2.62,2.69,2.62,2.64,1.34,1935179929.0
2000-08-09,2.64,2.73,2.64,2.64,1.34,1942199929.0
2000-08-10,2.67,2.8,2.67,2.71,1.37,2486249909.0
2000-08-11,2.78,2.82,2.69,2.8,1.42,3196439883.0
2000-08-14,2.8,3.0,2.8,2.96,1.5,3036149889.0
2000-08-15,2.96,3.0,2.91,3.0,1.52,3010409890.0
2000-08-16,2.96,2.98,2.91,2.96,1.5,2495609908.0
2000-08-17,2.96,2.96,2.82,2.89,1.46,1655549939.0
2000-08-18,2.87,2.89,2.73,2.78,1.41,1456649947.0
2000-08-21,2.78,2.78,2.71,2.73,1.38,1123199959.0
2000-08-22,2.78,2.78,2.73,2.76,1.4,547559980.0
2000-08-23,2.78,2.78,2.71,2.71,1.37,1340819951.0
2000-08-24,2.71,2.73,2.62,2.67,1.35,1432079947.0
2000-08-25,2.69,2.73,2.67,2.67,1.35,1264769954.0
2000-08-28,2.69,2.71,2.69,2.71,1.37,1794779934.0
2000-08-29,2.73,2.82,2.71,2.76,1.4,762839972.0
2000-08-30,2.78,2.84,2.78,2.82,1.43,2189069920.0
2000-08-31,2.78,2.91,2.78,2.91,1.47,5048549815.0
2000-09-01,2.89,2.93,2.89,2.93,1.49,2261609917.0
2000-09-04,2.93,2.98,2.91,2.91,1.47,553409980.0
