Date,Open,High,Low,Close,Adj Close,Volume
2000-05-02,2.14,2.14,1.93,1.96,0.94,66.0
2000-05-03,2.11,2.11,2.04,2.11,1.01,111.0
2000-05-04,2.11,2.11,2.01,2.04,0.98,103.0
2000-05-05,2.06,2.06,2.06,2.06,0.99,119.0
2000-05-08,2.06,2.06,1.98,1.98,0.95,167.0
2000-05-09,2.01,2.01,1.94,1.94,0.93,217.0
2000-05-10,1.86,2.06,1.86,2.06,0.99,52.0
2000-05-11,2.04,2.04,2.01,2.02,0.97,276.0
2000-05-12,1.96,2.01,1.96,2.01,0.96,28.0
2000-05-15,2.01,2.11,2.01,2.11,1.01,111.0
2000-05-16,2.09,2.09,2.01,2.01,0.96,676.0
2000-05-17,2.01,2.01,2.01,2.01,0.96,2.0
2000-05-18,1.92,1.92,1.91,1.91,0.92,125.0
2000-05-19,1.91,1.91,1.89,1.89,0.91,4.0
2000-05-22,1.89,1.9,1.81,1.81,0.87,428.0
2000-05-23,1.73,1.86,1.73,1.81,0.87,18.0
2000-05-24,1.81,1.86,1.79,1.81,0.87,839.0
2000-05-25,1.91,1.91,1.78,1.81,0.87,68.0
2000-05-26,1.91,1.91,1.86,1.87,0.9,131.0
2000-05-29,1.99,1.99,1.98,1.98,0.95,4.0
2000-05-30,2.06,2.06,1.99,2.05,0.98,354.0
2000-05-31,2.04,2.11,1.96,1.96,0.94,404.0
2000-06-01,2.07,2.07,2.01,2.01,0.96,38.0
2000-06-02,2.11,2.11,2.04,2.06,0.99,197.0
2000-06-05,2.06,2.06,2.01,2.01,0.96,90.0
2000-06-06,0.0,10.0,10.0,10.0,4.79,
2000-06-07,1.96,2.01,1.91,2.01,0.96,615.0
2000-06-08,2.01,2.01,1.89,1.9,0.91,495.0
2000-06-09,1.91,1.98,1.91,1.98,0.95,165.0
2000-06-12,1.91,1.94,1.91,1.94,0.93,539.0
2000-06-13,1.91,1.94,1.9,1.9,0.91,308.0
2000-06-14,1.91,1.91,1.89,1.89,0.9,199.0
2000-06-15,1.91,1.91,1.89,1.89,0.9,147.0
2000-06-16,1.91,1.91,1.84,1.85,0.88,625.0
2000-06-19,1.85,1.85,1.76,1.84,0.88,1078.0
2000-06-20,1.85,1.86,1.83,1.85,0.88,155.0
