Date,Open,High,Low,Close,Adj Close,Volume
2008-04-18,8.43,8.48,7.93,8.35,7.45,9943400.0
2008-04-22,8.25,8.52,8.06,8.15,7.27,6488400.0
2008-04-23,8.1,8.15,7.75,7.75,6.92,2655200.0
2008-04-24,7.64,7.97,7.5,7.75,6.92,1931000.0
2008-04-25,7.63,7.84,7.57,7.75,6.92,284400.0
2008-04-28,7.78,7.86,7.75,7.75,6.92,228000.0
2008-04-29,7.75,7.8,7.74,7.75,6.92,836800.0
2008-04-30,7.7,7.79,7.61,7.75,6.92,248000.0
2008-05-02,7.78,8.45,7.78,8.45,7.54,812400.0
2008-05-05,8.45,8.45,8.12,8.3,7.4,171200.0
2008-05-06,8.3,8.3,8.15,8.15,7.27,52400.0
2008-05-07,8.1,8.17,8.06,8.15,7.27,84000.0
2008-05-08,8.1,8.23,8.07,8.2,7.32,87800.0
2008-05-09,8.15,8.45,8.15,8.18,7.3,98000.0
2008-05-12,8.27,8.44,8.16,8.44,7.54,75200.0
2008-05-13,8.27,8.44,8.16,8.44,7.54,75200.0
2008-05-14,8.49,8.82,8.49,8.68,7.74,477200.0
2008-05-15,8.67,9.02,8.61,8.85,7.9,406800.0
2008-05-16,8.8,9.0,8.75,8.8,7.86,323400.0
2008-05-19,8.95,9.25,8.85,8.85,7.9,115600.0
2008-05-20,8.73,8.73,8.61,8.65,7.72,206800.0
2008-05-21,8.69,8.7,8.5,8.65,7.72,155600.0
2008-05-23,8.51,8.97,8.5,8.65,7.72,57000.0
2008-05-26,8.82,9.25,8.8,8.8,7.86,125200.0
2008-05-27,8.78,8.99,8.65,8.93,7.97,220600.0
2008-05-28,9.0,9.75,9.0,9.73,8.68,590600.0
2008-05-29,9.0,9.75,9.0,9.73,8.68,590600.0
2008-05-30,10.6,11.0,10.26,10.99,9.81,475800.0
2008-06-02,10.6,11.0,10.26,10.99,9.81,475800.0
2008-06-03,10.91,12.32,10.91,11.65,10.4,592800.0
2008-06-04,12.0,12.48,11.6,11.75,10.49,596400.0
2008-06-05,11.55,12.0,11.45,12.0,10.71,313800.0
2008-06-06,12.0,12.45,11.98,12.19,10.89,525400.0
2008-06-09,12.1,12.4,11.3,12.3,10.98,309800.0
2008-06-10,12.3,12.3,11.51,11.75,10.49,276800.0
2008-06-11,11.65,11.75,11.5,11.5,10.27,40800.0
2008-06-12,11.5,11.76,11.3,11.45,10.22,136000.0
2008-06-13,11.5,11.5,11.26,11.49,10.26,37000.0
2008-06-16,11.5,11.5,11.05,11.3,10.09,22000.0
2008-06-17,11.25,11.38,11.06,11.18,9.98,280200.0
2008-06-18,11.18,11.38,10.15,10.5,9.37,229000.0
2008-06-19,10.55,10.55,10.18,10.4,9.28,412600.0
2008-06-20,10.24,10.3,10.0,10.15,9.06,167200.0
2008-06-23,10.25,10.25,10.12,10.12,9.04,27000.0
2008-06-24,10.15,10.15,9.5,9.85,8.79,201400.0
2008-06-25,9.99,10.0,9.8,9.81,8.76,138400.0
2008-06-26,9.89,10.05,9.75,9.75,8.7,316800.0
2008-06-27,9.5,10.0,9.5,9.85,8.79,19800.0
2008-06-30,10.0,10.0,9.65,9.65,8.61,60200.0
2008-07-01,9.57,9.57,9.25,9.49,8.48,47000.0
2008-07-02,9.5,9.9,9.33,9.33,8.33,278600.0
2008-07-03,9.3,9.59,8.88,8.88,7.92,203800.0
2008-07-04,8.85,9.0,8.75,9.0,8.03,57600.0
2008-07-07,9.75,9.75,9.05,9.56,8.53,368400.0
2008-07-08,9.5,9.73,9.18,9.69,8.65,138800.0
2008-07-10,9.25,9.5,9.25,9.43,8.41,159400.0
2008-07-11,9.55,9.9,9.35,9.9,8.83,138000.0
2008-07-14,9.9,9.9,9.5,9.5,8.48,396600.0
2008-07-15,9.5,9.5,9.12,9.25,8.26,213000.0
2008-07-16,9.25,9.5,9.1,9.25,8.26,95200.0
2008-07-17,9.3,9.3,8.77,9.1,8.12,159800.0
2008-07-18,9.25,9.25,8.75,9.0,8.03,52600.0
2008-07-21,9.0,9.15,8.88,9.06,8.08,27000.0
2008-07-22,9.05,9.15,9.0,9.07,8.1,87200.0
2008-07-23,8.95,9.2,8.9,9.2,8.21,330200.0
2008-07-24,9.2,9.45,9.09,9.45,8.44,64200.0
2008-07-25,9.45,9.5,9.2,9.4,8.39,99200.0
2008-07-28,9.55,9.73,9.4,9.73,8.68,262200.0
2008-07-29,9.95,10.07,9.5,9.56,8.53,166000.0
2008-07-30,9.5,9.9,9.4,9.45,8.44,47000.0
2008-07-31,9.43,9.45,9.05,9.4,8.39,197200.0
2008-08-01,9.35,9.4,9.1,9.35,8.34,25600.0
2008-08-04,9.24,9.24,9.01,9.2,8.21,19800.0
2008-08-05,9.49,9.49,9.2,9.3,8.3,100800.0
2008-08-06,9.38,9.38,8.98,9.3,8.3,314800.0
2008-08-07,9.3,9.3,9.2,9.3,8.3,3200.0
2008-08-08,9.02,9.35,9.02,9.3,8.3,5800.0
2008-08-11,9.3,9.3,8.7,8.98,8.01,96200.0
2008-08-12,9.24,9.24,7.97,8.1,7.23,391000.0
2008-08-13,8.3,8.5,7.96,7.96,7.11,76400.0
2008-08-14,7.91,8.1,7.51,7.51,6.71,233800.0
2008-08-15,7.75,7.88,7.22,7.88,7.03,72800.0
2008-08-18,8.0,8.0,7.65,7.8,6.96,81000.0
2008-08-19,7.57,8.0,7.57,7.9,7.05,18600.0
2008-08-20,8.0,8.1,7.9,8.0,7.14,26200.0
2008-08-21,8.23,8.23,7.75,7.75,6.92,39200.0
2008-08-22,7.95,8.19,7.93,7.93,7.07,139000.0
2008-08-25,7.9,7.99,7.82,7.85,7.01,43800.0
2008-08-26,7.99,8.0,7.99,7.99,7.13,28800.0
2008-08-27,8.0,8.12,7.97,8.0,7.14,115600.0
2008-08-28,8.1,8.1,7.99,7.99,7.14,14400.0
2008-08-29,7.8,7.95,7.8,7.93,7.07,21200.0
2008-09-01,7.85,8.0,7.85,8.0,7.14,1000.0
2008-09-02,7.85,8.05,7.79,7.92,7.07,74000.0
2008-09-03,7.95,7.95,7.6,7.74,6.91,53000.0
2008-09-04,7.88,7.88,7.15,7.4,6.61,53800.0
2008-09-05,7.5,7.5,7.0,7.4,6.61,63400.0
2008-09-08,7.7,7.7,7.45,7.62,6.8,94000.0
2008-09-09,7.5,7.62,7.3,7.55,6.74,204000.0
2008-09-10,7.45,7.78,7.45,7.78,6.94,74000.0
2008-09-11,7.72,7.95,7.57,7.95,7.09,56200.0
2008-09-12,8.0,8.2,7.95,8.1,7.23,561800.0
2008-09-15,7.91,7.91,7.43,7.43,6.63,8000.0
2008-09-16,7.43,7.43,7.0,7.0,6.25,348200.0
2008-09-17,7.32,7.32,6.65,6.65,5.94,331000.0
2008-09-18,6.8,6.99,6.3,6.65,5.94,559000.0
2008-09-19,6.68,7.12,6.68,6.95,6.2,341600.0
2008-09-22,7.2,7.2,6.68,6.9,6.16,174200.0
2008-09-23,6.95,6.95,6.53,6.53,5.82,46200.0
2008-09-24,6.75,6.75,6.55,6.57,5.87,197200.0
2008-09-25,6.61,6.92,6.53,6.92,6.18,138400.0
2008-09-26,6.74,6.99,6.74,6.85,6.11,110800.0
2008-09-29,6.8,6.82,6.3,6.4,5.71,161000.0
2008-09-30,6.4,6.49,6.25,6.49,5.79,160200.0
2008-10-01,6.51,6.57,6.2,6.57,5.87,189400.0
2008-10-02,6.4,6.4,5.95,6.0,5.36,245200.0
2008-10-03,6.01,6.32,5.85,5.95,5.31,348400.0
2008-10-06,5.9,5.9,5.1,5.25,4.69,249400.0
2008-10-07,5.3,5.59,5.3,5.45,4.86,146200.0
