Date,Open,High,Low,Close,Adj Close,Volume
2007-02-07,16.75,17.23,16.48,16.78,12.89,14885048.0
2007-02-08,16.78,16.78,16.48,16.53,12.7,1974846.0
2007-02-09,16.54,16.58,16.41,16.41,12.61,1458301.0
2007-02-12,16.53,16.53,16.48,16.49,12.67,1156266.0
2007-02-13,16.49,16.7,16.48,16.5,12.68,634715.0
2007-02-14,16.51,16.73,16.48,16.73,12.85,1162275.0
2007-02-15,16.53,16.6,16.48,16.53,12.7,1153061.0
2007-02-16,16.52,16.7,16.03,16.7,12.83,580436.0
2007-02-21,16.48,16.63,16.23,16.5,12.68,173250.0
2007-02-22,16.62,16.98,16.5,16.68,12.82,315054.0
2007-02-23,16.95,17.23,16.68,17.21,13.22,122977.0
2007-02-26,17.23,17.47,16.88,17.47,13.43,345097.0
2007-02-27,17.23,17.47,16.88,17.23,13.23,345298.0
2007-02-28,16.54,16.54,15.73,15.98,12.28,1171688.0
2007-03-01,15.98,15.98,14.98,15.48,11.89,209902.0
2007-03-02,15.33,15.38,14.97,14.97,11.5,198085.0
2007-03-05,14.98,14.98,14.23,14.48,11.12,1313493.0
2007-03-06,14.83,15.47,14.83,15.15,11.64,845018.0
2007-03-07,15.63,15.97,15.03,15.39,11.82,320061.0
2007-03-08,15.41,15.67,15.4,15.48,11.89,332479.0
2007-03-09,15.41,15.67,15.4,15.48,11.89,332479.0
2007-03-12,15.53,15.7,15.48,15.53,11.93,22032.0
2007-03-13,15.98,15.98,15.31,15.31,11.76,128385.0
2007-03-14,15.47,15.48,15.25,15.43,11.85,232535.0
2007-03-15,15.35,15.35,15.17,15.17,11.66,78513.0
2007-03-16,15.48,15.48,14.85,14.85,11.41,634514.0
2007-03-19,15.23,15.48,14.98,15.1,11.6,267986.0
2007-03-20,15.3,15.47,14.48,14.98,11.51,357515.0
2007-03-21,15.1,15.18,14.99,15.13,11.62,291019.0
2007-03-22,15.14,15.18,15.0,15.03,11.55,43863.0
2007-03-23,15.03,15.19,14.63,14.98,11.51,424011.0
