Date,Open,High,Low,Close,Adj Close,Volume
2000-12-21,2.82,2.99,2.82,2.96,2.23,74224.0
2000-12-22,2.93,2.93,2.81,2.83,2.13,23336.0
2000-12-25,,,,,,
2000-12-26,2.82,2.83,2.79,2.83,2.13,7839.0
2000-12-27,2.88,2.93,2.83,2.93,2.2,27008.0
2000-12-28,2.91,3.13,2.86,3.06,2.3,77449.0
2000-12-29,,,,,,
2001-01-01,,,,,,
2001-01-02,2.91,2.98,2.91,2.96,2.23,47010787.0
2001-01-03,2.96,3.15,2.95,3.08,2.32,67061636.0
2001-01-04,3.1,3.15,3.1,3.13,2.35,82788267.0
2001-01-05,3.05,3.23,3.05,3.15,2.37,81568305.0
2001-01-08,3.11,3.15,3.08,3.08,2.32,32069280.0
2001-01-09,3.11,3.18,3.08,3.09,2.33,121066063.0
2001-01-10,3.09,3.13,3.08,3.12,2.35,110207199.0
2001-01-11,3.14,3.15,3.06,3.13,2.35,61589929.0
2001-01-12,3.13,3.13,3.05,3.08,2.32,49788917.0
2001-01-15,3.05,3.11,3.05,3.11,2.34,7959946.0
2001-01-16,3.11,3.15,3.1,3.13,2.35,26138577.0
2001-01-17,3.13,3.18,3.1,3.15,2.37,52977726.0
2001-01-18,3.15,3.26,3.15,3.26,2.45,141660460.0
2001-01-19,3.26,3.38,3.25,3.33,2.5,112526334.0
2001-01-22,3.33,3.33,3.19,3.21,2.42,39666861.0
2001-01-23,3.21,3.25,3.18,3.18,2.39,95181141.0
2001-01-24,3.23,3.23,3.09,3.09,2.33,72183058.0
2001-01-25,,,,,,
2001-01-26,3.1,3.21,3.1,3.18,2.39,105025383.0
2001-01-29,3.2,3.2,3.12,3.13,2.35,78053367.0
2001-01-30,3.16,3.16,3.08,3.08,2.32,150043164.0
2001-01-31,3.1,3.1,3.05,3.09,2.32,106813049.0
2001-02-01,3.12,3.12,3.01,3.03,2.28,58763484.0
2001-02-02,3.03,3.05,2.99,3.05,2.29,33832789.0
2001-02-05,3.03,3.03,2.96,2.97,2.24,11958037.0
2001-02-06,3.0,3.01,2.98,3.01,2.26,36043214.0
2001-02-07,3.0,3.0,2.93,2.95,2.22,61444983.0
2001-02-08,2.98,3.07,2.98,3.03,2.28,54137294.0
2001-02-09,3.05,3.05,2.98,2.98,2.24,36622997.0
2001-02-12,2.98,3.0,2.98,2.99,2.25,37589303.0
