Date,Open,High,Low,Close,Adj Close,Volume
2007-03-29,7.66,7.66,6.72,6.81,6.22,33864225.0
2007-03-30,6.81,7.48,6.29,7.21,6.57,13917019.0
2007-04-02,7.2,7.34,7.05,7.07,6.45,4416017.0
2007-04-03,7.24,7.39,7.05,7.29,6.65,1659497.0
2007-04-04,7.26,7.39,7.18,7.21,6.57,1744316.0
2007-04-05,7.21,7.27,7.17,7.27,6.64,529547.0
2007-04-09,7.21,7.39,7.21,7.28,6.64,943848.0
2007-04-10,7.27,7.29,7.21,7.22,6.58,781400.0
2007-04-11,7.13,7.26,7.0,7.14,6.51,1991376.0
2007-04-12,7.1,7.49,7.08,7.37,6.72,2888646.0
2007-04-13,7.39,7.58,7.31,7.38,6.73,2791219.0
2007-04-16,7.39,7.57,7.35,7.39,6.74,3338792.0
2007-04-17,7.48,7.48,7.32,7.43,6.78,1197681.0
2007-04-18,7.3,7.44,7.3,7.4,6.75,2099223.0
2007-04-19,7.39,7.49,7.16,7.41,6.76,1202474.0
2007-04-20,7.39,7.68,7.36,7.68,7.0,1432236.0
2007-04-23,7.59,7.68,7.5,7.58,6.92,885808.0
2007-04-24,7.52,7.63,7.52,7.53,6.87,1304069.0
2007-04-25,7.58,7.68,7.53,7.63,6.96,1085144.0
2007-04-26,7.58,7.63,7.4,7.4,6.75,1596977.0
2007-04-27,7.37,7.68,7.22,7.53,6.87,3645246.0
2007-04-30,7.49,7.59,7.49,7.49,6.83,452960.0
2007-05-02,7.5,7.63,7.49,7.53,6.87,1140058.0
2007-05-03,7.5,7.63,7.49,7.49,6.83,1143288.0
2007-05-04,7.53,7.64,7.38,7.55,6.89,1333350.0
2007-05-07,7.68,7.69,7.63,7.66,6.99,457961.0
2007-05-08,7.68,7.73,7.44,7.57,6.91,1449846.0
2007-05-09,7.66,7.73,7.44,7.57,6.91,1450367.0
2007-05-10,7.44,7.48,7.0,7.21,6.57,980318.0
2007-05-11,7.2,7.33,7.2,7.33,6.69,307808.0
2007-05-14,7.33,7.39,7.1,7.29,6.65,1007619.0
2007-05-15,7.25,7.37,7.21,7.29,6.65,977505.0
2007-05-16,7.27,7.34,7.07,7.24,6.6,421491.0
2007-05-17,7.19,7.24,6.92,7.24,6.6,1968764.0
2007-05-18,7.26,7.33,6.97,7.09,6.47,2267611.0
2007-05-21,7.05,7.09,6.75,6.81,6.22,2649715.0
