Date,Open,High,Low,Close,Adj Close,Volume
2002-03-25,0.34,0.34,0.14,0.14,0.06,
2002-03-26,0.34,0.34,0.14,0.14,0.06,
2002-03-27,0.22,0.22,0.22,0.22,0.09,5000.0
2002-03-28,0.22,0.22,0.22,0.22,0.09,
2002-03-29,0.22,0.22,0.22,0.22,0.09,
2002-04-01,0.22,0.22,0.22,0.22,0.09,
2002-04-02,0.22,0.22,0.22,0.22,0.09,
2002-04-03,0.22,0.22,0.22,0.22,0.09,
2002-04-04,0.22,0.22,0.22,0.22,0.09,
2002-04-05,0.22,0.22,0.22,0.22,0.09,
2002-04-08,0.22,0.22,0.22,0.22,0.09,
2002-04-09,0.22,0.22,0.22,0.22,0.09,
2002-04-10,0.22,0.22,0.22,0.22,0.09,
2002-04-11,0.22,0.22,0.22,0.22,0.09,
2002-04-12,0.24,0.24,0.24,0.24,0.1,15000.0
2002-04-15,0.24,0.24,0.24,0.24,0.1,
2002-04-16,0.24,0.24,0.24,0.24,0.1,
2002-04-17,0.24,0.24,0.24,0.24,0.1,
2002-04-18,0.24,0.24,0.24,0.24,0.1,
2002-04-19,0.24,0.24,0.24,0.24,0.1,
2002-04-22,0.24,0.24,0.24,0.24,0.1,
2002-04-23,0.24,0.24,0.24,0.24,0.1,
2002-04-24,0.24,0.24,0.24,0.24,0.1,
2002-04-25,0.24,0.24,0.24,0.24,0.1,
2002-04-26,0.24,0.24,0.24,0.24,0.1,
2002-04-29,0.24,0.24,0.24,0.24,0.1,
2002-04-30,0.24,0.24,0.24,0.24,0.1,
2002-05-01,0.24,0.24,0.24,0.24,0.1,
2002-05-02,0.24,0.24,0.24,0.24,0.1,
2002-05-03,0.24,0.24,0.24,0.24,0.1,
2002-05-06,0.24,0.24,0.24,0.24,0.1,
2002-05-07,0.24,0.24,0.24,0.24,0.1,
2002-05-08,0.24,0.24,0.24,0.24,0.1,
2002-05-09,0.24,0.24,0.24,0.24,0.1,
2002-05-10,0.24,0.24,0.24,0.24,0.1,
2002-05-13,0.24,0.24,0.24,0.24,0.1,
2002-05-14,0.24,0.24,0.24,0.24,0.1,
2002-05-15,0.24,0.24,0.24,0.24,0.1,
2002-05-16,0.24,0.24,0.24,0.24,0.1,
2002-05-17,0.24,0.24,0.24,0.24,0.1,
2002-05-20,0.24,0.24,0.24,0.24,0.1,
2002-05-21,0.24,0.24,0.24,0.24,0.1,
2002-05-22,0.24,0.24,0.24,0.24,0.1,
2002-05-23,0.24,0.24,0.24,0.24,0.1,
2002-05-24,0.24,0.24,0.24,0.24,0.1,
2002-05-27,0.24,0.24,0.24,0.24,0.1,
2002-05-28,0.24,0.24,0.24,0.24,0.1,
2002-05-29,0.24,0.24,0.24,0.24,0.1,
2002-05-30,0.24,0.24,0.24,0.24,0.1,
2002-05-31,0.24,0.24,0.24,0.24,0.1,
2002-06-03,0.24,0.24,0.24,0.24,0.1,
2002-06-04,0.24,0.24,0.24,0.24,0.1,
2002-06-05,0.24,0.24,0.24,0.24,0.1,
2002-06-06,0.24,0.24,0.24,0.24,0.1,
2002-06-07,0.24,0.24,0.24,0.24,0.1,
2002-06-10,0.24,0.24,0.24,0.24,0.1,
2002-06-11,0.24,0.24,0.24,0.24,0.1,
2002-06-12,0.24,0.24,0.24,0.24,0.1,
2002-06-13,0.24,0.24,0.24,0.24,0.1,
2002-06-14,0.24,0.24,0.24,0.24,0.1,
2002-06-17,0.24,0.24,0.24,0.24,0.1,
2002-06-18,0.24,0.24,0.24,0.24,0.1,
2002-06-19,0.24,0.24,0.24,0.24,0.1,
2002-06-20,0.24,0.24,0.24,0.24,0.1,
2002-06-21,0.24,0.24,0.24,0.24,0.1,
2002-06-24,0.24,0.24,0.24,0.24,0.1,
2002-06-25,0.24,0.24,0.24,0.24,0.1,
2002-06-26,0.24,0.24,0.24,0.24,0.1,
2002-06-27,0.24,0.24,0.24,0.24,0.1,
2002-06-28,0.24,0.24,0.24,0.24,0.1,
2002-07-01,0.24,0.24,0.24,0.24,0.1,
