Date,Open,High,Low,Close,Adj Close,Volume
2012-03-14,2.84,2.84,2.84,2.84,2.03,686.0
2012-03-15,2.84,2.84,2.84,2.84,2.03,
2012-03-16,2.84,2.84,2.84,2.84,2.03,5371.0
2012-03-19,2.84,2.84,2.84,2.84,2.03,
2012-03-20,2.84,2.84,2.84,2.84,2.03,
2012-03-21,2.84,2.84,2.84,2.84,2.03,
2012-03-22,2.84,2.84,2.84,2.84,2.03,
2012-03-23,2.84,2.84,2.84,2.84,2.03,
2012-03-26,2.84,2.84,2.84,2.84,2.03,
2012-03-27,2.84,2.84,2.84,2.84,2.03,
2012-03-28,2.84,2.84,2.84,2.84,2.03,
2012-03-29,2.84,2.84,2.84,2.84,2.03,15086.0
2012-03-30,2.84,2.84,2.84,2.84,2.03,
2012-04-02,2.84,2.84,2.84,2.84,2.03,
2012-04-03,2.84,2.84,2.84,2.84,2.03,
2012-04-04,2.84,2.84,2.84,2.84,2.03,
2012-04-05,2.84,2.84,2.84,2.84,2.03,
2012-04-09,2.84,2.84,2.84,2.84,2.03,
2012-04-10,2.84,2.84,2.84,2.84,2.03,
2012-04-11,2.84,2.84,2.84,2.84,2.03,
2012-04-12,2.84,2.84,2.84,2.84,2.03,
2012-04-13,2.84,2.84,2.84,2.84,2.03,
2012-04-16,2.84,2.84,2.84,2.84,2.03,
2012-04-17,2.84,2.84,2.84,2.84,2.03,
2012-04-18,2.84,2.84,2.84,2.84,2.03,
2012-04-19,2.84,2.84,2.84,2.84,2.03,
2012-04-20,2.84,2.84,2.84,2.84,2.03,
2012-04-23,2.84,2.84,2.84,2.84,2.03,
2012-04-24,2.84,2.84,2.84,2.84,2.03,
2012-04-25,2.84,2.84,2.84,2.84,2.03,
2012-04-26,2.84,2.84,2.84,2.84,2.03,
2012-04-27,2.84,2.84,2.84,2.84,2.03,
2012-04-30,2.84,2.84,2.84,2.84,2.03,
2012-05-02,2.84,2.84,2.84,2.84,2.03,
2012-05-03,2.84,2.84,2.84,2.84,2.03,
2012-05-04,2.84,2.84,2.84,2.84,2.03,
2012-05-07,2.84,2.84,2.84,2.84,2.03,
2012-05-08,2.84,2.84,2.84,2.84,2.03,
2012-05-09,2.84,2.84,2.84,2.84,2.03,
2012-05-10,2.84,2.84,2.84,2.84,2.03,
2012-05-11,2.84,2.84,2.84,2.84,2.03,
2012-05-14,2.84,2.84,2.84,2.84,2.03,
2012-05-15,2.84,2.84,2.84,2.84,2.03,
2012-05-16,2.84,2.84,2.84,2.84,2.03,
2012-05-17,2.84,2.84,2.84,2.84,2.03,
2012-05-18,2.84,2.84,2.84,2.84,2.03,
2012-05-21,2.84,2.84,2.84,2.84,2.03,
2012-05-22,2.84,2.84,2.84,2.84,2.03,
2012-05-23,2.84,2.84,2.84,2.84,2.03,
2012-05-24,2.84,2.84,2.84,2.84,2.03,
2012-05-25,2.84,2.84,2.84,2.84,2.03,
2012-05-28,2.84,2.84,2.84,2.84,2.03,
2012-05-29,2.84,2.84,2.84,2.84,2.03,
2012-05-30,2.84,2.84,2.84,2.84,2.03,
2012-05-31,2.84,2.84,2.84,2.84,2.03,
2012-06-01,2.01,2.02,2.01,2.02,1.45,229.0
2012-06-04,2.02,2.02,2.02,2.02,1.45,
2012-06-05,2.02,2.02,2.02,2.02,1.45,
2012-06-06,2.02,2.02,2.02,2.02,1.45,
2012-06-08,1.92,1.92,1.92,1.92,1.38,4571.0
2012-06-11,1.92,1.92,1.92,1.92,1.38,
2012-06-12,1.92,1.92,1.92,1.92,1.38,
2012-06-13,1.92,1.92,1.92,1.92,1.38,
2012-06-14,1.92,1.92,1.92,1.92,1.38,
2012-06-15,1.92,1.92,1.92,1.92,1.38,
2012-06-18,1.92,1.92,1.92,1.92,1.38,
2012-06-19,1.92,1.92,1.92,1.92,1.38,
2012-06-20,1.92,1.92,1.92,1.92,1.38,
2012-06-21,1.92,1.92,1.92,1.92,1.38,2514.0
2012-06-22,1.92,1.92,1.92,1.92,1.38,229.0
2012-06-25,1.92,1.92,1.92,1.92,1.38,4000.0
2012-06-26,1.92,1.92,1.92,1.92,1.38,114.0
2012-06-27,1.92,1.92,1.92,1.92,1.38,
2012-06-28,1.92,1.92,1.92,1.92,1.38,
2012-06-29,1.92,1.92,1.92,1.92,1.38,
2012-07-02,1.92,1.92,1.92,1.92,1.38,
2012-07-03,1.92,1.92,1.92,1.92,1.38,
2012-07-04,1.92,1.92,1.92,1.92,1.38,4229.0
2012-07-05,1.92,1.92,1.92,1.92,1.38,
2012-07-06,1.92,1.92,1.92,1.92,1.38,
2012-07-10,1.92,1.92,1.92,1.92,1.38,
2012-07-11,1.92,1.92,1.92,1.92,1.38,
2012-07-12,1.75,1.92,1.75,1.92,1.38,3200.0
2012-07-13,1.92,1.92,1.92,1.92,1.38,
2012-07-16,1.92,1.92,1.92,1.92,1.38,
2012-07-17,1.92,1.92,1.92,1.92,1.38,
2012-07-18,1.92,1.92,1.92,1.92,1.38,
2012-07-19,1.92,1.92,1.92,1.92,1.38,
2012-07-20,1.92,1.92,1.92,1.92,1.38,
2012-07-23,1.92,1.92,1.92,1.92,1.38,
2012-07-24,1.92,1.92,1.92,1.92,1.38,
2012-07-25,1.92,1.92,1.92,1.92,1.38,
2012-07-26,1.92,1.92,1.92,1.92,1.38,
2012-07-27,1.92,1.92,1.92,1.92,1.38,
2012-07-30,1.92,1.92,1.92,1.92,1.38,
2012-07-31,1.75,1.75,1.75,1.75,1.25,359.0
2012-08-01,1.75,1.75,1.75,1.75,1.25,
2012-08-02,1.75,1.75,1.75,1.75,1.25,
2012-08-03,1.75,1.75,1.75,1.75,1.25,
2012-08-06,1.75,1.75,1.75,1.75,1.25,
2012-08-07,1.75,1.75,1.75,1.75,1.25,
2012-08-08,1.75,1.75,1.75,1.75,1.25,
2012-08-09,1.75,1.75,1.75,1.75,1.25,
2012-08-10,1.75,1.75,1.75,1.75,1.25,
2012-08-13,1.75,1.75,1.75,1.75,1.25,
2012-08-14,1.76,1.92,1.76,1.92,1.38,33.0
2012-08-15,1.92,1.92,1.92,1.92,1.38,
2012-08-16,1.92,1.92,1.92,1.92,1.38,
2012-08-17,1.92,1.92,1.92,1.92,1.38,
2012-08-20,1.92,1.92,1.92,1.92,1.38,
2012-08-21,1.92,1.92,1.92,1.92,1.38,
2012-08-22,1.92,1.92,1.92,1.92,1.38,
2012-08-23,1.92,1.92,1.92,1.92,1.38,
2012-08-24,1.92,1.92,1.92,1.92,1.38,
2012-08-27,1.92,1.92,1.92,1.92,1.38,
2012-08-28,1.92,1.92,1.92,1.92,1.38,
2012-08-29,1.92,1.92,1.92,1.92,1.38,
2012-08-30,1.92,1.92,1.92,1.92,1.38,
2012-08-31,1.92,1.92,1.92,1.92,1.38,
