Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,448.22,466.64,429.8,438.39,404.35,4070071.0
2000-01-04,429.8,442.08,417.52,417.52,385.09,2529340.0
2000-01-05,417.52,429.8,392.96,411.38,379.43,2500023.0
2000-01-06,408.31,423.66,399.1,423.66,390.76,2675921.0
2000-01-07,423.66,444.53,423.66,429.8,396.42,1755717.0
2000-01-10,448.22,460.5,435.94,446.99,412.28,2946282.0
2000-01-11,454.36,454.36,417.52,417.52,385.09,7317658.0
2000-01-12,417.52,457.43,392.96,457.43,421.9,6123836.0
2000-01-13,458.04,460.5,442.08,460.5,424.73,1154734.0
2000-01-14,478.92,521.9,453.74,469.71,433.23,2954425.0
2000-01-17,491.81,521.9,485.05,521.9,481.37,4960958.0
2000-01-18,534.17,552.59,521.9,552.59,509.68,4943043.0
2000-01-19,552.59,583.29,540.32,540.32,498.36,2653119.0
2000-01-20,546.46,598.64,546.46,589.43,543.66,3040745.0
2000-01-21,595.57,687.67,589.43,669.25,617.28,21089774.0
2000-01-24,663.11,699.95,644.69,673.55,621.25,17783554.0
2000-01-25,673.55,673.55,673.55,673.55,621.25,
2000-01-26,675.39,675.39,644.69,663.11,611.62,2421847.0
2000-01-27,678.46,678.46,638.55,651.45,600.86,1236168.0
2000-01-28,653.9,663.11,631.8,635.48,586.13,858314.0
2000-01-31,641.62,641.62,604.78,604.78,557.82,1013039.0
2000-02-01,604.78,644.69,604.78,607.85,560.65,3309477.0
2000-02-02,644.69,653.9,629.34,632.41,583.3,234530.0
2000-02-03,638.55,650.83,638.55,641.62,591.8,9045687.0
2000-02-04,638.55,644.08,635.48,638.55,588.97,583067.0
2000-02-07,647.76,647.76,636.1,636.1,586.7,286648.0
2000-02-08,636.1,649.61,552.59,592.5,546.49,3242701.0
2000-02-09,632.41,644.69,613.99,614.61,566.88,2819245.0
2000-02-10,613.99,620.13,601.71,613.99,566.31,2570057.0
2000-02-11,613.99,626.27,601.71,613.38,565.75,3972350.0
2000-02-14,601.71,613.99,601.71,601.71,554.99,1413694.0
2000-02-15,613.99,613.99,567.95,571.02,526.67,573295.0
2000-02-16,564.88,565.49,543.39,546.46,504.02,6500061.0
2000-02-17,564.26,564.26,534.17,544.0,501.75,2980484.0
2000-02-18,552.59,564.88,534.17,546.46,504.02,2061909.0
2000-02-21,534.17,564.88,534.17,551.98,509.12,337137.0
2000-02-22,552.59,601.71,540.32,551.37,508.55,1732915.0
2000-02-23,528.03,540.32,528.03,540.32,498.36,1368091.0
2000-02-24,534.17,534.17,494.27,521.9,481.37,651472.0
2000-02-25,528.03,534.17,511.46,534.17,492.69,8952853.0
2000-02-28,521.9,521.9,500.4,500.4,461.54,47232.0
2000-02-29,534.17,552.59,509.61,520.67,480.23,172640.0
2000-03-01,549.53,552.59,521.28,521.28,480.8,1076557.0
2000-03-02,509.61,509.61,481.99,491.2,453.05,1802948.0
2000-03-03,509.61,521.9,509.0,521.9,481.37,3035859.0
2000-03-06,521.9,521.9,521.9,521.9,481.37,
2000-03-07,521.9,521.9,521.9,521.9,481.37,
2000-03-08,515.76,521.9,503.48,521.9,481.37,684045.0
2000-03-09,521.9,521.9,509.61,515.14,475.14,1345289.0
2000-03-10,515.76,515.76,506.55,506.55,467.21,1884382.0
2000-03-13,506.55,506.55,506.55,506.55,467.21,
2000-03-14,515.76,546.46,497.33,503.48,464.38,156353.0
2000-03-15,503.48,503.48,491.2,503.48,464.38,6796481.0
2000-03-16,509.61,509.61,497.33,503.48,464.38,364824.0
2000-03-17,521.9,521.9,485.05,497.33,458.71,1449525.0
2000-03-20,497.33,506.55,497.33,506.55,467.21,1402293.0
2000-03-21,512.68,546.46,512.68,546.46,504.02,1319231.0
2000-03-22,551.98,558.12,522.51,534.17,492.69,400655.0
2000-03-23,534.17,552.59,491.2,540.32,498.36,6092891.0
2000-03-24,540.32,540.32,497.95,533.56,492.13,1118903.0
2000-03-27,533.56,540.32,521.9,539.09,497.22,1879496.0
2000-03-28,537.24,537.24,509.61,527.42,486.46,890888.0
2000-03-29,524.97,527.42,509.61,509.61,470.04,729649.0
2000-03-30,512.68,515.76,512.68,515.76,475.7,1048870.0
2000-03-31,521.9,528.03,515.76,528.03,487.03,853428.0
2000-04-03,528.03,528.03,518.83,519.44,479.1,1322488.0
2000-04-04,513.3,513.3,461.11,481.99,444.56,1451154.0
2000-04-05,478.92,491.2,442.08,491.2,453.05,423457.0
2000-04-06,491.2,540.32,491.2,507.77,468.34,224758.0
2000-04-07,508.39,518.83,503.48,518.83,478.53,302934.0
2000-04-10,509.0,509.61,503.48,503.48,464.38,379482.0
2000-04-11,491.2,491.81,478.92,487.51,449.65,644957.0
2000-04-12,491.2,491.2,484.44,485.05,447.39,58632.0
2000-04-13,462.34,466.02,417.52,463.57,427.57,104236.0
2000-04-14,463.57,485.05,429.8,429.8,396.42,363196.0
2000-04-17,399.1,429.8,386.82,429.8,396.42,951149.0
2000-04-18,442.08,442.08,423.66,435.94,402.08,81434.0
2000-04-19,429.8,429.8,411.38,423.66,390.76,156353.0
2000-04-20,423.66,442.08,417.52,429.18,395.85,579810.0
2000-04-21,429.18,429.18,429.18,429.18,395.85,
2000-04-24,429.18,429.18,426.73,426.73,393.59,288276.0
2000-04-25,429.8,435.94,411.38,435.94,402.08,664501.0
2000-04-26,429.8,429.8,399.1,420.59,387.92,491861.0
2000-04-27,419.97,420.59,419.97,420.59,387.92,283390.0
2000-04-28,429.8,429.8,384.97,413.83,381.69,1026068.0
2000-05-01,413.83,413.83,413.83,413.83,381.69,
2000-05-02,405.24,405.24,387.43,392.96,362.44,695446.0
2000-05-03,380.68,380.68,368.4,368.4,339.79,853428.0
2000-05-04,398.48,398.48,369.01,386.2,356.21,218243.0
2000-05-05,383.75,392.96,383.75,391.11,360.74,79805.0
2000-05-08,391.11,391.11,391.11,391.11,360.74,
2000-05-09,382.52,383.75,380.68,383.75,353.95,57004.0
2000-05-10,380.68,380.68,368.4,379.45,349.98,29316.0
2000-05-11,373.92,374.54,359.19,374.54,345.45,117265.0
2000-05-12,368.4,368.4,368.4,368.4,339.79,73291.0
2000-05-15,368.4,368.4,368.4,368.4,339.79,19544.0
2000-05-16,358.57,368.4,358.57,368.4,339.79,55375.0
2000-05-17,357.96,357.96,337.7,340.15,313.74,47232.0
2000-05-18,357.96,357.96,337.08,352.43,325.06,70033.0
2000-05-19,307.0,331.56,303.93,303.93,280.32,1470698.0
2000-05-22,288.58,288.58,282.44,282.44,260.5,1428352.0
2000-05-23,282.44,282.44,260.95,264.02,243.51,894145.0
2000-05-24,257.88,260.95,242.53,254.81,235.02,1758974.0
2000-05-25,251.74,257.88,242.53,245.6,226.53,6205270.0
2000-05-26,257.26,257.26,245.6,250.51,231.06,599354.0
2000-05-29,237.62,266.47,237.62,257.88,237.85,454402.0
2000-05-30,264.02,270.16,257.26,257.26,237.29,2301324.0
2000-05-31,257.88,257.88,236.39,244.37,225.39,2403931.0
2000-06-01,251.74,294.72,248.67,288.58,266.17,19697253.0
2000-06-02,303.93,328.49,288.58,294.72,271.83,14487106.0
2000-06-05,313.14,313.14,271.39,281.82,259.94,4329031.0
2000-06-06,281.82,281.82,281.82,281.82,259.94,
2000-06-07,288.58,306.38,270.16,306.38,282.59,3943034.0
2000-06-08,307.0,322.35,289.8,295.33,272.4,4524472.0
2000-06-09,295.33,295.33,277.52,277.52,255.97,773623.0
2000-06-12,282.44,288.58,278.14,278.14,256.54,258960.0
2000-06-13,276.91,297.17,276.3,288.58,266.17,757336.0
2000-06-14,300.24,313.14,291.65,294.72,271.83,5537511.0
2000-06-15,306.38,306.38,295.95,306.38,282.59,4084729.0
2000-06-16,310.07,328.49,310.07,324.8,299.58,13518042.0
2000-06-19,320.51,353.05,320.51,346.29,319.4,23987195.0
2000-06-20,356.12,365.33,341.38,343.22,316.57,8565227.0
2000-06-21,354.89,358.57,325.42,330.94,305.24,11487078.0
2000-06-22,330.94,330.94,330.94,330.94,305.24,
2000-06-23,325.42,331.56,317.43,322.96,297.88,1169392.0
2000-06-26,322.96,330.94,321.73,322.96,297.88,3299705.0
2000-06-27,325.42,346.91,322.96,332.79,306.94,6977264.0
2000-06-28,349.98,356.12,341.38,349.98,322.8,6649899.0
2000-06-29,353.05,372.08,346.29,372.08,343.19,9591295.0
2000-06-30,392.96,392.96,365.33,365.33,336.96,8602686.0
2000-07-03,386.82,386.82,344.45,365.94,337.52,10250910.0
2000-07-04,369.01,371.47,363.48,368.4,339.79,3063547.0
2000-07-05,370.85,370.85,356.12,364.71,336.39,2503281.0
2000-07-06,365.33,367.78,349.98,358.57,330.73,2293181.0
2000-07-07,362.26,368.4,359.19,364.71,336.39,4096130.0
2000-07-10,371.47,383.75,362.87,365.94,337.52,12255815.0
2000-07-11,369.01,370.24,345.68,346.91,319.97,4869752.0
2000-07-12,354.89,359.8,340.77,343.84,317.14,2721524.0
2000-07-13,340.77,349.36,331.56,340.77,314.3,1903927.0
2000-07-14,337.7,348.75,327.26,348.75,321.67,1856695.0
2000-07-17,347.52,360.42,345.68,359.19,331.29,3213385.0
2000-07-18,356.12,361.03,348.14,349.36,322.23,2438134.0
2000-07-19,344.45,348.14,335.24,337.7,311.47,5356728.0
2000-07-20,349.98,349.98,333.4,339.54,313.17,1438124.0
2000-07-21,334.63,349.36,328.49,340.15,313.74,3009800.0
2000-07-24,337.7,337.7,309.45,321.73,296.75,7237853.0
2000-07-25,325.42,325.42,311.3,311.3,287.12,1918585.0
2000-07-26,322.35,322.35,303.93,307.0,283.16,3758993.0
2000-07-27,307.0,310.07,299.02,305.77,282.02,1291543.0
2000-07-28,305.77,306.38,292.26,294.72,271.83,2004905.0
2000-07-31,294.72,303.93,288.58,291.65,269.0,2192203.0
2000-08-01,288.58,288.58,273.23,281.21,259.37,2842046.0
2000-08-02,285.51,297.79,270.77,297.79,274.66,6488660.0
2000-08-03,297.17,319.28,282.44,300.86,277.49,6868142.0
2000-08-04,311.3,311.3,300.86,304.54,280.89,4340431.0
2000-08-07,313.14,314.36,283.05,295.95,272.96,3291562.0
2000-08-08,294.72,297.79,282.44,282.44,260.5,2143343.0
2000-08-09,287.35,304.54,286.12,300.86,277.49,5830673.0
2000-08-10,300.86,313.14,297.79,305.77,282.02,3675930.0
2000-08-11,310.07,340.15,304.54,337.7,311.47,28216876.0
2000-08-14,349.98,353.05,334.63,341.99,315.44,16506669.0
2000-08-15,344.45,346.29,322.35,327.87,302.41,7895839.0
2000-08-16,322.35,331.56,315.59,322.35,297.31,2350185.0
2000-08-17,321.73,334.63,319.28,326.03,300.71,3167782.0
2000-08-18,326.03,326.03,311.91,312.52,288.25,2319240.0
2000-08-21,318.05,328.49,307.0,310.07,285.99,1050498.0
2000-08-22,316.21,319.28,303.93,310.07,285.99,2122170.0
2000-08-23,310.07,313.14,300.86,305.77,282.02,1765489.0
2000-08-24,311.3,311.3,297.79,303.31,279.76,1555389.0
2000-08-25,307.0,316.21,303.93,307.0,283.16,969064.0
2000-08-28,319.28,319.28,307.61,309.45,285.42,907175.0
2000-08-29,316.82,321.12,310.07,316.82,292.22,853428.0
2000-08-30,316.21,319.89,307.61,319.28,294.48,1081443.0
2000-08-31,316.21,319.28,307.61,316.21,291.65,429971.0
2000-09-01,311.3,316.21,307.0,316.21,291.65,553751.0
2000-09-04,318.05,334.63,318.05,323.58,298.45,2855076.0
2000-09-05,327.26,327.26,313.75,319.28,294.48,2413703.0
2000-09-06,319.28,328.49,311.3,315.59,291.08,2136828.0
2000-09-07,315.59,315.59,315.59,315.59,291.08,
2000-09-08,315.59,318.66,307.0,314.36,289.95,1123789.0
2000-09-11,314.36,314.36,303.93,303.93,280.32,1920213.0
2000-09-12,316.21,316.21,304.54,304.54,280.89,2260607.0
2000-09-13,310.07,310.07,303.93,307.0,283.16,894145.0
2000-09-14,307.61,312.52,300.86,310.07,285.99,1187308.0
2000-09-15,307.0,307.0,299.02,305.77,282.02,1013039.0
2000-09-18,300.86,303.93,282.44,289.8,267.3,1631937.0
2000-09-19,291.65,300.86,291.65,300.86,277.49,1772004.0
2000-09-20,294.72,297.79,288.58,291.03,268.43,776880.0
2000-09-21,297.79,303.93,294.72,300.86,277.49,903917.0
2000-09-22,294.72,310.07,291.65,307.0,283.16,1587963.0
2000-09-25,309.45,322.35,309.45,318.05,293.35,2596115.0
2000-09-26,310.07,325.42,307.61,308.84,284.86,4690598.0
2000-09-27,310.68,319.28,304.54,310.07,285.99,2473965.0
2000-09-28,310.07,312.52,304.54,310.07,285.99,149839.0
2000-09-29,307.0,307.0,299.63,300.86,277.49,447887.0
2000-10-02,311.91,311.91,285.51,289.8,267.3,1793176.0
2000-10-03,294.72,305.15,290.42,298.4,275.23,1682426.0
2000-10-04,297.79,311.3,297.79,311.3,287.12,1657996.0
2000-10-05,311.3,311.3,311.3,311.3,287.12,
2000-10-06,318.05,318.05,297.79,306.38,282.59,1074929.0
2000-10-09,303.93,307.0,297.79,307.0,283.16,1180793.0
2000-10-10,305.15,310.07,295.95,300.86,277.49,889259.0
2000-10-11,297.79,300.24,297.79,300.24,276.93,793167.0
2000-10-12,300.24,300.24,300.24,300.24,276.93,
2000-10-13,300.24,300.24,285.51,288.58,266.17,1428352.0
2000-10-16,290.42,297.17,282.44,287.35,265.03,545608.0
2000-10-17,291.03,294.72,281.21,285.51,263.34,1814349.0
2000-10-18,282.44,282.44,270.16,281.82,259.94,1364834.0
2000-10-19,287.96,300.86,277.52,286.73,264.47,1343661.0
2000-10-20,285.51,288.58,276.3,281.82,259.94,563523.0
2000-10-23,276.3,276.3,264.02,264.02,243.51,758965.0
2000-10-24,264.02,264.02,264.02,264.02,243.51,
2000-10-25,267.09,267.7,262.18,267.7,246.91,1017925.0
2000-10-26,264.02,264.02,251.74,264.02,243.51,657987.0
2000-10-27,268.93,275.07,264.02,271.39,250.31,1182421.0
2000-10-30,270.16,275.07,269.54,273.84,252.58,1770375.0
2000-10-31,276.3,279.37,270.16,278.75,257.11,1506529.0
2000-11-01,276.3,276.3,267.7,271.39,250.31,1298058.0
