Date,Open,High,Low,Close,Adj Close,Volume
2011-05-02,16.1,16.6,16.1,16.45,14.79,8750100.0
2011-05-03,16.5,16.69,16.2,16.3,14.65,1052200.0
2011-05-04,16.32,16.48,16.32,16.48,14.82,1225100.0
2011-05-05,16.41,16.41,16.32,16.38,14.73,1096800.0
2011-05-06,16.35,16.38,16.0,16.26,14.62,1208500.0
2011-05-09,16.21,16.25,16.04,16.1,14.47,20865.0
2011-05-10,,,,,,
2011-05-11,16.25,16.5,16.25,16.4,14.74,195000.0
2011-05-12,16.22,16.42,16.2,16.42,14.76,230000.0
2011-05-13,16.4,16.4,16.24,16.35,14.7,220200.0
2011-05-16,,,,,,
2011-05-17,16.1,16.15,16.02,16.1,14.47,172900.0
2011-05-18,16.05,16.13,15.77,15.8,14.2,695700.0
2011-05-19,15.8,15.98,15.76,15.83,14.23,442600.0
2011-05-20,15.81,15.99,15.51,15.94,14.33,328700.0
2011-05-23,15.76,15.88,15.55,15.88,14.28,273500.0
2011-05-24,15.95,16.0,15.51,15.67,14.09,1048100.0
2011-05-25,15.65,15.65,15.19,15.2,13.67,580300.0
2011-05-26,15.18,15.75,15.18,15.73,14.14,369200.0
2011-05-27,15.59,15.9,15.52,15.8,14.2,519700.0
2011-05-30,15.6,15.98,15.6,15.95,14.34,145700.0
2011-05-31,16.0,16.0,15.65,16.0,14.38,1124400.0
2011-06-01,15.87,16.27,15.78,16.2,14.56,439400.0
2011-06-02,16.0,16.5,16.0,16.4,14.74,433300.0
2011-06-03,16.2,16.7,16.2,16.7,15.01,405300.0
2011-06-06,16.57,16.82,16.46,16.7,15.01,326300.0
2011-06-07,16.6,16.77,16.42,16.69,15.0,592500.0
2011-06-08,16.67,16.68,16.43,16.58,14.91,327300.0
2011-06-09,16.51,17.27,16.5,17.1,15.37,1129000.0
2011-06-10,16.95,17.15,16.62,17.15,15.42,463900.0
2011-06-13,17.15,17.76,17.1,17.3,15.55,824000.0
2011-06-14,17.4,17.55,16.67,17.12,15.39,616800.0
2011-06-15,17.1,17.1,16.72,16.89,15.18,480600.0
2011-06-16,16.5,16.87,15.99,16.8,15.1,599900.0
2011-06-17,16.7,16.74,16.05,16.5,14.83,237200.0
2011-06-20,16.33,16.4,16.03,16.2,14.56,239800.0
2011-06-21,16.1,16.68,16.09,16.6,14.92,186300.0
2011-06-22,16.36,16.68,16.24,16.25,14.61,325800.0
2011-06-24,16.38,16.63,16.11,16.2,14.56,188000.0
2011-06-27,16.47,16.47,15.82,16.0,14.38,293900.0
2011-06-28,16.01,16.24,15.93,16.24,14.6,314600.0
2011-06-29,16.2,16.42,16.08,16.42,14.76,295300.0
2011-06-30,16.26,16.37,16.0,16.25,14.61,532100.0
2011-07-01,16.29,16.3,15.9,16.2,14.56,604200.0
2011-07-04,16.14,16.4,16.02,16.4,14.74,251900.0
2011-07-05,16.5,16.87,16.45,16.77,15.08,1276700.0
2011-07-06,16.76,16.78,16.6,16.7,15.01,481000.0
2011-07-07,16.74,16.9,16.4,16.4,14.74,342800.0
2011-07-08,16.39,16.4,16.01,16.3,14.65,533700.0
2011-07-11,16.1,16.28,15.51,15.55,13.98,564300.0
2011-07-12,15.56,16.0,15.25,15.95,14.34,429300.0
2011-07-13,15.97,15.98,15.35,15.75,14.16,479200.0
2011-07-14,15.55,15.7,15.0,15.0,13.49,388100.0
2011-07-15,15.11,15.16,14.34,14.5,13.04,387000.0
2011-07-18,14.57,14.58,13.85,13.87,12.47,411800.0
2011-07-19,13.99,14.88,13.89,14.8,13.31,616000.0
2011-07-20,14.89,15.03,14.31,14.31,12.87,293000.0
2011-07-21,14.49,14.55,14.09,14.34,12.89,277400.0
2011-07-22,14.36,14.9,14.31,14.9,13.4,393600.0
2011-07-25,14.35,15.3,14.35,14.53,13.06,3422.0
2011-07-26,14.75,15.44,14.6,15.44,13.88,386300.0
2011-07-27,15.3,15.3,14.56,14.94,13.43,347300.0
2011-07-28,14.98,15.0,14.15,14.15,12.72,695600.0
2011-07-29,14.25,14.25,13.64,13.75,12.36,1959.0
2011-08-01,14.0,14.25,13.48,13.99,12.58,262300.0
2011-08-02,13.99,14.14,13.74,13.98,12.57,293400.0
2011-08-03,13.85,14.04,12.68,13.45,12.09,528000.0
2011-08-04,13.0,13.0,12.23,12.3,11.06,444700.0
2011-08-05,12.0,12.55,11.11,11.84,10.64,685000.0
2011-08-08,10.6,11.32,10.6,11.0,9.89,402500.0
2011-08-09,11.03,11.43,10.43,11.2,10.07,901500.0
2011-08-10,10.95,11.25,10.69,11.25,10.11,851900.0
2011-08-11,11.24,12.49,11.11,12.49,11.23,502600.0
2011-08-12,12.48,13.24,12.09,13.19,11.86,478400.0
2011-08-15,12.91,13.49,12.91,13.38,12.03,245600.0
2011-08-16,13.05,13.3,12.53,13.14,11.81,262800.0
2011-08-17,13.14,13.38,13.01,13.22,11.89,298600.0
2011-08-18,12.99,13.27,12.06,13.27,11.93,290800.0
2011-08-19,12.93,13.21,12.69,12.84,11.54,526000.0
2011-08-22,12.86,13.14,12.57,12.78,11.49,235400.0
