Date,Open,High,Low,Close,Adj Close,Volume
2007-07-23,10.33,10.4,10.05,10.23,7.32,34998000.0
2007-07-24,10.27,11.03,10.03,10.83,7.75,7661400.0
2007-07-25,10.8,11.17,10.48,10.53,7.54,5696700.0
2007-07-26,10.34,10.75,10.0,10.5,7.51,4965900.0
2007-07-27,10.5,10.63,10.2,10.33,7.39,1446900.0
2007-07-30,10.5,10.5,10.0,10.4,7.44,2464800.0
2007-07-31,10.34,10.34,10.03,10.27,7.34,4658700.0
2007-08-01,10.13,10.27,10.0,10.27,7.34,2775900.0
2007-08-02,10.27,10.57,10.13,10.57,7.56,1257600.0
2007-08-03,10.4,10.53,10.17,10.17,7.28,378900.0
2007-08-06,10.17,10.2,10.04,10.04,7.19,1626900.0
2007-08-07,10.15,10.17,9.97,10.1,7.23,892200.0
2007-08-08,10.22,10.33,10.17,10.22,7.31,1025700.0
2007-08-09,10.1,10.13,9.88,10.0,7.15,2956500.0
2007-08-10,9.7,9.92,9.67,9.67,6.92,2815200.0
2007-08-13,9.7,10.38,9.7,10.02,7.17,1466400.0
2007-08-14,10.03,10.31,10.0,10.0,7.15,3786300.0
2007-08-15,9.72,10.18,9.67,9.67,6.92,5741700.0
2007-08-16,9.07,9.33,8.5,8.83,6.32,2085900.0
2007-08-17,9.3,9.83,8.34,9.34,6.68,1349400.0
2007-08-20,9.67,10.33,9.1,10.29,7.36,2015700.0
2007-08-21,10.17,10.27,9.97,10.27,7.34,599100.0
2007-08-22,10.13,10.63,10.07,10.12,7.24,2124900.0
2007-08-23,10.13,10.33,10.02,10.07,7.2,494400.0
2007-08-24,10.17,10.33,10.17,10.23,7.32,614700.0
2007-08-27,10.23,10.57,10.23,10.33,7.39,679200.0
2007-08-28,10.27,10.27,9.62,9.77,6.99,829800.0
2007-08-29,9.8,10.0,9.57,9.77,6.99,710700.0
2007-08-30,10.0,10.29,9.79,10.0,7.15,2230800.0
2007-08-31,10.25,10.67,10.15,10.67,7.63,497100.0
2007-09-03,10.5,10.67,10.33,10.5,7.51,124200.0
2007-09-04,10.5,10.67,10.33,10.5,7.51,124200.0
2007-09-05,10.27,10.63,10.05,10.17,7.27,1132500.0
2007-09-06,10.47,10.47,10.08,10.17,7.27,102300.0
2007-09-10,10.0,10.0,9.64,9.65,6.9,308400.0
2007-09-11,9.67,9.69,9.07,9.17,6.56,2313000.0
2007-09-12,9.67,9.69,9.07,9.27,6.63,2379300.0
2007-09-13,9.27,9.49,8.87,9.0,6.44,1443900.0
2007-09-14,9.17,9.5,9.07,9.3,6.65,1621500.0
2007-09-17,9.17,9.17,8.93,9.13,6.53,306900.0
2007-09-18,9.13,9.83,8.98,9.33,6.68,1413600.0
2007-09-19,9.13,9.83,8.98,9.33,6.67,1414200.0
2007-09-20,9.37,9.7,9.34,9.53,6.82,3715200.0
2007-09-21,9.67,10.1,9.63,9.64,6.9,1774500.0
2007-09-24,10.17,10.27,10.03,10.13,7.25,269100.0
2007-09-25,10.0,10.23,10.0,10.2,7.29,323700.0
2007-09-26,10.0,10.23,10.0,10.2,7.29,323700.0
2007-09-27,10.0,10.58,10.0,10.56,7.56,1117800.0
2007-09-28,10.56,11.17,10.51,10.92,7.81,1692000.0
2007-10-01,10.84,11.5,10.84,11.33,8.11,1122600.0
2007-10-02,11.33,11.33,10.42,10.83,7.75,1347900.0
2007-10-03,11.33,11.33,10.42,10.83,7.75,1348800.0
2007-10-04,10.95,10.95,10.19,10.27,7.34,853200.0
2007-10-05,10.37,10.37,9.79,10.0,7.15,1655100.0
2007-10-08,10.72,11.08,10.36,10.62,7.6,1013700.0
2007-10-09,10.72,11.08,10.36,10.62,7.6,1013700.0
2007-10-10,10.86,10.98,10.7,10.98,7.86,744600.0
2007-10-11,10.99,11.22,10.77,10.77,7.7,1362000.0
2007-10-15,10.53,10.83,10.42,10.67,7.63,710100.0
2007-10-16,10.53,10.83,10.42,10.67,7.63,710100.0
2007-10-17,11.4,12.33,11.4,12.0,8.58,2818800.0
2007-10-18,11.4,12.33,11.4,11.93,8.54,2819700.0
2007-10-19,11.66,11.93,11.5,11.5,8.23,612600.0
2007-10-22,11.33,11.67,11.06,11.67,8.35,417900.0
2007-10-23,11.33,11.67,11.06,11.67,8.35,417900.0
2007-10-24,11.75,12.17,11.67,11.82,8.45,1101600.0
2007-10-25,11.57,11.67,11.18,11.33,8.11,756600.0
2007-10-26,11.43,11.63,10.87,11.37,8.13,753300.0
2007-10-29,11.63,11.67,11.1,11.47,8.2,504300.0
2007-10-30,11.63,11.67,11.1,11.47,8.2,504300.0
2007-10-31,11.43,11.67,11.39,11.63,8.32,853500.0
2007-11-01,11.63,12.15,11.53,12.0,8.58,974400.0
2007-11-05,11.5,12.5,11.35,12.0,8.58,1268400.0
2007-11-06,11.5,12.5,11.35,12.0,8.58,1268400.0
2007-11-07,12.67,12.83,12.57,12.58,9.0,915300.0
2007-11-08,12.58,12.63,11.92,12.32,8.81,1107900.0
2007-11-09,12.33,12.4,11.67,12.27,8.78,1120200.0
2007-11-12,12.27,12.47,11.67,12.47,8.92,1387500.0
2007-11-13,12.33,13.23,12.1,12.94,9.26,1612500.0
2007-11-14,13.0,13.83,12.88,12.97,9.28,1397100.0
2007-11-16,12.97,13.48,12.67,13.34,9.54,1616400.0
2007-11-19,13.33,13.75,13.0,13.17,9.42,2072100.0
2007-11-21,13.17,13.3,12.07,13.04,9.33,709800.0
2007-11-22,13.07,13.07,12.67,12.83,9.18,330000.0
2007-11-23,12.93,12.95,12.2,12.3,8.8,666000.0
2007-11-26,12.5,12.73,11.85,11.92,8.53,839700.0
2007-11-27,11.77,12.12,11.5,12.0,8.58,1317900.0
2007-11-28,12.34,13.32,12.33,13.13,9.4,2730000.0
2007-11-29,13.2,14.21,13.1,13.5,9.66,3135000.0
2007-11-30,13.76,14.83,13.53,14.33,10.25,5938800.0
2007-12-03,14.33,15.0,14.27,14.5,10.37,1938300.0
2007-12-04,14.33,15.0,14.27,14.5,10.37,1939800.0
2007-12-05,13.77,14.13,13.03,13.93,9.97,1160700.0
2007-12-06,14.33,14.33,13.33,13.67,9.78,1171200.0
2007-12-07,13.83,14.17,13.33,13.83,9.89,1182300.0
2007-12-10,13.67,13.83,13.0,13.5,9.66,5639400.0
2007-12-11,13.56,13.56,13.07,13.13,9.4,1610700.0
2007-12-12,13.47,13.47,12.67,12.73,9.11,793800.0
2007-12-13,12.67,12.94,12.02,12.54,8.97,1320600.0
2007-12-14,12.67,13.56,12.47,13.2,9.45,1864800.0
2007-12-17,13.33,13.33,12.47,12.67,9.06,1230600.0
2007-12-18,13.17,13.23,12.05,12.33,8.82,709800.0
2007-12-19,12.58,12.58,11.77,12.33,8.82,1351500.0
2007-12-20,12.43,12.63,11.52,11.83,8.47,1149600.0
2007-12-21,12.0,12.06,11.67,11.83,8.47,993900.0
2007-12-26,11.97,12.4,11.83,12.1,8.65,841200.0
2007-12-27,11.97,12.52,11.8,12.33,8.82,756000.0
2007-12-28,12.38,12.68,12.33,12.68,9.07,858900.0
2008-01-02,12.67,13.25,12.67,12.83,9.18,796800.0
2008-01-03,12.83,13.17,12.67,12.8,9.16,1015800.0
2008-01-04,12.82,12.82,12.27,12.43,8.89,819600.0
2008-01-07,12.43,12.62,11.93,12.0,8.58,1641900.0
2008-01-08,12.16,12.44,11.98,12.1,8.65,2935500.0
2008-01-09,12.1,12.1,11.5,11.97,8.56,1276800.0
2008-01-10,12.15,12.15,11.6,11.6,8.3,1539600.0
2008-01-11,11.6,11.83,11.37,11.5,8.23,1557300.0
2008-01-14,11.5,11.67,10.83,10.83,7.75,1345200.0
2008-01-15,10.67,10.67,10.04,10.1,7.23,1207500.0
2008-01-16,10.0,10.33,9.87,10.32,7.38,1844700.0
2008-01-17,10.33,10.97,9.52,9.7,6.94,1697100.0
2008-01-18,9.77,10.31,9.2,10.1,7.23,1335000.0
2008-01-21,9.33,9.33,8.57,8.57,6.13,2358600.0
2008-01-22,8.6,9.63,8.58,9.4,6.72,1377000.0
2008-01-23,9.03,9.36,8.93,9.11,6.52,1840500.0
2008-01-24,9.3,10.33,9.3,10.1,7.23,1302600.0
2008-01-28,9.67,10.63,9.44,10.27,7.35,1684800.0
2008-01-29,10.53,10.9,10.22,10.67,7.63,1278300.0
2008-01-30,10.67,11.28,10.5,10.83,7.75,1710300.0
2008-01-31,10.33,11.0,10.1,10.92,7.81,1644000.0
2008-02-01,11.0,11.27,10.68,10.9,7.8,1758600.0
2008-02-06,10.2,10.78,10.04,10.33,7.39,1230300.0
2008-02-07,9.79,10.7,9.68,10.33,7.39,1737600.0
2008-02-08,10.35,10.5,9.88,9.95,7.12,1318500.0
2008-02-11,10.03,10.36,9.9,10.1,7.23,964800.0
