Date,Open,High,Low,Close,Adj Close,Volume
2007-07-27,8.0,8.28,7.7,7.88,5.02,12103290.0
2007-07-30,8.07,8.16,7.87,7.97,5.07,1887408.0
2007-07-31,8.02,8.28,7.97,8.04,5.12,6567074.0
2007-08-01,8.0,8.17,7.95,8.16,5.2,2622449.0
2007-08-02,8.17,8.17,8.01,8.13,5.18,1934210.0
2007-08-03,8.07,8.14,7.78,7.98,5.08,862849.0
2007-08-06,7.96,8.17,7.78,8.07,5.14,1816304.0
2007-08-07,8.12,8.47,8.07,8.4,5.35,2361435.0
2007-08-08,8.4,8.76,8.37,8.67,5.52,2450840.0
2007-08-09,8.48,8.6,8.33,8.43,5.37,1137365.0
2007-08-10,8.15,8.67,8.15,8.5,5.42,519930.0
2007-08-13,8.6,8.6,8.2,8.23,5.24,1784202.0
2007-08-14,8.33,8.6,7.9,7.91,5.04,975056.0
2007-08-15,7.87,7.97,7.33,7.78,4.95,6807988.0
2007-08-16,7.56,7.56,6.34,7.17,4.56,5436010.0
2007-08-17,7.34,7.67,6.68,7.16,4.56,5552116.0
2007-08-20,7.34,7.55,7.07,7.27,4.63,268215.0
2007-08-21,7.4,7.44,7.28,7.33,4.67,1725398.0
2007-08-22,7.43,7.67,7.4,7.53,4.8,1291574.0
2007-08-23,7.62,7.92,7.62,7.91,5.04,721841.0
2007-08-24,7.7,8.13,7.67,8.13,5.18,1136765.0
2007-08-27,8.13,8.33,7.84,8.17,5.2,777344.0
2007-08-28,8.04,8.13,7.83,7.83,4.99,124807.0
2007-08-29,7.93,8.03,7.9,7.9,5.03,589534.0
2007-08-30,7.83,7.93,7.7,7.7,4.9,455426.0
2007-08-31,7.89,8.0,7.8,7.91,5.04,314418.0
2007-09-03,7.85,8.06,7.79,8.0,5.1,73504.0
2007-09-04,7.85,8.12,7.79,8.1,5.16,75904.0
2007-09-05,8.0,8.0,7.84,7.9,5.03,115207.0
2007-09-06,7.9,8.1,7.9,8.1,5.16,399623.0
2007-09-10,7.91,8.0,7.88,8.0,5.1,276316.0
2007-09-11,7.87,8.07,7.87,8.03,5.12,1911109.0
2007-09-12,7.87,8.07,7.87,8.0,5.1,1913509.0
2007-09-13,8.0,8.17,7.92,8.0,5.1,727241.0
2007-09-14,8.0,8.0,7.93,7.95,5.06,47103.0
2007-09-17,7.83,7.83,7.57,7.57,4.82,79505.0
2007-09-18,7.6,7.67,7.37,7.47,4.76,504929.0
