Date,Open,High,Low,Close,Adj Close,Volume
2004-05-26,8.0,8.6,7.8,8.44,5.68,98462500.0
2004-05-27,8.58,8.66,8.4,8.54,5.75,34850000.0
2004-05-28,8.6,8.7,8.6,8.66,5.83,8890000.0
2004-05-31,8.56,8.59,8.24,8.54,5.75,2425000.0
2004-06-01,8.32,8.52,8.32,8.48,5.71,16042500.0
2004-06-02,8.5,8.7,8.5,8.7,5.86,9990000.0
2004-06-03,8.64,9.19,8.61,9.08,6.11,10432500.0
2004-06-04,9.0,9.58,9.0,9.22,6.21,6560000.0
2004-06-07,9.4,9.4,9.18,9.22,6.21,2082500.0
2004-06-08,9.2,9.2,8.9,8.96,6.03,5280000.0
2004-06-09,8.8,9.11,8.76,9.05,6.09,2322500.0
2004-06-10,,,,,,
2004-06-11,8.85,9.2,8.85,9.2,6.19,167500.0
2004-06-14,9.0,9.38,9.0,9.36,6.3,5852500.0
2004-06-15,9.3,9.66,9.3,9.54,6.42,8230000.0
2004-06-16,9.5,9.54,9.2,9.4,6.33,1935000.0
2004-06-17,9.26,9.41,9.26,9.26,6.23,7330000.0
2004-06-18,9.2,9.29,9.2,9.29,6.25,595000.0
2004-06-21,9.3,9.39,9.2,9.2,6.19,1080000.0
2004-06-22,9.2,9.24,9.18,9.22,6.2,11905000.0
2004-06-23,9.2,9.3,9.14,9.27,6.24,2655000.0
2004-06-24,9.2,9.5,9.2,9.5,6.39,1210000.0
2004-06-25,9.4,9.5,9.4,9.45,6.36,3245000.0
2004-06-28,9.46,9.5,9.4,9.5,6.39,1815000.0
2004-06-29,9.42,9.69,9.42,9.66,6.5,7487500.0
2004-06-30,9.5,10.0,9.5,9.98,6.72,3277500.0
2004-07-01,9.96,10.5,9.9,10.0,6.73,1620000.0
2004-07-02,10.0,10.01,9.9,10.0,6.73,745000.0
2004-07-05,9.79,9.8,9.68,9.74,6.56,782500.0
2004-07-06,9.7,9.9,9.6,9.88,6.65,3117500.0
2004-07-07,9.98,10.1,9.74,9.98,6.72,4362500.0
2004-07-08,9.96,10.1,9.96,10.01,6.74,1012500.0
2004-07-09,,,,,,
2004-07-12,9.99,10.6,9.99,10.58,7.12,2785000.0
2004-07-13,10.98,10.98,10.4,10.58,7.12,652500.0
2004-07-14,10.4,10.6,10.4,10.6,7.13,327500.0
2004-07-15,10.6,10.9,10.5,10.9,7.34,3272500.0
2004-07-16,11.0,11.6,11.0,11.26,7.58,4127500.0
2004-07-19,11.27,11.44,11.0,11.2,7.54,1120000.0
2004-07-20,11.2,11.3,10.71,11.1,7.47,2360000.0
2004-07-21,11.13,11.13,10.62,10.68,7.19,3065000.0
2004-07-22,10.7,10.7,10.21,10.4,7.0,400000.0
2004-07-23,10.4,10.7,10.4,10.66,7.17,675000.0
2004-07-26,10.7,10.8,10.4,10.72,7.21,8245000.0
2004-07-27,10.82,10.9,10.72,10.8,7.27,2380000.0
2004-07-28,10.99,11.0,10.74,10.74,7.23,7242500.0
2004-07-29,11.0,11.0,10.69,10.69,7.19,9085000.0
2004-07-30,10.8,10.8,10.38,10.4,7.0,3695000.0
2004-08-02,10.3,10.44,10.2,10.4,7.0,1577500.0
2004-08-03,10.4,10.6,10.4,10.5,7.07,2915000.0
2004-08-04,10.39,10.44,10.36,10.4,7.0,18775000.0
2004-08-05,10.48,10.48,10.2,10.2,6.87,1182500.0
2004-08-06,10.3,10.3,10.16,10.2,6.87,8150000.0
2004-08-09,10.2,10.2,9.9,9.94,6.69,1580000.0
2004-08-10,10.0,10.0,9.8,9.93,6.68,3155000.0
2004-08-11,9.94,9.94,9.5,9.7,6.53,17805000.0
2004-08-12,9.7,9.9,9.7,9.79,6.59,3077500.0
2004-08-13,9.8,9.8,9.7,9.7,6.53,920000.0
2004-08-16,9.71,9.8,9.71,9.8,6.6,452500.0
2004-08-17,9.82,9.85,9.68,9.7,6.53,857500.0
2004-08-18,9.72,9.81,9.72,9.81,6.6,537500.0
2004-08-19,9.8,9.96,9.8,9.85,6.63,2482500.0
2004-08-20,9.85,9.85,9.73,9.73,6.55,512500.0
2004-08-23,9.7,9.7,9.64,9.68,6.52,3005000.0
2004-08-24,9.69,9.94,9.69,9.7,6.53,1235000.0
2004-08-25,9.88,10.3,9.8,10.15,6.83,815000.0
2004-08-26,10.04,10.44,10.04,10.44,7.03,2602500.0
2004-08-27,10.44,10.92,10.44,10.74,7.23,1990000.0
2004-08-30,10.8,11.0,10.4,10.9,7.34,430000.0
2004-08-31,10.88,11.38,10.8,11.32,7.62,3450000.0
2004-09-01,11.31,12.0,11.26,12.0,8.08,2317500.0
2004-09-02,11.84,11.84,11.5,11.5,7.74,1347500.0
2004-09-03,11.52,11.63,11.27,11.27,7.59,312500.0
2004-09-06,11.3,11.3,11.2,11.2,7.54,70000.0
2004-09-07,,,,,,
2004-09-08,11.48,11.48,11.1,11.1,7.47,930000.0
2004-09-09,11.38,11.38,10.76,10.76,7.24,400000.0
2004-09-10,10.8,10.81,10.46,10.63,7.16,125000.0
2004-09-13,10.63,10.75,10.59,10.72,7.22,1025000.0
2004-09-14,11.1,12.2,10.74,11.7,7.87,2362500.0
2004-09-15,11.7,11.76,11.1,11.4,7.67,1280000.0
2004-09-16,11.39,11.4,11.02,11.24,7.57,440000.0
2004-09-17,11.24,11.56,11.24,11.56,7.78,1635000.0
2004-09-20,11.5,11.74,11.5,11.74,7.9,850000.0
2004-09-21,11.8,12.07,11.78,12.0,8.08,4420000.0
2004-09-22,12.0,12.2,11.78,11.78,7.93,1035000.0
2004-09-23,11.88,12.0,11.8,11.8,7.94,3302500.0
2004-09-24,12.0,12.0,11.74,11.74,7.9,1622500.0
2004-09-27,11.64,11.64,11.44,11.56,7.78,1185000.0
2004-09-28,11.6,11.6,11.54,11.55,7.77,4597500.0
2004-09-29,11.55,11.55,11.46,11.46,7.71,1595000.0
2004-09-30,11.5,11.56,11.5,11.56,7.78,567500.0
2004-10-01,11.56,11.8,11.56,11.56,7.78,3035000.0
2004-10-04,11.6,11.8,11.0,11.27,7.59,4682500.0
2004-10-05,11.4,11.5,11.3,11.34,7.63,4930000.0
2004-10-06,11.4,11.4,11.1,11.2,7.54,312500.0
2004-10-07,11.12,11.2,11.0,11.1,7.47,1142500.0
2004-10-08,11.2,11.3,11.07,11.16,7.51,415000.0
2004-10-11,11.26,11.36,11.2,11.27,7.59,250000.0
2004-10-12,,,,,,
2004-10-13,11.2,11.34,11.2,11.3,7.61,1722500.0
2004-10-14,11.2,11.2,11.0,11.14,7.5,1257500.0
2004-10-15,11.2,11.36,11.2,11.34,7.63,560000.0
2004-10-18,11.24,11.69,11.22,11.6,7.81,902500.0
2004-10-19,11.7,11.7,11.4,11.4,7.67,515000.0
2004-10-20,11.4,11.4,11.16,11.3,7.61,72500.0
2004-10-21,11.3,11.76,11.3,11.7,7.87,2057500.0
2004-10-22,11.6,11.68,11.5,11.68,7.86,1202500.0
2004-10-25,11.68,11.7,11.4,11.7,7.87,1025000.0
2004-10-26,11.68,11.68,11.56,11.62,7.82,1092500.0
2004-10-27,11.68,11.7,11.46,11.6,7.81,3352500.0
2004-10-28,11.7,11.7,11.58,11.63,7.83,2027500.0
2004-10-29,11.7,11.71,11.6,11.6,7.81,2555000.0
2004-11-01,11.6,11.62,11.6,11.6,7.81,427500.0
2004-11-02,,,,,,
2004-11-03,11.6,11.8,11.54,11.6,7.81,1857500.0
2004-11-04,11.6,11.6,11.4,11.54,7.77,2787500.0
2004-11-05,11.6,11.6,11.44,11.5,7.74,2580000.0
2004-11-08,11.6,11.6,11.5,11.53,7.76,555000.0
2004-11-09,11.6,12.0,11.6,11.86,7.98,1317500.0
2004-11-10,11.8,12.01,11.8,12.0,8.08,1172500.0
2004-11-11,12.17,12.71,12.1,12.42,8.36,4342500.0
2004-11-12,12.46,12.7,12.46,12.56,8.45,1652500.0
2004-11-15,,,,,,
2004-11-16,12.5,12.5,12.48,12.5,8.41,1790000.0
