Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,32.94,33.94,32.34,32.94,29.79,486104.0
2008-01-03,32.54,32.64,32.14,32.14,29.07,351153.0
2008-01-04,32.24,32.25,30.56,31.09,28.12,497525.0
2008-01-07,30.84,30.95,30.17,30.44,27.54,1046847.0
2008-01-08,30.47,31.69,30.47,31.14,28.17,791872.0
2008-01-09,30.95,31.55,30.84,31.55,28.54,611136.0
2008-01-10,31.55,31.94,30.94,31.54,28.53,425992.0
2008-01-11,31.31,31.56,31.09,31.09,28.12,391628.0
2008-01-14,31.19,31.64,30.44,30.94,27.99,298054.0
2008-01-15,30.34,30.56,29.74,30.14,27.27,338730.0
2008-01-16,29.93,31.64,29.84,31.26,28.28,843569.0
2008-01-17,31.94,31.94,29.55,29.55,26.72,600216.0
2008-01-18,29.84,30.43,28.45,28.55,25.82,663133.0
2008-01-21,27.95,28.15,27.54,27.76,25.11,1280381.0
2008-01-22,27.5,28.73,27.5,28.35,25.64,898671.0
2008-01-23,28.4,28.89,27.47,28.21,25.51,1094635.0
2008-01-24,29.5,30.45,28.3,30.4,27.5,989340.0
2008-01-28,29.89,30.73,29.77,30.55,27.64,512753.0
2008-01-29,30.55,30.84,29.9,30.84,27.9,630072.0
2008-01-30,30.44,31.94,30.34,31.69,28.67,738072.0
2008-01-31,31.58,32.44,30.29,32.44,29.34,973310.0
2008-02-01,32.47,33.69,32.25,33.64,30.43,1114372.0
2008-02-06,32.63,32.88,32.34,32.34,29.25,507844.0
2008-02-07,31.74,32.24,31.15,31.44,28.44,395736.0
2008-02-08,31.14,31.78,30.89,31.04,28.08,604123.0
2008-02-11,31.09,32.78,31.07,32.78,29.65,456950.0
2008-02-12,32.93,34.13,32.54,32.83,29.69,1217364.0
2008-02-13,32.83,33.69,32.22,32.26,29.18,759412.0
2008-02-14,32.44,33.63,32.44,33.28,30.1,652012.0
2008-02-15,33.49,33.94,32.12,32.43,29.33,1183000.0
2008-02-18,32.94,33.93,32.68,33.23,30.06,247460.0
2008-02-19,33.83,33.83,32.29,32.44,29.34,763319.0
2008-02-20,31.94,33.94,31.94,33.74,30.52,1180896.0
2008-02-21,33.54,34.49,33.54,34.34,31.06,987636.0
2008-02-22,33.54,34.88,33.54,34.54,31.24,879636.0
2008-02-25,34.54,34.93,34.24,34.93,31.6,571062.0
2008-02-26,34.92,35.23,34.34,35.23,31.87,729156.0
2008-02-27,34.88,35.93,34.57,35.93,32.5,827439.0
2008-02-28,35.92,37.33,35.83,36.83,33.32,987236.0
2008-02-29,36.43,37.43,35.88,36.43,32.95,834552.0
2008-03-03,36.93,37.03,36.53,36.73,33.22,955276.0
2008-03-04,36.73,37.11,36.01,37.08,33.54,1004468.0
2008-03-05,38.13,38.93,36.63,36.83,33.32,2630291.0
2008-03-06,36.93,37.03,35.68,35.93,32.5,959785.0
2008-03-07,35.43,36.09,34.98,35.43,32.05,595607.0
2008-03-10,34.55,35.53,34.48,34.79,31.46,649808.0
2008-03-11,34.79,36.31,34.79,35.43,32.05,984731.0
2008-03-12,35.42,36.26,34.94,35.57,32.18,314084.0
2008-03-13,34.52,36.33,34.52,36.08,32.64,824834.0
2008-03-14,36.73,36.73,34.69,36.33,32.86,1284288.0
2008-03-17,34.52,36.33,34.34,35.78,32.37,1097340.0
2008-03-18,36.42,36.67,34.54,35.6,32.2,1247720.0
2008-03-19,35.33,35.4,33.84,34.09,30.83,843569.0
2008-03-20,33.68,34.68,33.34,34.29,31.01,836355.0
2008-03-24,34.29,35.83,34.27,35.24,31.88,571663.0
2008-03-25,35.14,35.98,34.96,35.73,32.32,573867.0
2008-03-26,36.23,36.43,35.4,36.23,32.77,381109.0
2008-03-27,36.43,36.54,34.69,35.16,31.81,347947.0
2008-03-28,35.31,35.93,34.78,35.37,32.0,251668.0
