Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,5.88,5.88,5.88,5.88,4.19,35389440000.0
2000-01-04,5.55,5.55,5.55,5.55,3.96,28861440000.0
2000-01-05,5.49,5.49,5.49,5.49,3.92,43033600000.0
2000-01-06,5.47,5.47,5.47,5.47,3.9,34055680000.0
2000-01-07,5.5,5.5,5.5,5.5,3.92,20912640000.0
2000-01-10,5.61,5.61,5.61,5.61,4.0,19563520000.0
2000-01-11,5.47,5.47,5.47,5.47,3.9,23987200000.0
2000-01-12,5.48,5.48,5.48,5.48,3.91,23301120000.0
2000-01-13,5.32,5.32,5.32,5.32,3.8,26383360000.0
2000-01-14,5.4,5.4,5.4,5.4,3.85,16657920000.0
2000-01-17,5.34,5.34,5.34,5.34,3.81,16573440000.0
2000-01-18,5.36,5.36,5.36,5.36,3.82,17925120000.0
2000-01-19,5.32,5.32,5.32,5.32,3.8,38883840000.0
2000-01-20,5.31,5.31,5.31,5.31,3.79,26268160000.0
2000-01-21,5.2,5.2,5.2,5.2,3.71,17512960000.0
2000-01-24,5.16,5.16,5.16,5.16,3.68,18385920000.0
2000-01-25,5.16,5.16,5.16,5.16,3.68,
2000-01-26,5.22,5.22,5.22,5.22,3.72,25917440000.0
2000-01-27,5.19,5.19,5.19,5.19,3.7,38379520000.0
2000-01-28,5.19,5.19,5.19,5.19,3.7,17894400000.0
2000-01-31,5.1,5.1,5.1,5.1,3.64,32266240000.0
2000-02-01,5.2,5.2,5.2,5.2,3.71,23672320000.0
2000-02-02,5.3,5.3,5.3,5.3,3.78,14272000000.0
2000-02-03,5.45,5.45,5.45,5.45,3.89,25950720000.0
2000-02-04,5.59,5.59,5.59,5.59,3.98,21199360000.0
2000-02-07,5.62,5.62,5.62,5.62,4.01,20613120000.0
2000-02-08,5.75,5.75,5.75,5.75,4.1,31498240000.0
2000-02-09,5.62,5.62,5.62,5.62,4.01,15600640000.0
2000-02-10,5.46,5.46,5.46,5.46,3.89,18600960000.0
2000-02-11,5.29,5.29,5.29,5.29,3.77,25297920000.0
2000-02-14,5.21,5.21,5.21,5.21,3.72,10119680000.0
2000-02-15,5.31,5.31,5.31,5.31,3.79,33546240000.0
2000-02-16,5.74,5.74,5.74,5.74,4.09,73564160000.0
2000-02-17,5.69,5.69,5.69,5.69,4.05,21411840000.0
2000-02-18,5.56,5.56,5.56,5.56,3.97,22484480000.0
2000-02-21,5.55,5.55,5.55,5.55,3.96,18700800000.0
2000-02-22,5.53,5.53,5.53,5.53,3.94,22474240000.0
2000-02-23,5.56,5.56,5.56,5.56,3.97,20334080000.0
2000-02-24,5.71,5.71,5.71,5.71,4.07,32931840000.0
2000-02-25,5.86,5.86,5.86,5.86,4.18,36958720000.0
2000-02-28,5.75,5.75,5.75,5.75,4.1,11596800000.0
2000-02-29,5.78,5.78,5.78,5.78,4.12,24322560000.0
2000-03-01,5.88,5.88,5.88,5.88,4.19,23828480000.0
2000-03-02,5.84,5.84,5.84,5.84,4.16,24053760000.0
2000-03-03,6.04,6.04,6.04,6.04,4.3,13217280000.0
2000-03-06,6.04,6.04,6.04,6.04,4.3,
2000-03-07,6.04,6.04,6.04,6.04,4.3,
2000-03-08,6.18,6.18,6.18,6.18,4.41,8337920000.0
2000-03-09,6.4,6.4,6.4,6.4,4.56,21578240000.0
2000-03-10,6.21,6.21,6.21,6.21,4.43,14763520000.0
2000-03-13,6.21,6.21,6.21,6.21,4.43,
2000-03-14,5.81,5.81,5.81,5.81,4.14,28421120000.0
2000-03-15,5.89,5.89,5.89,5.89,4.2,25216000000.0
2000-03-16,5.93,5.93,5.93,5.93,4.22,23298560000.0
2000-03-17,5.86,5.86,5.86,5.86,4.18,18447360000.0
2000-03-20,5.69,5.69,5.69,5.69,4.05,16012800000.0
2000-03-21,5.8,5.8,5.8,5.8,4.13,25492480000.0
2000-03-22,5.81,5.81,5.81,5.81,4.14,25113600000.0
2000-03-23,5.81,5.81,5.81,5.81,4.14,26447360000.0
2000-03-24,5.81,5.81,5.81,5.81,4.14,15249920000.0
2000-03-27,6.25,6.25,6.25,6.25,4.46,22727680000.0
2000-03-28,5.99,5.99,5.99,5.99,4.27,16906240000.0
2000-03-29,5.96,5.96,5.96,5.96,4.25,21788160000.0
2000-03-30,5.82,5.82,5.82,5.82,4.15,16432640000.0
2000-03-31,5.9,5.9,5.9,5.9,4.21,20659200000.0
2000-04-03,5.85,5.85,5.85,5.85,4.17,18083840000.0
2000-04-04,5.82,5.82,5.82,5.82,4.15,33208320000.0
2000-04-05,6.06,6.06,6.06,6.06,4.32,40258560000.0
2000-04-06,6.15,6.15,6.15,6.15,4.38,24975360000.0
2000-04-07,6.19,6.19,6.19,6.19,4.41,19161600000.0
2000-04-10,6.05,6.05,6.05,6.05,4.31,13194240000.0
2000-04-11,5.9,5.9,5.9,5.9,4.21,21875200000.0
2000-04-12,6.04,6.04,6.04,6.04,4.3,45626880000.0
2000-04-13,5.9,5.9,5.9,5.9,4.21,40263680000.0
2000-04-14,5.9,5.9,5.9,5.9,4.21,
2000-04-17,5.25,5.25,5.25,5.25,3.74,66396160000.0
2000-04-18,5.41,5.41,5.41,5.41,3.86,50900480000.0
2000-04-19,5.09,5.09,5.09,5.09,3.63,38799360000.0
2000-04-20,5.1,5.1,5.1,5.1,3.64,17896960000.0
2000-04-21,5.1,5.1,5.1,5.1,3.64,
2000-04-24,5.0,5.0,5.0,5.0,3.56,20638720000.0
2000-04-25,5.45,5.45,5.45,5.45,3.89,38284800000.0
2000-04-26,5.37,5.37,5.37,5.37,3.83,22627840000.0
2000-04-27,5.38,5.38,5.38,5.38,3.83,43991040000.0
2000-04-28,5.38,5.38,5.38,5.38,3.83,25940480000.0
2000-05-01,5.38,5.38,5.38,5.38,3.83,
2000-05-02,5.51,5.51,5.51,5.51,3.93,19975680000.0
2000-05-03,5.49,5.49,5.49,5.49,3.91,20416000000.0
2000-05-04,5.47,5.47,5.47,5.47,3.9,21488640000.0
2000-05-05,5.49,5.49,5.49,5.49,3.91,17635840000.0
2000-05-08,5.49,5.49,5.49,5.49,3.92,17551360000.0
2000-05-09,5.5,5.5,5.5,5.5,3.92,26621440000.0
2000-05-10,5.4,5.4,5.4,5.4,3.85,26841600000.0
2000-05-11,5.31,5.31,5.31,5.31,3.79,36037120000.0
2000-05-12,5.31,5.31,5.31,5.31,3.78,26560000000.0
2000-05-15,5.4,5.4,5.4,5.4,3.85,13186560000.0
2000-05-16,5.57,5.57,5.57,5.57,3.97,27993600000.0
2000-05-17,5.51,5.51,5.51,5.51,3.93,12966400000.0
2000-05-18,5.54,5.54,5.54,5.54,3.95,23644160000.0
2000-05-19,5.41,5.41,5.41,5.41,3.86,23654400000.0
2000-05-22,5.26,5.26,5.26,5.26,3.75,20034560000.0
2000-05-23,5.32,5.32,5.32,5.32,3.8,24501760000.0
2000-05-24,5.24,5.24,5.24,5.24,3.73,38970880000.0
2000-05-25,5.31,5.31,5.31,5.31,3.79,38474240000.0
2000-05-26,5.25,5.25,5.25,5.25,3.74,26065920000.0
2000-05-29,5.3,5.3,5.3,5.3,3.78,11112960000.0
2000-05-30,5.32,5.32,5.32,5.32,3.79,23626240000.0
2000-05-31,5.24,5.24,5.24,5.24,3.73,26045440000.0
2000-06-01,5.5,5.5,5.5,5.5,3.92,27148800000.0
2000-06-02,5.81,5.81,5.81,5.81,4.14,51576320000.0
2000-06-05,5.79,5.79,5.79,5.79,4.13,22650880000.0
2000-06-06,5.79,5.79,5.79,5.79,4.13,
2000-06-07,6.24,6.24,6.24,6.24,4.45,23697920000.0
2000-06-08,6.28,6.28,6.28,6.28,4.47,28997120000.0
2000-06-09,6.28,6.28,6.28,6.28,4.47,10813440000.0
2000-06-12,6.24,6.24,6.24,6.24,4.45,6832640000.0
2000-06-13,6.23,6.23,6.23,6.23,4.44,21562880000.0
2000-06-14,6.16,6.16,6.16,6.16,4.39,27604480000.0
2000-06-15,6.17,6.17,6.17,6.17,4.4,21391360000.0
2000-06-16,6.29,6.29,6.29,6.29,4.48,36892160000.0
2000-06-19,6.32,6.32,6.32,6.32,4.51,68078080000.0
2000-06-20,6.36,6.36,6.36,6.36,4.54,17233920000.0
2000-06-21,6.44,6.44,6.44,6.44,4.59,38213120000.0
2000-06-22,6.44,6.44,6.44,6.44,4.59,
2000-06-23,6.44,6.44,6.44,6.44,4.59,28073600.0
2000-06-26,6.56,6.56,6.56,6.56,4.68,23228800.0
2000-06-27,6.62,6.62,6.62,6.62,4.72,28342400.0
2000-06-28,6.86,6.86,6.86,6.86,4.89,25206400.0
2000-06-29,6.65,6.65,6.65,6.65,4.74,15392000.0
2000-06-30,6.81,6.81,6.81,6.81,4.86,15942400.0
2000-07-03,7.0,7.0,7.0,7.0,4.99,22694400.0
2000-07-04,7.15,7.15,7.15,7.15,5.1,21155200.0
2000-07-05,6.97,6.97,6.97,6.97,4.97,40316800.0
2000-07-06,6.97,6.97,6.97,6.97,4.97,29712000.0
2000-07-07,6.71,6.71,6.71,6.71,4.78,48684800.0
2000-07-10,6.73,6.73,6.73,6.73,4.8,26758400.0
2000-07-11,6.41,6.41,6.41,6.41,4.57,55961600.0
2000-07-12,6.31,6.31,6.31,6.31,4.5,48240000.0
2000-07-13,6.05,6.05,6.05,6.05,4.32,28204800.0
