Date,Open,High,Low,Close,Adj Close,Volume
2011-06-29,13.15,15.15,13.02,15.05,11.16,10092400.0
2011-06-30,15.18,15.18,14.6,14.9,11.05,807400.0
2011-07-01,14.5,15.2,14.42,15.0,11.13,351100.0
2011-07-04,14.81,14.89,14.6,14.75,10.94,358600.0
2011-07-05,14.55,15.0,14.55,14.89,11.04,206200.0
2011-07-06,15.02,15.02,14.55,14.6,10.83,473300.0
2011-07-07,14.55,14.89,14.5,14.84,11.01,4600.0
2011-07-08,14.61,14.75,14.4,14.75,10.94,72500.0
2011-07-11,14.59,14.6,14.25,14.49,10.75,967900.0
2011-07-12,14.1,14.33,13.8,13.8,10.24,491600.0
2011-07-13,14.0,14.12,13.92,13.93,10.33,57300.0
2011-07-14,13.9,13.95,13.8,13.95,10.35,607800.0
2011-07-15,13.9,14.1,13.77,14.1,10.46,63400.0
2011-07-18,14.0,14.0,13.67,13.98,10.37,49200.0
2011-07-19,13.51,13.99,13.51,13.95,10.35,125100.0
2011-07-20,13.7,13.98,13.49,13.75,10.2,638700.0
2011-07-21,13.74,14.4,13.74,14.4,10.68,17100.0
2011-07-22,14.4,14.75,14.4,14.75,10.94,313600.0
2011-07-25,14.74,14.74,14.4,14.42,10.7,143.0
2011-07-26,14.6,14.75,14.19,14.75,10.94,11900.0
2011-07-27,14.73,14.85,14.67,14.8,10.98,1200500.0
2011-07-28,14.59,14.75,14.22,14.7,10.9,997800.0
2011-07-29,14.7,14.95,14.7,14.95,11.09,71.0
2011-08-01,14.51,14.52,14.07,14.5,10.75,14900.0
2011-08-02,14.08,14.96,14.01,14.74,10.93,985800.0
2011-08-03,14.4,14.4,14.0,14.4,10.68,22100.0
2011-08-04,14.5,14.54,13.99,14.0,10.38,737500.0
2011-08-05,14.01,14.01,13.01,13.01,9.65,977200.0
2011-08-08,12.8,13.0,11.8,12.0,8.9,365100.0
2011-08-09,12.0,13.9,11.8,13.9,10.31,870700.0
2011-08-10,14.19,14.19,12.7,13.35,9.9,2200.0
2011-08-11,13.99,13.99,13.65,13.65,10.12,36600.0
2011-08-12,13.5,13.65,13.15,13.65,10.12,44200.0
2011-08-15,13.7,13.9,13.51,13.51,10.02,50900.0
2011-08-16,13.92,13.94,13.7,13.7,10.16,960900.0
2011-08-17,13.7,13.9,13.5,13.5,10.01,85300.0
2011-08-18,13.04,13.15,12.9,12.91,9.58,5600.0
2011-08-19,12.99,12.99,12.36,12.36,9.17,209300.0
2011-08-22,12.37,12.6,12.31,12.5,9.27,94900.0
2011-08-23,12.5,12.6,12.5,12.5,9.27,34200.0
2011-08-24,12.5,12.57,12.5,12.57,9.32,127300.0
2011-08-25,12.6,12.6,12.2,12.6,9.35,9500.0
2011-08-26,12.5,12.75,12.5,12.75,9.46,24600.0
2011-08-29,12.84,13.3,12.84,13.3,9.86,55300.0
2011-08-30,13.62,14.0,13.6,14.0,10.38,23100.0
2011-08-31,14.4,14.69,14.0,14.4,10.68,185100.0
2011-09-01,14.6,15.0,14.5,15.0,11.13,223200.0
2011-09-02,14.9,14.9,14.8,14.8,10.98,13700.0
2011-09-05,15.0,15.0,14.01,14.5,10.75,117100.0
2011-09-06,14.5,14.5,14.3,14.3,10.61,278600.0
2011-09-08,14.19,15.15,14.19,15.1,11.2,203700.0
2011-09-09,15.0,16.0,14.87,15.0,11.13,231200.0
2011-09-12,14.97,15.1,14.6,15.0,11.13,161700.0
2011-09-13,15.19,15.79,15.1,15.79,11.71,125500.0
2011-09-14,15.74,15.79,15.35,15.65,11.61,580100.0
2011-09-15,15.98,15.99,15.4,15.8,11.72,187400.0
2011-09-16,16.25,17.0,15.82,17.0,12.61,1101200.0
2011-09-19,16.55,16.8,16.05,16.2,12.02,418100.0
2011-09-20,16.25,16.25,15.82,16.0,11.87,126500.0
2011-09-21,16.0,16.24,15.7,15.7,11.64,86100.0
2011-09-22,15.6,15.8,14.2,14.6,10.83,141700.0
2011-09-23,14.59,15.33,14.14,15.0,11.13,210900.0
2011-09-26,15.0,15.5,14.74,15.0,11.13,88500.0
2011-09-27,16.0,16.0,14.53,14.6,10.83,213800.0
2011-09-28,14.99,14.99,14.36,14.68,10.89,13300.0
2011-09-29,14.79,14.79,13.99,14.0,10.38,372100.0
2011-09-30,14.4,14.45,14.0,14.0,10.38,25900.0
2011-10-03,14.02,14.7,14.0,14.0,10.38,159300.0
2011-10-04,14.0,14.4,14.0,14.4,10.68,134300.0
2011-10-05,14.35,14.5,14.0,14.0,10.38,217200.0
2011-10-06,14.16,14.25,13.5,13.5,10.01,151600.0
2011-10-07,13.5,14.0,13.31,14.0,10.38,43500.0
2011-10-10,13.71,14.32,13.71,14.09,10.45,7500.0
2011-10-11,14.1,14.47,13.8,13.8,10.24,53100.0
2011-10-13,13.7,13.95,13.6,13.6,10.09,32300.0
2011-10-14,13.74,13.74,13.51,13.51,10.02,49800.0
2011-10-17,13.16,13.7,13.16,13.6,10.09,100700.0
2011-10-18,13.16,13.7,13.16,13.6,10.09,100700.0
2011-10-19,13.7,14.1,13.66,13.99,10.38,143100.0
2011-10-20,14.0,14.25,13.9,13.95,10.35,76100.0
2011-10-21,14.22,15.0,14.0,15.0,11.13,189700.0
2011-10-24,14.61,14.75,14.4,14.4,10.68,60300.0
2011-10-25,14.61,14.75,14.4,14.4,10.68,60300.0
2011-10-26,14.68,14.68,14.21,14.5,10.75,21900.0
2011-10-27,14.69,14.69,14.01,14.28,10.59,24500.0
2011-10-28,14.55,14.7,14.12,14.7,10.9,206500.0
2011-10-31,14.79,15.8,14.65,15.8,11.72,118800.0
2011-11-01,15.7,15.7,15.31,15.35,11.39,180800.0
2011-11-03,15.7,15.76,15.27,15.27,11.33,223500.0
2011-11-04,15.39,15.47,14.57,14.7,10.9,158100.0
2011-11-07,14.47,14.75,14.25,14.29,10.6,55200.0
2011-11-08,14.7,14.74,14.42,14.74,10.93,34900.0
2011-11-09,14.89,14.89,14.7,14.84,11.01,2400.0
2011-11-10,15.22,15.22,14.8,14.93,11.07,1100.0
2011-11-11,15.35,15.45,14.8,15.25,11.31,10900.0
2011-11-14,15.49,15.49,14.7,14.7,10.9,16200.0
2011-11-16,15.67,15.67,14.7,14.7,10.9,91200.0
2011-11-17,15.11,15.11,14.7,14.7,10.9,37900.0
2011-11-18,14.8,15.19,14.8,15.19,11.27,69700.0
2011-11-21,14.96,15.0,14.71,14.9,11.05,11000.0
2011-11-22,14.91,14.91,14.91,14.91,11.06,100.0
2011-11-23,14.89,15.12,14.89,15.05,11.16,4500.0
2011-11-24,14.71,15.46,14.71,15.46,11.47,14400.0
2011-11-25,15.45,15.5,15.0,15.0,11.13,38700.0
2011-11-28,14.8,15.22,14.8,14.94,11.08,50300.0
2011-11-29,14.81,15.17,14.69,14.69,10.9,27200.0
2011-11-30,15.12,15.25,15.06,15.25,11.31,31900.0
2011-12-01,15.5,15.5,15.25,15.5,11.5,73000.0
2011-12-02,15.66,15.66,15.24,15.25,11.31,121300.0
2011-12-05,15.49,15.49,14.89,15.0,11.13,44800.0
2011-12-06,15.37,15.37,14.7,14.92,11.07,39800.0
2011-12-07,14.52,14.85,14.52,14.85,11.01,45900.0
2011-12-08,14.99,15.3,14.91,15.3,11.35,545500.0
2011-12-09,15.0,15.3,14.95,14.95,11.09,31600.0
2011-12-12,15.1,15.1,14.9,14.95,11.09,401700.0
2011-12-13,14.85,15.11,14.8,15.11,11.21,241600.0
2011-12-14,15.0,15.01,14.9,15.0,11.13,504400.0
2011-12-15,15.99,15.99,15.45,15.5,11.5,159500.0
2011-12-16,15.41,15.44,14.7,14.7,10.9,32600.0
2011-12-19,15.1,15.17,14.78,15.12,11.21,1433600.0
2011-12-20,15.47,15.47,15.0,15.15,11.24,460800.0
2011-12-21,15.49,15.49,15.15,15.29,11.34,108400.0
2011-12-22,15.43,15.43,15.03,15.2,11.27,232100.0
2011-12-23,15.2,16.0,15.2,16.0,11.87,328400.0
2011-12-26,16.1,16.52,16.09,16.17,11.99,13300.0
2011-12-27,16.01,16.1,16.0,16.1,11.94,13400.0
2011-12-28,16.2,16.21,16.0,16.13,11.96,42600.0
2011-12-29,16.1,16.75,16.1,16.75,12.42,129600.0
2012-01-02,17.25,17.4,17.09,17.2,12.76,108300.0
2012-01-03,17.01,17.5,17.01,17.25,12.79,936800.0
2012-01-04,17.01,17.36,17.01,17.15,12.72,87200.0
2012-01-05,17.1,17.27,17.1,17.19,12.75,1682700.0
2012-01-06,17.2,17.28,17.1,17.25,12.79,1423300.0
2012-01-09,17.23,17.33,17.0,17.0,12.61,81200.0
2012-01-10,17.25,17.25,16.99,17.05,12.65,520000.0
2012-01-11,16.83,17.0,16.77,16.8,12.46,1185300.0
2012-01-12,16.99,16.99,16.51,16.78,12.45,17300.0
2012-01-13,16.85,17.2,16.25,16.25,12.05,53100.0
2012-01-16,16.25,16.9,16.06,16.9,12.53,19900.0
2012-01-17,17.38,17.38,17.09,17.13,12.71,4100.0
2012-01-18,17.44,17.44,17.06,17.3,12.83,116100.0
2012-01-19,17.3,17.3,17.05,17.1,12.68,501300.0
2012-01-20,17.49,17.49,17.1,17.27,12.81,15600.0
2012-01-23,17.48,17.6,17.0,17.0,12.61,40000.0
2012-01-24,17.2,17.2,17.1,17.1,12.68,92500.0
2012-01-26,17.1,17.5,17.1,17.16,12.73,73600.0
2012-01-27,17.48,17.48,17.1,17.3,12.83,32000.0
2012-01-30,17.3,17.35,17.1,17.29,12.82,67500.0
2012-01-31,17.29,17.29,17.1,17.29,12.82,38000.0
2012-02-01,17.25,17.3,17.1,17.1,12.68,23500.0
2012-02-02,17.29,17.29,16.52,16.52,12.25,70100.0
2012-02-03,16.9,17.1,16.65,17.1,12.68,184000.0
2012-02-06,17.37,17.39,16.8,17.39,12.9,538600.0
2012-02-07,17.48,17.5,16.93,16.93,12.56,879000.0
2012-02-08,17.29,17.3,16.99,16.99,12.6,177000.0
2012-02-09,17.29,17.29,16.92,17.09,12.68,380300.0
2012-02-10,17.48,17.48,16.96,17.0,12.61,308300.0
2012-02-13,17.0,17.0,17.0,17.0,12.61,
2012-02-14,17.39,17.44,16.82,16.82,12.48,187100.0
