Date,Open,High,Low,Close,Adj Close,Volume
2005-05-23,1.16,1.18,1.13,1.16,0.73,252431377.0
2005-05-24,1.15,1.16,1.13,1.16,0.73,49473585.0
2005-05-25,1.16,1.16,1.15,1.16,0.73,6572664.0
2005-05-27,1.16,1.16,1.15,1.16,0.73,27960613.0
2005-05-30,1.15,1.16,1.14,1.16,0.73,1696748.0
2005-05-31,1.16,1.16,1.11,1.11,0.7,32470389.0
2005-06-01,1.11,1.16,1.11,1.16,0.73,21700508.0
2005-06-02,1.16,1.17,1.16,1.16,0.73,19744783.0
2005-06-03,1.16,1.17,1.16,1.17,0.74,8117597.0
2005-06-06,1.14,1.16,1.13,1.16,0.73,1866422.0
2005-06-07,1.14,1.16,1.13,1.15,0.72,1384189.0
2005-06-08,1.15,1.18,1.15,1.17,0.74,6795920.0
2005-06-09,1.18,1.18,1.14,1.15,0.73,5233126.0
2005-06-10,1.17,1.17,1.16,1.17,0.74,7599643.0
2005-06-13,1.17,1.17,1.16,1.17,0.74,973397.0
2005-06-14,1.17,1.18,1.16,1.18,0.74,43508178.0
2005-06-15,1.17,1.18,1.16,1.17,0.74,2464749.0
2005-06-16,1.18,1.18,1.17,1.17,0.74,910886.0
2005-06-17,1.18,1.19,1.17,1.18,0.74,23522278.0
2005-06-20,1.17,1.17,1.17,1.17,0.74,9555368.0
2005-06-21,1.17,1.18,1.17,1.18,0.74,3714984.0
2005-06-22,1.18,1.2,1.18,1.2,0.76,3786426.0
2005-06-23,1.2,1.21,1.19,1.2,0.76,6778060.0
2005-06-24,1.19,1.21,1.18,1.2,0.76,6117221.0
2005-06-27,1.2,1.21,1.2,1.21,0.76,13127468.0
2005-06-28,1.21,1.23,1.21,1.22,0.77,32934762.0
2005-06-29,1.24,1.24,1.22,1.22,0.77,15127844.0
2005-06-30,1.19,1.27,1.19,1.27,0.8,6501222.0
2005-07-01,1.25,1.31,1.23,1.3,0.82,19834085.0
2005-07-04,1.29,1.3,1.29,1.3,0.82,1964655.0
2005-07-05,1.3,1.3,1.26,1.3,0.82,7054898.0
2005-07-06,1.27,1.3,1.27,1.29,0.81,1035909.0
2005-07-07,1.28,1.29,1.28,1.28,0.81,11653976.0
2005-07-08,1.3,1.3,1.28,1.29,0.81,35381650.0
2005-07-11,1.3,1.34,1.3,1.34,0.84,44142226.0
2005-07-12,1.34,1.41,1.34,1.4,0.88,57100018.0
2005-07-13,1.4,1.41,1.37,1.38,0.87,26942564.0
2005-07-14,1.4,1.4,1.38,1.39,0.88,5786802.0
2005-07-15,1.39,1.39,1.37,1.38,0.87,9519646.0
2005-07-18,1.38,1.44,1.38,1.42,0.9,26790750.0
2005-07-19,1.42,1.47,1.41,1.47,0.93,25165444.0
2005-07-20,1.48,1.48,1.45,1.46,0.92,16851382.0
2005-07-21,1.49,1.49,1.42,1.46,0.92,32211412.0
2005-07-22,1.45,1.45,1.43,1.43,0.9,1125212.0
2005-07-25,1.39,1.42,1.38,1.4,0.88,14761703.0
2005-07-26,1.37,1.4,1.37,1.39,0.88,15092122.0
2005-07-27,1.4,1.4,1.38,1.39,0.87,9930438.0
2005-07-28,1.4,1.4,1.38,1.39,0.88,5456383.0
2005-07-29,1.38,1.39,1.38,1.39,0.88,19726922.0
2005-08-01,1.38,1.39,1.37,1.39,0.88,10894905.0
2005-08-02,1.41,1.46,1.41,1.46,0.92,16565614.0
2005-08-03,1.49,1.51,1.46,1.46,0.92,15368960.0
2005-08-04,1.48,1.48,1.45,1.46,0.92,21298646.0
2005-08-05,1.48,1.49,1.47,1.49,0.94,13288212.0
2005-08-08,1.51,1.52,1.5,1.51,0.95,11609325.0
2005-08-09,1.56,1.56,1.48,1.5,0.94,18449896.0
2005-08-10,1.5,1.51,1.47,1.47,0.93,20593156.0
2005-08-11,1.45,1.48,1.45,1.48,0.93,8001504.0
2005-08-12,1.43,1.48,1.42,1.46,0.92,18244501.0
2005-08-15,1.48,1.5,1.47,1.47,0.93,2839820.0
2005-08-16,1.49,1.51,1.47,1.48,0.93,16628126.0
2005-08-17,1.5,1.55,1.49,1.55,0.98,14743843.0
2005-08-18,1.51,1.59,1.51,1.56,0.98,6179733.0
2005-08-19,1.56,1.58,1.5,1.56,0.99,28657172.0
2005-08-22,1.59,1.59,1.56,1.58,1.0,3116657.0
2005-08-23,1.57,1.57,1.55,1.57,0.99,2384377.0
2005-08-24,1.57,1.57,1.56,1.57,0.99,48285862.0
2005-08-25,1.61,1.61,1.58,1.61,1.01,13145328.0
2005-08-26,1.61,1.61,1.59,1.61,1.01,17833709.0
2005-08-29,1.6,1.63,1.6,1.62,1.02,6885223.0
2005-08-30,1.64,1.64,1.6,1.61,1.02,8680203.0
2005-08-31,1.66,1.66,1.63,1.63,1.03,57644764.0
2005-09-01,1.65,1.65,1.64,1.65,1.04,6465501.0
2005-09-02,1.66,1.67,1.63,1.66,1.05,4536567.0
2005-09-05,1.66,1.68,1.66,1.68,1.06,169675.0
2005-09-06,1.68,1.68,1.66,1.66,1.05,5367080.0
2005-09-08,1.67,1.67,1.63,1.63,1.03,4241869.0
2005-09-09,1.65,1.65,1.63,1.64,1.04,38926960.0
2005-09-12,1.6,1.64,1.6,1.63,1.03,9930438.0
2005-09-13,1.63,1.63,1.61,1.63,1.03,2786238.0
2005-09-14,1.62,1.63,1.62,1.63,1.03,7135270.0
2005-09-15,1.64,1.65,1.64,1.64,1.04,25004700.0
2005-09-16,1.61,1.64,1.61,1.63,1.03,1991446.0
2005-09-19,1.6,1.64,1.6,1.64,1.03,12332675.0
2005-09-20,1.63,1.65,1.63,1.65,1.04,51563264.0
2005-09-21,1.65,1.68,1.65,1.67,1.06,17664034.0
2005-09-22,1.68,1.71,1.66,1.71,1.08,34158206.0
2005-09-23,1.73,1.73,1.71,1.72,1.09,3911450.0
2005-09-26,1.74,1.74,1.69,1.71,1.08,634048.0
