Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,3023.82,3023.82,3023.82,3023.82,2391.76,23646.0
2000-01-04,2803.91,2803.91,2693.95,2693.95,2130.84,12732.0
2000-01-05,2693.95,2693.95,2693.95,2693.95,2130.84,3638.0
2000-01-06,2738.48,2908.37,2737.94,2908.37,2300.44,21827.0
2000-01-07,3023.82,3023.82,3018.33,3023.27,2391.33,29102.0
2000-01-10,3298.72,3298.72,3194.26,3194.26,2526.58,56386.0
2000-01-11,3188.76,3188.76,3023.82,3023.82,2391.76,49110.0
2000-01-12,3078.8,3078.8,2968.85,2968.85,2348.28,12732.0
2000-01-13,2941.36,2941.36,2941.36,2941.36,2326.54,5457.0
2000-01-14,2886.38,3023.82,2886.38,3023.82,2391.76,14551.0
2000-01-17,3023.82,3133.78,3023.82,3023.82,2391.76,40016.0
2000-01-18,3023.82,3023.82,2913.87,2913.87,2304.8,25464.0
2000-01-19,2803.91,2858.89,2803.91,2858.89,2261.31,7276.0
2000-01-20,2886.38,2886.38,2803.91,2803.91,2217.82,94582.0
2000-01-21,2804.46,2804.46,2776.42,2776.42,2196.08,58204.0
2000-01-24,2693.95,2693.95,2693.95,2693.95,2130.84,5457.0
2000-01-25,2695.0,2695.0,2695.0,2695.0,2131.67,
2000-01-26,2748.93,2748.93,2748.93,2748.93,2174.33,29102.0
2000-01-27,2748.93,2759.93,2748.93,2750.03,2175.2,32740.0
2000-01-28,2749.48,2803.91,2749.48,2754.98,2179.12,25464.0
2000-01-31,2776.42,2776.42,2583.99,2605.99,2061.27,138236.0
2000-02-01,2886.38,2886.38,2776.42,2776.42,2196.08,3638.0
2000-02-02,2858.89,2995.78,2858.89,2941.36,2326.54,29102.0
2000-02-03,2968.85,3078.8,2968.85,3023.82,2391.76,41834.0
2000-02-04,3078.8,3078.8,2996.33,2996.33,2370.02,30921.0
2000-02-07,2913.87,2996.33,2913.87,2968.85,2348.28,20008.0
2000-02-08,2968.85,3051.31,2968.85,3051.31,2413.51,43653.0
2000-02-09,3050.76,3183.26,3029.32,3078.8,2435.25,92763.0
2000-02-10,3188.76,3463.65,3188.76,3403.18,2691.83,136417.0
2000-02-11,3463.65,3491.69,3408.67,3408.67,2696.17,101858.0
2000-02-14,3408.67,3408.67,3353.7,3353.7,2652.69,9094.0
2000-02-15,3133.78,3243.74,3133.78,3243.74,2565.71,10913.0
2000-02-16,3243.74,3243.74,3243.74,3243.74,2565.71,1819.0
2000-02-17,3254.73,3254.73,3243.74,3243.74,2565.71,12732.0
2000-02-18,3243.74,3243.74,3216.25,3243.74,2565.71,5457.0
2000-02-21,3243.74,3298.72,3243.74,3298.72,2609.2,3638.0
2000-02-22,3299.82,3299.82,3188.76,3188.76,2522.23,21827.0
2000-02-23,3133.78,3188.76,3133.78,3188.76,2522.23,9094.0
2000-02-24,3188.76,3188.76,3188.76,3188.76,2522.23,5457.0
2000-02-25,3188.76,3188.76,3188.76,3188.76,2522.23,7276.0
2000-02-28,3023.82,3188.76,2858.89,3188.76,2522.23,5457.0
2000-02-29,3188.76,3216.25,3133.78,3133.78,2478.74,20008.0
