Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,7.89,7.96,7.78,7.82,4.19,2536.0
2000-01-04,7.63,7.63,7.3,7.35,3.94,2433.0
2000-01-05,7.26,7.26,7.04,7.15,3.83,6676.0
2000-01-06,7.15,7.18,7.0,7.11,3.81,2989.0
2000-01-07,7.22,7.22,7.18,7.21,3.86,2026.0
2000-01-10,7.33,7.67,7.33,7.67,4.11,6138.0
2000-01-11,7.48,7.63,7.43,7.63,4.09,1976.0
2000-01-12,7.63,7.63,7.41,7.46,4.0,2700.0
2000-01-13,7.63,7.63,7.37,7.41,3.97,3477.0
2000-01-14,7.41,7.59,7.41,7.56,4.05,1812.0
2000-01-17,7.63,7.67,7.52,7.67,4.11,2266.0
2000-01-18,7.61,7.61,7.56,7.59,4.07,1809.0
2000-01-19,7.59,7.59,7.43,7.48,4.01,998.0
2000-01-20,7.48,7.56,7.41,7.56,4.05,2769.0
2000-01-21,7.63,7.67,7.59,7.59,4.07,3245.0
2000-01-24,7.59,7.63,7.44,7.44,3.99,4633.0
2000-01-25,3140620.0,3140620.0,3140620.0,3140620.0,1682618.75,
2000-01-26,7.52,7.7,7.5,7.7,4.13,3364.0
2000-01-27,7.7,7.7,7.43,7.44,3.99,1332.0
2000-01-28,7.44,7.44,7.26,7.33,3.93,1630.0
2000-01-31,7.33,7.41,7.11,7.41,3.97,945.0
2000-02-01,7.41,7.41,7.18,7.22,3.87,2857.0
2000-02-02,7.34,7.41,7.33,7.41,3.97,1448.0
2000-02-03,7.56,7.67,7.41,7.44,3.99,1486.0
2000-02-04,7.52,7.55,7.5,7.52,4.03,1597.0
2000-02-07,7.52,7.52,7.41,7.44,3.99,1939.0
2000-02-08,7.47,7.63,7.41,7.47,4.0,2870.0
2000-02-09,7.41,7.41,7.22,7.22,3.87,791.0
2000-02-10,7.19,7.19,7.0,7.07,3.79,2269.0
2000-02-11,7.11,7.11,6.98,7.0,3.75,1559.0
2000-02-14,6.98,7.0,6.85,6.85,3.67,2271.0
2000-02-15,6.89,6.89,6.59,6.74,3.61,2369.0
2000-02-16,6.74,6.93,6.63,6.82,3.65,1453.0
2000-02-17,6.84,6.87,6.48,6.6,3.53,1997.0
2000-02-18,6.67,6.7,6.51,6.51,3.49,4040.0
2000-02-21,6.56,6.56,6.49,6.52,3.49,3444.0
2000-02-22,6.61,6.61,6.44,6.52,3.49,1716.0
2000-02-23,6.52,6.52,6.44,6.45,3.45,1734.0
2000-02-24,6.61,6.61,6.48,6.51,3.49,1588.0
2000-02-25,6.62,6.65,6.56,6.63,3.55,1058.0
2000-02-28,6.52,6.56,6.41,6.56,3.51,588.0
2000-02-29,6.56,6.56,6.48,6.5,3.48,966.0
2000-03-01,6.48,6.48,6.43,6.44,3.45,605.0
2000-03-02,6.44,6.48,6.26,6.3,3.37,2525.0
2000-03-03,6.48,6.54,6.43,6.54,3.5,2175.0
2000-03-06,2757810.0,2757810.0,2757810.0,2757810.0,1477524.25,
2000-03-07,2757810.0,2757810.0,2757810.0,2757810.0,1477524.25,
2000-03-08,6.52,6.67,6.52,6.67,3.57,1306.0
2000-03-09,6.67,6.74,6.48,6.59,3.53,1010.0
2000-03-10,6.59,6.59,6.52,6.52,3.49,948.0
2000-03-13,2750000.0,2750000.0,2750000.0,2750000.0,1473340.0,
2000-03-14,6.3,6.3,6.23,6.23,3.34,317.0
2000-03-15,6.18,6.18,6.04,6.04,3.23,507.0
2000-03-16,6.17,6.17,5.93,5.96,3.19,4153.0
2000-03-17,6.02,6.02,5.89,5.93,3.17,931.0
2000-03-20,5.93,5.93,5.78,5.85,3.14,1524.0
2000-03-21,5.85,5.85,5.61,5.74,3.08,4218.0
2000-03-22,5.74,5.96,5.7,5.82,3.12,4195.0
2000-03-23,5.85,6.11,5.76,6.07,3.25,9594.0
2000-03-24,6.15,6.26,6.11,6.15,3.29,8436.0
2000-03-27,6.26,6.3,6.13,6.18,3.31,2567.0
2000-03-28,6.15,6.17,6.08,6.09,3.26,5105.0
2000-03-29,6.3,6.3,5.74,6.0,3.21,14160.0
2000-03-30,6.04,6.26,6.04,6.22,3.33,10936.0
2000-03-31,6.26,6.57,6.26,6.54,3.5,8774.0
2000-04-03,6.48,6.57,6.3,6.32,3.38,3696.0
2000-04-04,6.41,6.52,6.04,6.26,3.35,6050.0
2000-04-05,6.11,6.48,6.11,6.33,3.39,5382.0
2000-04-06,6.37,6.44,6.3,6.37,3.41,1964.0
2000-04-07,6.37,6.51,6.37,6.51,3.49,1816.0
2000-04-10,6.54,6.54,6.19,6.3,3.37,1394.0
2000-04-11,6.11,6.41,6.11,6.24,3.34,2621.0
2000-04-12,6.27,6.56,6.27,6.37,3.41,5604.0
2000-04-13,6.38,6.38,6.0,6.0,3.21,1907.0
2000-04-14,6.0,6.07,5.8,5.89,3.15,5297.0
2000-04-17,5.74,5.85,5.44,5.7,3.05,2429.0
2000-04-18,5.76,5.96,5.76,5.89,3.15,2963.0
2000-04-19,5.87,5.87,5.56,5.68,3.05,2849.0
2000-04-20,5.78,5.93,5.65,5.85,3.14,2456.0
2000-04-21,2468750.0,2468750.0,2468750.0,2468750.0,1322657.38,
2000-04-24,5.85,5.85,5.59,5.67,3.04,973.0
2000-04-25,5.74,5.91,5.74,5.87,3.15,2928.0
2000-04-26,5.93,6.22,5.93,6.15,3.3,6396.0
2000-04-27,6.11,6.3,5.93,6.28,3.36,3798.0
2000-04-28,6.3,6.41,6.07,6.32,3.38,9074.0
2000-05-01,2664060.0,2664060.0,2664060.0,2664060.0,1427297.0,
2000-05-02,6.3,6.3,6.11,6.15,3.29,3460.0
2000-05-03,6.11,6.11,5.82,5.82,3.12,3802.0
2000-05-04,5.82,5.84,5.74,5.74,3.08,2550.0
2000-05-05,5.63,5.85,5.63,5.78,3.1,2039.0
2000-05-08,5.74,5.74,5.52,5.56,2.98,2849.0
2000-05-09,5.61,5.61,5.37,5.37,2.88,1922.0
2000-05-10,5.4,5.41,5.15,5.22,2.8,3045.0
2000-05-11,5.33,5.52,5.26,5.26,2.82,4236.0
2000-05-12,5.28,5.3,5.11,5.18,2.78,2152.0
2000-05-15,5.2,5.48,5.19,5.48,2.94,424.0
2000-05-16,5.52,5.8,5.3,5.5,2.95,4884.0
2000-05-17,5.48,5.52,5.41,5.41,2.9,3032.0
2000-05-18,5.52,5.52,5.19,5.29,2.84,2266.0
2000-05-19,5.26,5.26,5.0,5.24,2.81,1302.0
2000-05-22,5.11,5.11,4.93,4.96,2.66,2302.0
2000-05-23,4.99,5.06,4.82,4.82,2.58,1918.0
2000-05-24,4.92,4.96,4.82,4.89,2.62,2997.0
2000-05-25,4.89,4.89,4.63,4.76,2.55,9537.0
2000-05-26,4.82,4.82,4.7,4.76,2.55,4132.0
2000-05-29,4.85,4.85,4.7,4.81,2.58,993.0
2000-05-30,4.82,5.04,4.78,5.04,2.7,5990.0
2000-05-31,5.04,5.11,4.93,4.93,2.64,3636.0
2000-06-01,5.0,5.11,4.96,5.07,2.72,2408.0
2000-06-02,5.17,5.27,5.15,5.27,2.82,7922.0
2000-06-05,5.27,5.33,5.11,5.15,2.76,4289.0
2000-06-06,2171880.0,2171880.0,2171880.0,2171880.0,1163606.25,
2000-06-07,5.07,5.11,5.03,5.07,2.72,2746.0
2000-06-08,5.11,5.18,5.11,5.17,2.77,6730.0
2000-06-09,5.26,5.26,5.18,5.18,2.78,2081.0
2000-06-12,5.18,5.18,5.11,5.13,2.75,1761.0
2000-06-13,5.07,5.11,5.02,5.04,2.7,2865.0
2000-06-14,5.04,5.15,5.0,5.02,2.69,2504.0
2000-06-15,5.03,5.04,4.93,4.93,2.64,1866.0
2000-06-16,4.91,4.93,4.79,4.79,2.57,3800.0
2000-06-19,4.85,5.09,4.85,5.07,2.72,7795.0
2000-06-20,5.13,5.24,5.06,5.13,2.75,7233.0
2000-06-21,5.26,5.63,5.1,5.57,2.99,13989.0
2000-06-22,2351560.0,2351560.0,2351560.0,2351560.0,1259871.88,
2000-06-23,5.57,5.68,5.41,5.47,2.93,4850.0
2000-06-26,5.46,5.52,5.38,5.43,2.91,7365.0
2000-06-27,5.41,5.43,5.32,5.35,2.87,5034.0
2000-06-28,5.37,5.48,5.37,5.43,2.91,5186.0
2000-06-29,5.43,5.43,5.24,5.38,2.88,3671.0
2000-06-30,5.11,5.24,5.0,5.07,2.72,3460.0
2000-07-03,5.07,5.09,5.04,5.07,2.72,2792.0
2000-07-04,5.17,5.35,5.15,5.3,2.84,7837.0
2000-07-05,5.41,5.67,5.41,5.65,3.03,15162.0
2000-07-06,5.72,5.91,5.72,5.89,3.15,10113.0
