Date,Open,High,Low,Close,Adj Close,Volume
2013-04-29,22.75,24.1,22.75,23.0,13.79,14324600.0
2013-04-30,23.35,23.5,21.9,23.01,13.8,2470900.0
2013-05-02,22.7,23.4,22.15,23.4,14.03,298600.0
2013-05-03,23.36,23.85,23.13,23.85,14.3,1011000.0
2013-05-06,24.0,24.15,23.63,23.99,14.39,176900.0
2013-05-07,24.0,24.85,23.96,24.1,14.45,450900.0
2013-05-08,24.57,24.57,24.0,24.15,14.48,496700.0
2013-05-09,24.05,24.59,23.3,24.1,14.45,496000.0
2013-05-10,23.4,24.19,23.01,23.9,14.33,170200.0
2013-05-13,23.61,24.6,22.7,23.3,13.97,678000.0
2013-05-14,23.4,23.4,22.45,23.0,13.79,911200.0
2013-05-15,22.7,23.7,22.7,23.53,14.11,645300.0
2013-05-16,23.55,24.3,22.85,24.0,14.39,779600.0
2013-05-17,24.04,24.18,23.3,23.79,14.27,396200.0
2013-05-20,24.04,24.18,23.2,23.4,14.03,307200.0
2013-05-21,23.35,23.98,23.1,23.94,14.36,210600.0
2013-05-22,23.63,25.52,23.63,24.97,14.97,517300.0
2013-05-23,24.72,25.49,24.65,25.49,15.29,237300.0
2013-05-24,25.22,25.99,25.22,25.7,15.41,291800.0
2013-05-27,25.68,25.69,25.11,25.6,15.35,97200.0
2013-05-28,25.59,25.69,25.21,25.35,15.2,166400.0
2013-05-29,25.66,25.7,24.11,25.0,14.99,154700.0
2013-05-31,25.03,25.03,24.43,24.9,14.93,188700.0
2013-06-03,24.85,25.41,24.57,25.41,15.24,218800.0
2013-06-04,25.16,25.39,24.84,25.0,14.99,497000.0
2013-06-05,25.1,26.1,25.1,25.45,15.26,845300.0
2013-06-06,25.39,25.89,25.06,25.6,15.35,523000.0
2013-06-07,25.49,25.5,25.17,25.43,15.25,227600.0
2013-06-10,25.13,25.6,24.9,24.9,14.93,437200.0
2013-06-11,24.24,24.79,23.76,24.79,14.87,151500.0
2013-06-12,24.6,24.88,24.25,24.5,14.69,61100.0
2013-06-13,24.02,25.01,24.02,24.85,14.9,211600.0
2013-06-14,25.35,25.5,24.52,25.16,15.09,57500.0
2013-06-17,25.14,26.29,25.0,26.29,15.77,859000.0
2013-06-18,26.3,26.9,26.04,26.5,15.89,190800.0
2013-06-19,27.01,27.01,25.81,26.5,15.89,448500.0
2013-06-20,25.74,26.61,25.21,26.55,15.92,372400.0
2013-06-21,26.5,26.5,25.64,26.0,15.59,464600.0
2013-06-24,25.2,25.8,24.7,24.8,14.87,628100.0
2013-06-25,24.8,25.0,23.63,24.72,14.82,365600.0
2013-06-26,24.72,24.81,24.09,24.35,14.6,251900.0
2013-06-27,24.5,25.0,23.62,25.0,14.99,416800.0
2013-06-28,24.66,24.68,24.05,24.5,14.69,490100.0
2013-07-01,24.66,24.85,23.81,24.45,14.66,375700.0
2013-07-02,24.2,24.35,23.8,23.8,14.27,426200.0
2013-07-03,24.0,24.07,23.03,23.36,14.01,3219900.0
2013-07-04,23.8,23.9,23.21,23.49,14.09,64100.0
2013-07-05,23.58,24.2,22.48,24.0,14.39,373700.0
