Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,2.18,2.18,2.12,2.13,1.9,571500.0
2000-01-04,2.11,2.11,2.06,2.06,1.83,1121400.0
2000-01-05,2.07,2.26,2.06,2.25,2.0,1602450.0
2000-01-06,2.22,2.46,2.22,2.46,2.19,3084300.0
2000-01-07,2.46,2.58,2.44,2.55,2.27,2871000.0
2000-01-10,2.6,2.89,2.6,2.82,2.51,4137750.0
2000-01-11,2.78,2.87,2.6,2.67,2.37,3211650.0
2000-01-12,2.65,2.65,2.49,2.54,2.26,4891050.0
2000-01-13,2.58,2.62,2.36,2.44,2.18,1505250.0
2000-01-14,2.44,2.49,2.37,2.49,2.22,2822400.0
2000-01-17,2.44,2.52,2.41,2.5,2.23,2023650.0
2000-01-18,2.44,2.53,2.38,2.4,2.14,1807650.0
2000-01-19,2.4,2.45,2.33,2.37,2.11,2295000.0
2000-01-20,2.37,2.51,2.37,2.51,2.24,1899000.0
2000-01-21,2.53,2.53,2.4,2.49,2.22,883800.0
2000-01-24,2.49,2.51,2.42,2.47,2.2,909450.0
2000-01-25,2.47,2.47,2.47,2.47,2.2,
2000-01-26,2.44,2.49,2.42,2.49,2.21,777150.0
2000-01-27,2.49,2.49,2.42,2.42,2.16,1012050.0
2000-01-28,2.42,2.42,2.24,2.36,2.1,668700.0
2000-01-31,2.31,2.33,2.2,2.33,2.08,786150.0
2000-02-01,2.38,2.38,2.22,2.38,2.12,707400.0
2000-02-02,2.38,2.4,2.24,2.38,2.12,468900.0
2000-02-03,2.44,2.44,2.34,2.38,2.12,668250.0
2000-02-04,2.38,2.51,2.38,2.48,2.21,2007000.0
2000-02-07,2.51,2.51,2.45,2.46,2.19,2585700.0
2000-02-08,2.47,2.62,2.47,2.51,2.24,3021300.0
2000-02-09,2.47,2.47,2.42,2.47,2.2,1592100.0
2000-02-10,2.44,2.46,2.42,2.44,2.18,2188800.0
2000-02-11,2.42,2.47,2.31,2.31,2.06,1073700.0
2000-02-14,2.43,2.43,2.2,2.22,1.98,1162350.0
2000-02-15,2.22,2.22,2.11,2.2,1.96,2307600.0
2000-02-16,2.22,2.31,2.2,2.26,2.01,1794600.0
2000-02-17,2.29,2.34,2.29,2.32,2.07,1239300.0
2000-02-18,2.24,2.24,2.19,2.22,1.98,1042650.0
2000-02-21,2.21,2.31,2.21,2.26,2.01,904050.0
2000-02-22,2.3,2.31,2.2,2.21,1.97,828000.0
2000-02-23,2.23,2.23,2.19,2.2,1.96,1288800.0
2000-02-24,2.22,2.31,2.11,2.22,1.98,1448550.0
2000-02-25,2.22,2.22,2.11,2.11,1.88,881100.0
2000-02-28,2.12,2.12,2.09,2.1,1.87,451800.0
2000-02-29,2.13,2.22,2.09,2.11,1.88,380250.0
2000-03-01,2.09,2.1,2.02,2.09,1.86,593550.0
2000-03-02,2.06,2.06,1.93,1.97,1.75,8419950.0
2000-03-03,2.0,2.09,1.94,2.04,1.82,3476700.0
2000-03-06,2.04,2.04,2.04,2.04,1.82,
2000-03-07,2.04,2.04,2.04,2.04,1.82,
2000-03-08,2.04,2.13,2.04,2.04,1.82,1197900.0
2000-03-09,2.09,2.17,2.08,2.13,1.9,2456100.0
2000-03-10,2.13,2.13,2.04,2.06,1.83,1199700.0
2000-03-13,2.04,2.04,1.96,1.98,1.76,2297250.0
2000-03-14,2.0,2.05,1.9,1.96,1.74,622350.0
2000-03-15,1.96,1.97,1.9,1.97,1.75,421650.0
2000-03-16,2.02,2.02,1.96,2.0,1.78,2746800.0
2000-03-17,2.0,2.08,1.91,1.91,1.7,1628550.0
2000-03-20,1.92,1.99,1.92,1.96,1.74,1206450.0
2000-03-21,1.91,2.15,1.91,2.04,1.82,1740600.0
2000-03-22,2.08,2.24,2.04,2.16,1.92,1399950.0
2000-03-23,2.17,2.2,2.07,2.08,1.85,1741500.0
2000-03-24,2.09,2.13,2.03,2.08,1.85,524700.0
2000-03-27,2.09,2.18,2.09,2.18,1.94,547200.0
2000-03-28,2.2,2.2,2.09,2.09,1.86,1654650.0
2000-03-29,2.11,2.14,2.04,2.04,1.81,1064250.0
2000-03-30,2.0,2.0,1.95,1.95,1.74,2602800.0
2000-03-31,1.98,2.0,1.92,1.92,1.71,4669200.0
2000-04-03,1.94,2.07,1.91,2.06,1.83,3285000.0
2000-04-04,2.04,2.07,1.91,2.04,1.82,982350.0
2000-04-05,2.02,2.04,1.91,1.94,1.73,2787750.0
2000-04-06,2.0,2.01,1.94,1.94,1.73,1641600.0
2000-04-07,2.02,2.02,1.95,1.98,1.76,1089000.0
2000-04-10,1.96,1.98,1.93,1.94,1.72,365850.0
2000-04-11,1.92,1.94,1.89,1.91,1.7,959400.0
2000-04-12,1.94,1.99,1.91,1.96,1.74,1667250.0
2000-04-13,1.98,1.98,1.8,1.84,1.63,1836450.0
2000-04-14,1.8,1.84,1.67,1.68,1.49,1759050.0
2000-04-17,1.76,1.76,1.55,1.65,1.47,1876500.0
2000-04-18,1.7,1.8,1.67,1.73,1.54,1901250.0
2000-04-19,1.73,1.74,1.67,1.69,1.5,1961550.0
2000-04-20,1.67,1.77,1.66,1.74,1.55,371250.0
2000-04-21,1.74,1.74,1.74,1.74,1.55,
2000-04-24,1.76,1.76,1.69,1.71,1.52,1261800.0
2000-04-25,1.77,1.77,1.72,1.73,1.54,1678050.0
2000-04-26,1.77,1.77,1.68,1.71,1.52,1319850.0
2000-04-27,1.67,1.68,1.64,1.67,1.48,2937600.0
2000-04-28,1.73,1.74,1.67,1.68,1.49,1425150.0
2000-05-01,1.68,1.68,1.68,1.68,1.49,
2000-05-02,1.73,1.8,1.71,1.71,1.52,1858500.0
2000-05-03,1.71,1.78,1.71,1.78,1.58,811800.0
2000-05-04,1.8,1.89,1.76,1.87,1.66,1013400.0
2000-05-05,1.87,2.04,1.86,1.98,1.76,2445750.0
2000-05-08,1.98,2.0,1.92,1.96,1.74,1642050.0
2000-05-09,1.94,1.96,1.82,1.9,1.69,1068750.0
2000-05-10,1.9,1.92,1.82,1.9,1.7,749250.0
2000-05-11,1.91,1.96,1.87,1.91,1.7,966150.0
2000-05-12,1.91,1.91,1.76,1.76,1.57,696150.0
2000-05-15,1.76,1.82,1.76,1.8,1.6,1846800.0
2000-05-16,1.84,1.93,1.84,1.91,1.7,1368900.0
2000-05-17,1.89,1.91,1.86,1.86,1.65,504900.0
2000-05-18,1.87,1.87,1.82,1.82,1.62,604800.0
2000-05-19,1.8,1.8,1.71,1.76,1.56,971550.0
2000-05-22,1.76,1.76,1.61,1.7,1.51,1819350.0
2000-05-23,1.71,1.73,1.67,1.67,1.49,1042650.0
2000-05-24,1.66,1.76,1.64,1.76,1.56,1033200.0
2000-05-25,1.76,1.78,1.72,1.74,1.55,5045850.0
