Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,3.5,3.54,3.5,3.5,2.33,585600.0
2000-01-04,3.47,3.47,3.42,3.42,2.27,782400.0
2000-01-05,3.38,3.42,3.38,3.42,2.27,1876800.0
2000-01-06,3.42,3.5,3.42,3.42,2.27,792000.0
2000-01-07,3.46,3.56,3.46,3.54,2.35,5347200.0
2000-01-10,3.75,3.83,3.75,3.83,2.55,2980800.0
2000-01-11,3.83,3.86,3.81,3.84,2.55,326400.0
2000-01-12,3.85,3.92,3.84,3.88,2.58,5068800.0
2000-01-13,4.01,4.01,4.01,4.01,2.66,120000.0
2000-01-14,4.02,4.08,4.02,4.08,2.71,3484800.0
2000-01-17,4.08,4.17,4.08,4.17,2.77,230400.0
2000-01-18,4.12,4.12,4.03,4.04,2.69,3724800.0
2000-01-19,4.04,4.05,4.0,4.03,2.67,1872000.0
2000-01-20,4.0,4.0,4.0,4.0,2.66,748800.0
2000-01-21,4.0,4.0,3.92,3.92,2.6,144000.0
2000-01-24,3.92,4.04,3.92,4.0,2.66,705600.0
2000-01-25,4.0,4.0,4.0,4.0,2.66,
2000-01-26,3.97,3.97,3.97,3.97,2.64,196800.0
2000-01-27,4.04,4.04,4.0,4.0,2.66,686400.0
2000-01-28,4.0,4.0,4.0,4.0,2.66,211200.0
2000-01-31,3.33,4.17,3.33,3.33,2.22,
2000-02-01,3.92,3.92,3.92,3.92,2.6,148800.0
2000-02-02,3.95,3.95,3.75,3.75,2.49,739200.0
2000-02-03,3.71,3.83,3.71,3.75,2.49,4382400.0
2000-02-04,3.75,3.89,3.75,3.89,2.59,345600.0
2000-02-07,3.92,4.08,3.92,4.08,2.71,81600.0
2000-02-08,4.08,4.32,4.08,4.32,2.87,1036800.0
2000-02-09,4.26,4.37,4.25,4.25,2.82,6081600.0
2000-02-10,4.25,4.25,4.0,4.0,2.66,3969600.0
2000-02-11,4.0,4.0,3.79,3.79,2.52,43200.0
2000-02-14,3.79,3.79,3.74,3.74,2.49,278400.0
2000-02-15,3.74,3.83,3.58,3.83,2.55,158400.0
2000-02-16,3.83,3.83,3.83,3.83,2.55,470400.0
2000-02-17,3.75,3.75,3.75,3.75,2.49,9600.0
2000-02-18,3.75,3.75,3.75,3.75,2.49,28800.0
2000-02-21,3.75,3.75,3.75,3.75,2.49,52800.0
2000-02-22,3.67,3.67,3.67,3.67,2.44,422400.0
2000-02-23,3.83,3.83,3.67,3.75,2.49,792000.0
2000-02-24,3.75,3.75,3.71,3.71,2.46,340800.0
2000-02-25,3.67,3.67,3.67,3.67,2.44,38400.0
2000-02-28,3.62,3.62,3.58,3.58,2.38,81600.0
2000-02-29,3.58,3.58,3.4,3.4,2.26,465600.0
2000-03-01,3.4,3.42,3.37,3.42,2.27,244800.0
2000-03-02,3.33,3.33,3.33,3.33,2.21,624000.0
2000-03-03,3.33,3.33,3.29,3.29,2.19,571200.0
2000-03-06,3.29,3.29,3.29,3.29,2.19,
2000-03-07,3.29,3.29,3.29,3.29,2.19,
2000-03-08,3.32,3.32,3.29,3.31,2.2,158400.0
2000-03-09,3.25,3.29,3.24,3.24,2.15,336000.0
2000-03-10,3.25,3.25,3.17,3.17,2.1,211200.0
2000-03-13,3.17,3.17,3.17,3.17,2.1,
2000-03-14,3.13,3.13,3.0,3.0,1.99,475200.0
2000-03-15,3.0,3.0,3.0,3.0,1.99,216000.0
2000-03-16,3.0,3.05,3.0,3.05,2.03,13742400.0
2000-03-17,3.08,3.08,3.02,3.02,2.01,6254400.0
2000-03-20,3.03,3.03,2.75,2.83,1.88,1041600.0
2000-03-21,2.88,2.92,2.88,2.92,1.94,81600.0
2000-03-22,2.95,3.05,2.95,2.97,1.98,2020800.0
2000-03-23,2.95,3.06,2.94,3.04,2.02,681600.0
2000-03-24,3.08,3.21,3.06,3.21,2.13,1377600.0
2000-03-27,3.25,3.29,3.21,3.29,2.19,1262400.0
2000-03-28,3.25,3.33,3.12,3.19,2.12,1233600.0
2000-03-29,3.25,3.26,3.12,3.25,2.16,772800.0
2000-03-30,3.26,3.29,3.25,3.25,2.16,28800.0
2000-03-31,3.21,3.33,3.19,3.33,2.22,1003200.0
2000-04-03,3.32,3.42,3.29,3.42,2.27,585600.0
2000-04-04,3.33,3.38,3.17,3.25,2.16,1036800.0
2000-04-05,3.33,3.41,3.33,3.38,2.24,566400.0
2000-04-06,3.42,3.42,3.33,3.42,2.27,3528000.0
2000-04-07,3.42,3.42,3.38,3.38,2.24,115200.0
2000-04-10,3.35,3.36,3.33,3.33,2.21,1420800.0
2000-04-11,3.25,3.33,3.25,3.33,2.21,1800000.0
2000-04-12,3.27,3.39,3.27,3.27,2.17,
2000-04-13,3.25,3.25,3.25,3.25,2.16,96000.0
2000-04-14,3.17,3.17,3.08,3.08,2.05,1497600.0
2000-04-17,3.08,3.08,2.96,3.0,1.99,1396800.0
2000-04-18,2.92,3.04,2.92,3.0,1.99,638400.0
2000-04-19,3.01,3.03,2.92,2.92,1.94,936000.0
2000-04-20,3.08,3.08,3.05,3.07,2.04,777600.0
2000-04-21,3.07,3.07,3.07,3.07,2.04,
2000-04-24,3.05,3.05,2.92,3.04,2.02,6235200.0
2000-04-25,3.17,3.17,3.17,3.17,2.1,91200.0
2000-04-26,3.17,3.33,3.17,3.33,2.21,2188800.0
2000-04-27,3.28,3.29,3.23,3.23,2.15,1521600.0
2000-04-28,3.29,3.38,3.29,3.33,2.22,9720000.0
2000-05-01,3.33,3.33,3.33,3.33,2.22,
2000-05-02,3.29,3.34,3.29,3.34,2.22,81600.0
2000-05-03,3.33,3.38,3.31,3.32,2.2,2064000.0
2000-05-04,3.32,3.32,3.29,3.29,2.19,1828800.0
2000-05-05,3.29,3.33,3.29,3.33,2.22,1752000.0
2000-05-08,3.33,3.33,3.29,3.29,2.19,787200.0
2000-05-09,3.25,3.25,3.25,3.25,2.16,120000.0
2000-05-10,3.33,3.33,3.25,3.33,2.22,8472000.0
2000-05-11,3.25,3.25,3.23,3.23,2.15,758400.0
2000-05-12,3.21,3.24,3.19,3.19,2.12,1238400.0
2000-05-15,3.21,3.24,3.19,3.24,2.15,2126400.0
2000-05-16,3.29,3.33,3.28,3.33,2.21,369600.0
2000-05-17,3.25,3.39,3.25,3.39,2.25,1334400.0
2000-05-18,3.39,3.46,3.39,3.46,2.3,96000.0
2000-05-19,3.38,3.54,3.33,3.54,2.35,432000.0
2000-05-22,3.46,3.46,3.33,3.46,2.3,566400.0
2000-05-23,3.42,3.42,3.29,3.29,2.19,278400.0
2000-05-24,3.25,3.27,3.17,3.25,2.16,2385600.0
2000-05-25,3.33,3.33,3.25,3.25,2.16,2332800.0
2000-05-26,3.25,3.31,3.25,3.31,2.2,8054400.0
2000-05-29,3.33,3.34,3.29,3.29,2.19,187200.0
2000-05-30,3.42,3.46,3.42,3.46,2.3,460800.0
2000-05-31,3.42,3.48,3.42,3.48,2.32,1560000.0
2000-06-01,3.42,3.54,3.42,3.51,2.33,177600.0
2000-06-02,3.51,3.51,3.5,3.5,2.33,600000.0
2000-06-05,3.5,3.58,3.46,3.58,2.38,3244800.0
2000-06-06,3.58,3.58,3.58,3.58,2.38,
2000-06-07,3.5,3.55,3.42,3.55,2.36,3278400.0
2000-06-08,3.58,3.58,3.54,3.58,2.38,787200.0
2000-06-09,3.54,3.67,3.54,3.67,2.44,57600.0
2000-06-12,3.55,3.55,3.42,3.42,2.28,6124800.0
2000-06-13,3.42,3.42,3.33,3.33,2.22,518400.0
2000-06-14,3.42,3.42,3.42,3.42,2.27,288000.0
2000-06-15,3.38,3.39,3.38,3.38,2.24,4084800.0
2000-06-16,3.38,3.5,3.38,3.47,2.31,4128000.0
2000-06-19,3.5,3.62,3.5,3.62,2.41,1435200.0
2000-06-20,3.71,3.71,3.58,3.67,2.44,211200.0
2000-06-21,3.67,3.75,3.67,3.75,2.49,1382400.0
2000-06-22,3.75,3.75,3.75,3.75,2.49,
2000-06-23,3.75,3.77,3.75,3.75,2.49,2438400.0
2000-06-26,3.76,3.77,3.75,3.75,2.49,547200.0
2000-06-27,3.79,3.79,3.75,3.75,2.49,273600.0
2000-06-28,3.75,3.83,3.75,3.83,2.55,528000.0
2000-06-29,3.75,3.83,3.75,3.79,2.52,1401600.0
2000-06-30,3.83,3.83,3.75,3.75,2.49,724800.0
2000-07-03,3.75,3.83,3.71,3.75,2.49,528000.0
2000-07-04,3.75,3.83,3.75,3.83,2.55,1670400.0
2000-07-05,3.79,3.83,3.79,3.83,2.55,628800.0
2000-07-06,3.92,3.94,3.88,3.92,2.6,2712000.0
2000-07-07,3.92,3.92,3.92,3.92,2.6,33600.0
2000-07-10,3.92,3.94,3.92,3.93,2.61,883200.0
2000-07-11,3.83,3.83,3.78,3.78,2.51,168000.0
2000-07-12,3.78,3.79,3.78,3.79,2.52,24201600.0
2000-07-13,3.78,3.78,3.73,3.73,2.48,379200.0
2000-07-14,3.67,3.67,3.56,3.56,2.36,19200.0
2000-07-17,3.62,4.04,3.62,3.96,2.63,302400.0
2000-07-18,4.0,4.0,3.83,3.83,2.55,604800.0
2000-07-19,3.63,3.92,3.63,3.63,2.41,
2000-07-20,3.83,3.83,3.75,3.75,2.49,254400.0
2000-07-21,3.75,3.81,3.75,3.8,2.53,1099200.0
2000-07-24,3.83,3.88,3.83,3.88,2.58,638400.0
2000-07-25,3.88,3.92,3.88,3.92,2.6,9600.0
2000-07-26,3.92,3.92,3.88,3.92,2.6,633600.0
2000-07-27,3.92,3.92,3.88,3.88,2.58,139200.0
2000-07-28,3.83,3.83,3.71,3.71,2.46,604800.0
2000-07-31,3.71,3.71,3.67,3.71,2.46,643200.0
2000-08-01,3.75,3.75,3.7,3.71,2.46,336000.0
2000-08-02,3.71,3.71,3.71,3.71,2.46,105600.0
2000-08-03,3.71,3.71,3.71,3.71,2.46,369600.0
2000-08-04,3.73,3.83,3.73,3.81,2.53,2774400.0
2000-08-07,3.83,3.9,3.83,3.9,2.59,1488000.0
2000-08-08,3.92,3.92,3.88,3.89,2.59,460800.0
2000-08-09,3.88,3.88,3.82,3.82,2.54,2020800.0
2000-08-10,3.82,3.82,3.8,3.8,2.52,988800.0
2000-08-11,3.92,3.92,3.92,3.92,2.6,268800.0
2000-08-14,3.96,3.97,3.92,3.93,2.61,753600.0
2000-08-15,3.96,4.0,3.94,3.99,2.65,273600.0
2000-08-16,3.96,3.97,3.96,3.96,2.63,326400.0
2000-08-17,3.92,4.04,3.92,4.04,2.69,67200.0
2000-08-18,4.04,4.04,3.94,3.96,2.63,816000.0
2000-08-21,3.92,3.97,3.92,3.96,2.63,57600.0
2000-08-22,4.02,4.02,3.92,3.93,2.61,412800.0
2000-08-23,3.95,3.97,3.95,3.97,2.64,115200.0
2000-08-24,3.97,4.0,3.97,4.0,2.66,648000.0
2000-08-25,4.0,4.03,3.98,4.0,2.66,4656000.0
2000-08-28,3.98,3.99,3.95,3.99,2.65,854400.0
2000-08-29,3.99,4.0,3.97,3.97,2.64,739200.0
2000-08-30,4.0,4.0,3.9,3.9,2.59,1334400.0
2000-08-31,3.97,3.97,3.83,3.85,2.56,2227200.0
2000-09-01,3.88,3.88,3.75,3.8,2.52,2371200.0
2000-09-04,3.81,3.86,3.81,3.86,2.56,499200.0
2000-09-05,3.86,3.92,3.86,3.92,2.6,249600.0
2000-09-06,3.92,4.08,3.92,4.07,2.7,782400.0
2000-09-07,4.07,4.07,4.07,4.07,2.7,
2000-09-08,4.04,4.04,3.91,3.92,2.6,1027200.0
2000-09-11,3.88,3.94,3.88,3.93,2.61,657600.0
2000-09-12,3.97,3.98,3.9,3.9,2.59,662400.0
2000-09-13,3.9,3.9,3.83,3.88,2.58,417600.0
2000-09-14,3.88,3.88,3.81,3.81,2.53,100800.0
2000-09-15,3.81,3.81,3.67,3.75,2.49,801600.0
2000-09-18,3.67,3.67,3.58,3.65,2.43,369600.0
2000-09-19,3.63,3.66,3.57,3.58,2.38,619200.0
2000-09-20,3.58,3.58,3.5,3.5,2.33,81600.0
2000-09-21,3.58,3.58,3.46,3.46,2.3,624000.0
2000-09-22,3.46,3.46,3.43,3.46,2.3,1756800.0
2000-09-25,3.57,3.57,3.48,3.55,2.36,432000.0
2000-09-26,3.55,3.57,3.54,3.54,2.35,859200.0
2000-09-27,3.57,3.57,3.48,3.48,2.32,124800.0
2000-09-28,3.48,3.5,3.48,3.5,2.33,177600.0
2000-09-29,3.5,3.57,3.5,3.5,2.33,196800.0
2000-10-02,3.47,3.5,3.42,3.5,2.33,585600.0
2000-10-03,3.5,3.5,3.5,3.5,2.33,350400.0
2000-10-04,3.5,3.58,3.48,3.58,2.38,1684800.0
2000-10-05,3.58,3.58,3.58,3.58,2.38,
2000-10-06,3.58,3.58,3.5,3.58,2.38,676800.0
2000-10-09,3.58,3.58,3.58,3.58,2.38,4800.0
2000-10-10,3.46,3.75,3.46,3.46,2.3,
2000-10-11,3.58,3.58,3.42,3.42,2.27,100800.0
2000-10-12,3.42,3.42,3.42,3.42,2.27,
2000-10-13,3.42,3.5,3.42,3.5,2.33,163200.0
2000-10-16,3.5,3.5,3.46,3.46,2.3,19200.0
2000-10-17,3.46,3.46,3.42,3.42,2.27,67200.0
2000-10-18,3.38,3.38,3.29,3.33,2.22,235200.0
2000-10-19,3.47,3.47,3.33,3.36,2.23,1416000.0
2000-10-20,3.33,3.4,3.33,3.38,2.24,9480000.0
2000-10-23,3.38,3.38,3.29,3.29,2.19,1185600.0
2000-10-24,3.29,3.29,3.29,3.29,2.19,
2000-10-25,3.29,3.29,3.25,3.25,2.16,72000.0
2000-10-26,3.25,3.25,3.25,3.25,2.16,336000.0
2000-10-27,3.42,3.54,3.42,3.54,2.35,7344000.0
2000-10-30,3.54,3.65,3.54,3.65,2.43,1742400.0
2000-10-31,3.58,3.75,3.58,3.67,2.44,859200.0
2000-11-01,3.67,3.67,3.5,3.51,2.33,19200.0
2000-11-02,3.51,3.51,3.51,3.51,2.33,
2000-11-03,3.51,3.51,3.42,3.46,2.3,76800.0
2000-11-06,3.5,3.58,3.5,3.58,2.38,268800.0
2000-11-07,3.58,3.67,3.58,3.58,2.38,571200.0
2000-11-08,3.58,3.58,3.58,3.58,2.38,408000.0
2000-11-09,3.58,3.58,3.5,3.5,2.33,508800.0
2000-11-10,3.5,3.58,3.5,3.58,2.38,3206400.0
2000-11-13,3.58,3.58,3.42,3.48,2.32,412800.0
2000-11-14,3.48,3.48,3.48,3.48,2.32,
2000-11-15,3.48,3.48,3.48,3.48,2.32,
2000-11-16,3.5,3.5,3.38,3.38,2.24,1219200.0
2000-11-17,3.38,3.38,3.33,3.34,2.22,1046400.0
2000-11-20,3.39,3.39,3.33,3.33,2.22,364800.0
2000-11-21,3.38,3.39,3.38,3.38,2.25,307200.0
2000-11-22,3.38,3.38,3.38,3.38,2.24,168000.0
2000-11-23,3.38,3.38,3.33,3.33,2.22,249600.0
2000-11-24,3.33,3.33,3.29,3.29,2.19,62400.0
2000-11-27,3.33,3.33,3.25,3.25,2.16,172800.0
2000-11-28,3.25,3.25,3.15,3.15,2.09,1022400.0
2000-11-29,3.17,3.17,3.12,3.12,2.08,1396800.0
2000-11-30,3.13,3.13,3.08,3.08,2.05,302400.0
2000-12-01,3.08,3.25,3.08,3.25,2.16,854400.0
2000-12-04,3.33,3.33,3.33,3.33,2.22,19200.0
2000-12-05,3.46,3.51,3.42,3.5,2.33,2961600.0
2000-12-06,3.46,3.54,3.46,3.54,2.35,984000.0
2000-12-07,3.5,3.54,3.5,3.54,2.35,3422400.0
2000-12-08,3.58,3.74,3.54,3.71,2.46,211200.0
2000-12-11,3.67,3.71,3.67,3.67,2.44,748800.0
2000-12-12,,,,,,
2000-12-13,3.67,3.71,3.67,3.67,2.44,2692800.0
2000-12-14,3.67,3.67,3.58,3.67,2.44,1176000.0
2000-12-15,3.62,3.62,3.5,3.58,2.38,1152000.0
2000-12-18,3.62,3.62,3.54,3.62,2.41,244800.0
2000-12-19,3.64,3.67,3.61,3.67,2.44,768000.0
2000-12-20,3.58,3.58,3.58,3.58,2.38,398400.0
2000-12-21,3.58,3.59,3.58,3.58,2.38,614400.0
2000-12-22,3.58,3.67,3.58,3.67,2.44,364800.0
2000-12-25,,,,,,
2000-12-26,3.75,3.75,3.67,3.67,2.44,312000.0
2000-12-27,3.67,3.83,3.67,3.83,2.55,408000.0
2000-12-28,3.83,3.88,3.83,3.88,2.58,177600.0
2000-12-29,,,,,,
2001-01-01,,,,,,
2001-01-02,3.6,3.6,3.6,3.6,2.39,129600.0
2001-01-03,3.58,3.83,3.56,3.83,2.55,1396800.0
2001-01-04,3.83,3.83,3.67,3.71,2.46,801600.0
2001-01-05,3.67,3.67,3.67,3.67,2.44,201600.0
2001-01-08,3.67,3.67,3.58,3.62,2.41,619200.0
2001-01-09,3.67,3.67,3.66,3.67,2.44,62400.0
2001-01-10,3.71,3.67,3.62,3.67,2.44,2092800.0
2001-01-11,3.67,3.67,3.6,3.6,2.4,206400.0
2001-01-12,3.71,3.71,3.58,3.58,2.38,100800.0
2001-01-15,3.62,3.67,3.62,3.62,2.41,14400.0
2001-01-16,3.58,3.58,3.58,3.58,2.38,4800.0
2001-01-17,3.58,3.74,3.58,3.67,2.44,470400.0
2001-01-18,3.67,3.88,3.67,3.88,2.58,278400.0
2001-01-19,3.92,3.92,3.85,3.88,2.58,211200.0
2001-01-22,3.5,4.09,3.5,3.5,2.33,
2001-01-23,4.0,4.0,3.97,3.97,2.64,724800.0
2001-01-24,3.83,4.08,3.83,4.08,2.71,5140800.0
2001-01-25,,,,,,
2001-01-26,4.09,4.09,4.09,4.09,2.72,148800.0
2001-01-29,4.1,4.21,4.1,4.21,2.8,307200.0
2001-01-30,4.21,4.21,4.08,4.17,2.77,643200.0
2001-01-31,4.16,4.25,4.16,4.25,2.82,854400.0
2001-02-01,4.2,4.2,4.17,4.17,2.77,240000.0
2001-02-02,4.12,4.21,4.08,4.12,2.74,729600.0
2001-02-05,4.08,4.08,4.04,4.07,2.7,24000.0
2001-02-06,4.07,4.08,4.07,4.07,2.7,105600.0
2001-02-07,4.04,4.04,4.0,4.0,2.66,38400.0
2001-02-08,4.0,4.04,3.97,3.97,2.64,412800.0
2001-02-09,4.0,4.0,4.0,4.0,2.66,4800.0
2001-02-12,4.11,4.11,4.06,4.06,2.7,48000.0
