Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,38.63,40.12,37.61,38.26,18.1,623089.0
2000-01-04,36.22,37.61,34.54,35.29,16.69,2403943.0
2000-01-05,34.82,37.05,33.52,36.12,17.09,1413096.0
2000-01-06,36.03,36.49,34.36,34.64,16.39,1331037.0
2000-01-07,35.29,37.14,34.82,36.4,17.22,892635.0
2000-01-10,36.77,40.02,36.77,39.93,18.89,2388759.0
2000-01-11,40.21,40.86,39.47,39.74,18.8,2072261.0
2000-01-12,40.3,42.07,39.47,41.6,19.68,1815638.0
2000-01-13,46.43,49.22,45.04,47.36,22.41,3902652.0
2000-01-14,48.29,49.59,47.36,48.29,22.85,3950789.0
2000-01-17,49.22,50.89,49.22,50.14,23.72,1226363.0
2000-01-18,50.61,51.07,49.31,50.24,23.77,1645920.0
2000-01-19,49.68,50.89,48.29,48.75,23.07,1891774.0
2000-01-20,49.22,49.68,47.45,48.38,22.89,1012170.0
2000-01-21,48.29,49.22,47.82,48.01,22.71,560845.0
2000-01-24,49.12,49.12,47.82,48.19,22.8,509262.0
2000-01-25,48.19,48.19,48.19,48.19,22.8,
2000-01-26,47.82,49.03,47.36,49.03,23.2,1072691.0
2000-01-27,49.12,51.17,48.94,48.94,23.15,1639889.0
2000-01-28,50.14,50.24,48.29,48.29,22.85,903081.0
2000-01-31,48.75,48.75,46.89,47.08,22.27,1170042.0
2000-02-01,47.08,49.4,47.08,49.22,23.28,1464571.0
2000-02-02,50.52,50.89,49.68,50.14,23.72,1010554.0
2000-02-03,50.61,53.39,50.61,53.12,25.13,1895005.0
2000-02-04,53.49,55.72,53.49,54.6,25.83,1536400.0
2000-02-07,54.79,55.25,53.3,53.86,25.48,651842.0
2000-02-08,54.88,55.72,54.42,54.88,25.96,932049.0
2000-02-09,57.48,58.32,55.72,55.72,26.36,2004848.0
2000-02-10,57.11,58.04,56.46,57.85,27.37,1197179.0
2000-02-11,58.97,59.62,57.57,58.69,27.77,1141504.0
2000-02-14,59.34,59.89,58.69,59.43,28.12,1090460.0
2000-02-15,59.24,59.24,57.29,58.13,27.5,1214733.0
2000-02-16,58.13,58.13,55.53,56.83,26.89,1077322.0
2000-02-17,56.64,57.29,56.18,56.18,26.58,586798.0
2000-02-18,56.18,56.64,54.51,55.72,26.36,875835.0
