Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,1.08,1.08,1.08,1.08,0.87,6990.0
2000-01-04,1.08,1.08,1.08,1.08,0.87,16309.0
2000-01-05,1.08,1.08,1.08,1.08,0.87,16309.0
2000-01-06,1.08,1.08,1.08,1.08,0.87,100963.0
2000-01-07,1.08,1.08,1.08,1.08,0.87,777.0
2000-01-10,1.08,1.08,1.08,1.08,0.87,93197.0
2000-01-11,2.58,2.58,1.08,1.08,0.87,
2000-01-12,1.08,1.08,1.08,1.08,0.87,
2000-01-13,1.08,1.08,1.08,1.08,0.87,
2000-01-14,2.58,2.58,1.08,1.08,0.87,
2000-01-17,1.08,1.08,1.08,1.08,0.87,
2000-01-18,1.08,1.08,1.08,1.08,0.87,
2000-01-19,1.08,1.08,1.08,1.08,0.87,
2000-01-20,1.08,1.08,1.08,1.08,0.87,
2000-01-21,1.08,1.08,1.08,1.08,0.87,
2000-01-24,2.58,2.58,1.08,1.08,0.87,
2000-01-25,1.08,1.08,1.08,1.08,0.87,
2000-01-26,1.08,1.08,1.08,1.08,0.87,
2000-01-27,2.58,2.58,1.11,1.11,0.89,
2000-01-28,1.11,1.11,1.11,1.11,0.89,
2000-01-31,1.11,1.11,1.11,1.11,0.89,
2000-02-01,1.11,1.11,1.11,1.11,0.89,
2000-02-02,1.11,1.11,1.11,1.11,0.89,
2000-02-03,1.11,1.11,1.11,1.11,0.89,
2000-02-04,1.11,1.11,1.11,1.11,0.89,
2000-02-07,1.11,1.11,1.11,1.11,0.89,
2000-02-08,1.11,1.11,1.11,1.11,0.89,
2000-02-09,1.11,1.11,1.11,1.11,0.89,
2000-02-10,1.11,1.11,1.11,1.11,0.89,
2000-02-11,1.11,1.11,1.11,1.11,0.89,
2000-02-14,1.11,1.11,1.11,1.11,0.89,
2000-02-15,1.11,1.11,1.11,1.11,0.89,
2000-02-16,1.11,1.11,1.11,1.11,0.89,
2000-02-17,1.11,1.11,1.11,1.11,0.89,
2000-02-18,1.11,1.11,1.11,1.11,0.89,
2000-02-21,1.11,1.11,1.11,1.11,0.89,
2000-02-22,1.11,1.11,1.11,1.11,0.89,
2000-02-23,1.11,1.11,1.11,1.11,0.89,
2000-02-24,1.11,1.11,1.11,1.11,0.89,
2000-02-25,1.11,1.11,1.11,1.11,0.89,
2000-02-28,1.11,1.11,1.11,1.11,0.89,
2000-02-29,1.11,1.11,1.11,1.11,0.89,
2000-03-01,1.11,1.11,1.11,1.11,0.89,
2000-03-02,1.11,1.11,1.11,1.11,0.89,
2000-03-03,1.11,1.11,1.11,1.11,0.89,
2000-03-06,1.11,1.11,1.11,1.11,0.89,
2000-03-07,1.11,1.11,1.11,1.11,0.89,
2000-03-08,1.11,1.11,1.11,1.11,0.89,
2000-03-09,1.11,1.11,1.11,1.11,0.89,
2000-03-10,1.11,1.11,1.11,1.11,0.89,
2000-03-13,1.11,1.11,1.11,1.11,0.89,
2000-03-14,1.11,1.11,1.11,1.11,0.89,
2000-03-15,1.11,1.11,1.11,1.11,0.89,
2000-03-16,1.11,1.11,1.11,1.11,0.89,
2000-03-17,1.11,1.11,1.11,1.11,0.89,
2000-03-20,1.11,1.11,1.11,1.11,0.89,
2000-03-21,1.11,1.11,1.11,1.11,0.89,
2000-03-22,1.11,1.11,1.11,1.11,0.89,
2000-03-23,1.11,1.11,1.11,1.11,0.89,
2000-03-24,1.11,1.11,1.11,1.11,0.89,
2000-03-27,1.11,1.11,1.11,1.11,0.89,
2000-03-28,1.11,1.11,1.11,1.11,0.89,
2000-03-29,1.11,1.11,1.11,1.11,0.89,
2000-03-30,1.08,1.08,1.08,1.08,0.86,1553.0
2000-03-31,1.67,1.67,1.08,1.08,0.86,
2000-04-03,1.08,1.08,1.08,1.08,0.86,
2000-04-04,1.08,1.08,1.08,1.08,0.86,
2000-04-05,1.08,1.08,1.08,1.08,0.86,
2000-04-06,1.08,1.08,1.08,1.08,0.86,
2000-04-07,3.86,3.86,1.09,1.09,0.88,
2000-04-10,1.08,1.08,1.08,1.08,0.86,777.0
2000-04-11,1.08,1.08,1.08,1.08,0.86,
2000-04-12,1.55,1.55,1.16,1.16,0.93,
2000-04-13,1.16,1.16,1.16,1.16,0.93,
2000-04-14,1.22,1.22,1.22,1.22,0.98,777.0
2000-04-17,1.22,1.22,1.22,1.22,0.98,
2000-04-18,1.22,1.22,1.22,1.22,0.98,
2000-04-19,1.22,1.22,1.22,1.22,0.98,
2000-04-20,1.22,1.22,1.22,1.22,0.98,
2000-04-21,1.22,1.22,1.22,1.22,0.98,
2000-04-24,1.22,1.22,1.22,1.22,0.98,
2000-04-25,1.22,1.22,1.22,1.22,0.98,
2000-04-26,1.22,1.22,1.22,1.22,0.98,
2000-04-27,1.22,1.22,1.22,1.22,0.98,
2000-04-28,1.22,1.22,1.22,1.22,0.98,
2000-05-01,1.22,1.22,1.22,1.22,0.98,
2000-05-02,1.22,1.22,1.22,1.22,0.98,
2000-05-03,1.22,1.22,1.22,1.22,0.98,
2000-05-04,1.22,1.22,1.22,1.22,0.98,
2000-05-05,1.22,1.22,1.22,1.22,0.98,
2000-05-08,1.22,1.22,1.22,1.22,0.98,
2000-05-09,1.22,1.22,1.22,1.22,0.98,
2000-05-10,1.22,1.22,1.22,1.22,0.98,
2000-05-11,1.22,1.22,1.22,1.22,0.98,
