Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,0.34,0.34,0.34,0.34,0.21,189280.0
2000-01-04,0.33,0.33,0.33,0.33,0.2,23660.0
2000-01-05,0.43,0.43,0.38,0.38,0.24,
2000-01-06,0.3,0.3,0.3,0.3,0.18,125060.0
2000-01-07,0.3,0.3,0.3,0.3,0.18,67600.0
2000-01-10,0.45,0.45,0.38,0.38,0.24,
2000-01-11,0.3,0.3,0.3,0.3,0.18,784160.0
2000-01-12,0.3,0.3,0.3,0.3,0.19,1054560.0
2000-01-13,0.31,0.33,0.3,0.31,0.19,618540.0
2000-01-14,0.31,0.33,0.31,0.33,0.2,1172860.0
2000-01-17,0.32,0.32,0.31,0.31,0.19,33800.0
2000-01-18,0.3,0.3,0.3,0.3,0.18,64220.0
2000-01-19,0.3,0.32,0.3,0.32,0.2,77740.0
2000-01-20,0.32,0.33,0.32,0.32,0.2,138580.0
2000-01-21,0.31,0.31,0.31,0.31,0.19,13520.0
2000-01-24,0.3,0.3,0.3,0.3,0.19,30420.0
2000-01-25,0.4,0.4,0.4,0.4,0.24,
2000-01-26,0.33,0.33,0.33,0.33,0.2,1774500.0
2000-01-27,0.33,0.33,0.33,0.33,0.2,111540.0
2000-01-28,0.33,0.33,0.33,0.33,0.2,50700.0
2000-01-31,0.33,0.33,0.33,0.33,0.2,2480920.0
2000-02-01,0.33,0.33,0.33,0.33,0.2,2747940.0
2000-02-02,0.43,0.43,0.41,0.41,0.25,
2000-02-03,0.33,0.33,0.33,0.33,0.2,1014000.0
2000-02-04,0.43,0.43,0.41,0.41,0.25,
2000-02-07,0.43,0.43,0.41,0.41,0.25,
2000-02-08,0.33,0.33,0.33,0.33,0.2,696280.0
2000-02-09,0.33,0.33,0.33,0.33,0.2,642200.0
2000-02-10,0.33,0.33,0.33,0.33,0.2,67600.0
2000-02-11,0.32,0.33,0.32,0.33,0.21,6760.0
2000-02-14,0.33,0.33,0.33,0.33,0.21,2774980.0
2000-02-15,0.3,0.3,0.3,0.3,0.18,10140.0
2000-02-16,0.38,0.38,0.38,0.38,0.24,
2000-02-17,0.38,0.38,0.38,0.38,0.24,
2000-02-18,0.38,0.38,0.38,0.38,0.24,
2000-02-21,0.38,0.38,0.38,0.38,0.24,
2000-02-22,0.38,0.38,0.38,0.38,0.24,
2000-02-23,0.38,0.38,0.38,0.38,0.24,
2000-02-24,0.38,0.38,0.38,0.38,0.24,
2000-02-25,0.38,0.38,0.38,0.38,0.24,
2000-02-28,0.38,0.38,0.38,0.38,0.24,
2000-02-29,0.38,0.38,0.38,0.38,0.24,
2000-03-01,0.38,0.38,0.38,0.38,0.24,
2000-03-02,0.38,0.38,0.38,0.38,0.24,
2000-03-03,0.38,0.38,0.38,0.38,0.24,
2000-03-06,0.38,0.38,0.38,0.38,0.24,
2000-03-07,0.38,0.38,0.38,0.38,0.24,
2000-03-08,0.38,0.38,0.38,0.38,0.24,
2000-03-09,0.38,0.38,0.38,0.38,0.24,
2000-03-10,0.38,0.38,0.38,0.38,0.24,
2000-03-13,0.38,0.38,0.38,0.38,0.24,
2000-03-14,0.38,0.38,0.38,0.38,0.24,
2000-03-15,0.38,0.38,0.38,0.38,0.24,
2000-03-16,0.38,0.38,0.38,0.38,0.24,
2000-03-17,0.38,0.38,0.38,0.38,0.24,
2000-03-20,0.38,0.38,0.38,0.38,0.24,
2000-03-21,0.38,0.38,0.38,0.38,0.24,
2000-03-22,0.38,0.38,0.38,0.38,0.24,
2000-03-23,0.38,0.38,0.38,0.38,0.24,
2000-03-24,0.38,0.38,0.38,0.38,0.24,
2000-03-27,0.38,0.38,0.38,0.38,0.24,
2000-03-28,0.38,0.38,0.38,0.38,0.24,
2000-03-29,0.38,0.38,0.38,0.38,0.24,
2000-03-30,0.38,0.38,0.38,0.38,0.24,
2000-03-31,0.38,0.38,0.38,0.38,0.24,
2000-04-03,0.38,0.38,0.38,0.38,0.24,
2000-04-04,0.38,0.38,0.38,0.38,0.24,
2000-04-05,0.38,0.38,0.38,0.38,0.24,
2000-04-06,0.38,0.38,0.38,0.38,0.24,
2000-04-07,0.38,0.38,0.38,0.38,0.24,
2000-04-10,0.38,0.38,0.38,0.38,0.24,
2000-04-11,0.38,0.38,0.38,0.38,0.24,
2000-04-12,0.38,0.38,0.38,0.38,0.24,
2000-04-13,0.38,0.38,0.38,0.38,0.24,
2000-04-14,0.38,0.38,0.38,0.38,0.24,
2000-04-17,0.38,0.38,0.38,0.38,0.24,
2000-04-18,0.38,0.38,0.38,0.38,0.24,
